PIN,Invesco India ETF,
Date,Price,Annualized Dividend
02/03/2009,10.75,0.094
02/03/2009,10.85,0.094
02/04/2009,10.85,0.094
02/04/2009,10.66,0.094
02/05/2009,10.62,0.094
02/05/2009,10.84,0.094
02/06/2009,11.01,0.094
02/06/2009,11.08,0.094
02/09/2009,11.3,0.094
02/09/2009,11.34,0.094
02/10/2009,11.27,0.094
02/10/2009,10.72,0.094
02/11/2009,10.97,0.094
02/11/2009,11.16,0.094
02/12/2009,10.74,0.094
02/12/2009,11.06,0.094
02/13/2009,11.2,0.094
02/13/2009,11.02,0.094
02/17/2009,10.17,0.094
02/17/2009,10.21,0.094
02/18/2009,10.26,0.094
02/18/2009,10.19,0.094
02/19/2009,10.35,0.094
02/19/2009,10.18,0.094
02/20/2009,10.12,0.094
02/20/2009,10.07,0.094
02/23/2009,10.12,0.094
02/23/2009,9.79,0.094
02/24/2009,9.9,0.094
02/24/2009,10.28,0.094
02/25/2009,10.05,0.094
02/25/2009,10.03,0.094
02/26/2009,10.12,0.094
02/26/2009,9.95,0.094
02/27/2009,9.61,0.094
02/27/2009,9.7,0.094
03/02/2009,9.31,0.094
03/02/2009,9.11,0.094
03/03/2009,9.09,0.094
03/03/2009,9.13,0.094
03/04/2009,9.5,0.094
03/04/2009,9.51,0.094
03/05/2009,9.31,0.094
03/05/2009,8.92,0.094
03/06/2009,9.16,0.094
03/06/2009,9.2,0.094
03/09/2009,8.97,0.094
03/09/2009,8.91,0.094
03/10/2009,9.18,0.094
03/10/2009,9.54,0.094
03/11/2009,9.66,0.094
03/11/2009,9.52,0.094
03/12/2009,9.07,0.094
03/12/2009,9.64,0.094
03/13/2009,9.7,0.094
03/13/2009,9.72,0.094
03/16/2009,9.86,0.094
03/16/2009,9.85,0.094
03/17/2009,9.79,0.094
03/17/2009,10.0,0.094
03/18/2009,10.02,0.094
03/18/2009,10.26,0.094
03/19/2009,10.4,0.094
03/19/2009,10.17,0.094
03/20/2009,10.24,0.094
03/20/2009,10.12,0.094
03/23/2009,10.46,0.094
03/23/2009,11.06,0.094
03/24/2009,10.62,0.094
03/24/2009,10.56,0.094
03/25/2009,10.87,0.094
03/25/2009,10.98,0.094
03/26/2009,11.2,0.094
03/26/2009,11.34,0.094
03/27/2009,11.26,0.094
03/27/2009,11.07,0.094
03/30/2009,10.78,0.094
03/30/2009,10.56,0.094
03/31/2009,11.11,0.094
03/31/2009,11.03,0.094
04/01/2009,11.17,0.094
04/01/2009,11.42,0.094
04/02/2009,11.46,0.094
04/02/2009,11.89,0.094
04/03/2009,11.95,0.094
04/03/2009,12.04,0.094
04/06/2009,12.11,0.094
04/06/2009,11.91,0.094
04/07/2009,12.64,0.094
04/07/2009,11.94,0.094
04/08/2009,12.37,0.094
04/08/2009,12.49,0.094
04/09/2009,13.47,0.094
04/09/2009,12.78,0.094
04/13/2009,13.33,0.094
04/13/2009,12.87,0.094
04/14/2009,12.65,0.094
04/14/2009,12.56,0.094
04/15/2009,12.7,0.094
04/15/2009,13.11,0.094
04/16/2009,12.71,0.094
04/16/2009,12.68,0.094
04/17/2009,12.73,0.094
04/17/2009,12.63,0.094
04/20/2009,12.51,0.094
04/20/2009,12.31,0.094
04/21/2009,12.27,0.094
04/21/2009,12.57,0.094
04/22/2009,12.19,0.094
04/22/2009,12.24,0.094
04/23/2009,12.57,0.094
04/23/2009,12.81,0.094
04/24/2009,13.14,0.094
04/24/2009,13.15,0.094
04/27/2009,12.83,0.094
04/27/2009,12.83,0.094
04/28/2009,12.33,0.094
04/28/2009,12.48,0.094
04/29/2009,12.84,0.094
04/29/2009,13.06,0.094
04/30/2009,13.2,0.094
04/30/2009,13.1,0.094
05/01/2009,12.82,0.094
05/01/2009,13.25,0.094
05/04/2009,13.57,0.094
05/04/2009,14.02,0.094
05/05/2009,13.82,0.094
05/05/2009,13.87,0.094
05/06/2009,13.8,0.094
05/06/2009,13.75,0.094
05/07/2009,13.94,0.094
05/07/2009,13.56,0.094
05/08/2009,13.56,0.094
05/08/2009,13.9,0.094
05/11/2009,13.47,0.094
05/11/2009,13.31,0.094
05/12/2009,13.79,0.094
05/12/2009,13.67,0.094
05/13/2009,13.39,0.094
05/13/2009,13.06,0.094
05/14/2009,13.29,0.094
05/14/2009,13.47,0.094
05/15/2009,13.72,0.094
05/15/2009,13.56,0.094
05/18/2009,16.51,0.094
05/18/2009,16.72,0.094
05/19/2009,16.45,0.094
05/19/2009,16.26,0.094
05/20/2009,16.28,0.094
05/20/2009,16.16,0.094
05/21/2009,16.22,0.094
05/21/2009,16.2,0.094
05/22/2009,16.47,0.094
05/22/2009,16.5,0.094
05/26/2009,16.0,0.094
05/26/2009,16.43,0.094
05/27/2009,16.67,0.094
05/27/2009,16.44,0.094
05/28/2009,16.82,0.094
05/28/2009,17.0,0.094
05/29/2009,17.37,0.094
05/29/2009,17.46,0.094
06/01/2009,17.8,0.094
06/01/2009,17.93,0.094
06/02/2009,17.71,0.094
06/02/2009,17.83,0.094
06/03/2009,18.0,0.094
06/03/2009,17.48,0.094
06/04/2009,17.96,0.094
06/04/2009,17.97,0.094
06/05/2009,18.13,0.094
06/05/2009,17.94,0.094
06/08/2009,17.21,0.094
06/08/2009,17.14,0.094
06/09/2009,17.67,0.094
06/09/2009,17.74,0.094
06/10/2009,18.22,0.094
06/10/2009,18.08,0.094
06/11/2009,17.99,0.094
06/11/2009,18.01,0.094
06/12/2009,17.79,0.094
06/12/2009,17.88,0.094
06/15/2009,17.49,0.094
06/15/2009,17.23,0.094
06/16/2009,17.53,0.094
06/16/2009,17.25,0.094
06/17/2009,16.87,0.094
06/17/2009,16.78,0.094
06/18/2009,16.59,0.094
06/18/2009,16.51,0.094
06/19/2009,16.69,0.079
06/19/2009,16.71,0.079
06/22/2009,16.92,0.079
06/22/2009,15.79,0.079
06/23/2009,16.13,0.079
06/23/2009,16.17,0.079
06/24/2009,16.53,0.079
06/24/2009,16.47,0.079
06/25/2009,16.22,0.079
06/25/2009,16.61,0.079
06/26/2009,16.87,0.079
06/26/2009,17.05,0.079
06/29/2009,17.16,0.079
06/29/2009,17.28,0.079
06/30/2009,16.96,0.079
06/30/2009,16.67,0.079
07/01/2009,17.12,0.079
07/01/2009,17.0,0.079
07/02/2009,16.88,0.079
07/02/2009,16.65,0.079
07/06/2009,16.19,0.079
07/06/2009,16.22,0.079
07/07/2009,16.23,0.079
07/07/2009,15.92,0.079
07/08/2009,15.57,0.079
07/08/2009,15.35,0.079
07/09/2009,15.69,0.079
07/09/2009,15.71,0.079
07/10/2009,15.36,0.079
07/10/2009,15.34,0.079
07/13/2009,15.34,0.079
07/13/2009,15.59,0.079
07/14/2009,15.83,0.079
07/14/2009,15.77,0.079
07/15/2009,16.42,0.079
07/15/2009,16.63,0.079
07/16/2009,16.39,0.079
07/16/2009,16.62,0.079
07/17/2009,16.82,0.079
07/17/2009,16.87,0.079
07/20/2009,17.28,0.079
07/20/2009,17.47,0.079
07/21/2009,17.36,0.079
07/21/2009,17.25,0.079
07/22/2009,16.98,0.079
07/22/2009,17.06,0.079
07/23/2009,17.36,0.079
07/23/2009,17.8,0.079
07/24/2009,17.71,0.079
