BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Annualized Dividend
05/15/2000,3.84,1.44
05/16/2000,3.84,1.44
05/16/2000,3.84,1.44
05/17/2000,3.9,1.44
05/17/2000,3.93,1.44
05/18/2000,3.9,1.44
05/18/2000,3.9,1.44
05/19/2000,3.96,1.44
05/19/2000,3.96,1.44
05/22/2000,3.96,1.44
05/22/2000,3.96,1.44
05/23/2000,3.96,1.44
05/23/2000,3.96,1.44
05/24/2000,3.95,1.44
05/24/2000,3.95,1.44
05/25/2000,3.95,1.44
05/25/2000,3.95,1.44
05/26/2000,3.95,1.44
05/26/2000,3.95,1.44
05/30/2000,3.95,1.44
05/30/2000,3.95,1.44
05/31/2000,4.15,1.44
05/31/2000,4.16,1.44
06/01/2000,4.16,1.44
06/01/2000,4.16,1.44
06/02/2000,4.16,1.44
06/02/2000,4.16,1.44
06/05/2000,4.23,1.44
06/05/2000,4.24,1.44
06/06/2000,4.2,1.44
06/06/2000,4.2,1.44
06/07/2000,4.2,1.44
06/07/2000,4.2,1.44
06/08/2000,4.03,1.44
06/08/2000,4.03,1.44
06/09/2000,4.03,1.44
06/09/2000,4.03,1.44
06/12/2000,4.05,1.44
06/12/2000,4.09,1.44
06/13/2000,4.09,1.44
06/13/2000,4.09,1.44
06/14/2000,4.09,1.44
06/14/2000,4.09,1.44
06/15/2000,4.09,1.44
06/15/2000,4.09,1.44
06/16/2000,4.03,1.44
06/16/2000,4.03,1.44
06/19/2000,4.03,1.44
06/19/2000,4.03,1.44
06/20/2000,3.93,1.44
06/20/2000,3.93,1.44
06/21/2000,3.93,1.44
06/21/2000,3.93,1.44
06/22/2000,3.93,1.44
06/22/2000,3.93,1.44
06/23/2000,3.93,1.44
06/23/2000,3.93,1.44
06/26/2000,3.93,1.44
06/26/2000,3.93,1.44
06/27/2000,3.93,1.44
06/27/2000,3.93,1.44
06/28/2000,3.93,1.44
06/28/2000,3.93,1.44
06/29/2000,4.1,1.92
06/29/2000,4.1,1.92
06/30/2000,4.29,1.92
06/30/2000,4.29,1.92
07/03/2000,4.29,1.92
07/03/2000,4.29,1.92
07/05/2000,4.29,1.92
07/05/2000,4.29,1.92
07/06/2000,4.26,1.92
07/06/2000,4.26,1.92
07/07/2000,4.26,1.92
07/07/2000,4.26,1.92
07/10/2000,4.26,1.92
07/10/2000,4.26,1.92
07/11/2000,4.26,1.92
07/11/2000,4.26,1.92
07/12/2000,4.16,1.92
07/12/2000,4.16,1.92
