SIG,Signet Jewelers Limited,
Date,Price,Annualized Dividend
08/03/1989,55.41,0.07221
08/04/1989,55.41,0.07221
08/04/1989,55.41,0.07221
08/07/1989,0.0,0.07221
08/07/1989,52.77,0.07221
08/08/1989,0.0,0.07221
08/08/1989,54.35,0.07221
08/09/1989,0.0,0.07221
08/09/1989,54.88,0.07221
08/10/1989,0.0,0.07221
08/10/1989,54.35,0.07221
08/11/1989,0.0,0.07221
08/11/1989,52.77,0.07221
08/14/1989,0.0,0.07221
08/14/1989,51.71,0.07221
08/15/1989,51.71,0.07221
08/15/1989,51.71,0.07221
08/16/1989,51.71,0.07221
08/16/1989,51.71,0.07221
08/17/1989,51.71,0.07221
08/17/1989,51.71,0.07221
08/18/1989,0.0,0.07221
08/18/1989,51.71,0.07221
08/21/1989,0.0,0.07221
08/21/1989,51.71,0.07221
08/22/1989,0.0,0.07221
08/22/1989,51.71,0.07221
08/23/1989,0.0,0.07221
08/23/1989,51.71,0.07221
08/24/1989,0.0,0.07221
08/24/1989,51.71,0.07221
08/25/1989,0.0,0.07221
08/25/1989,50.13,0.07221
08/28/1989,50.13,0.07221
08/28/1989,50.13,0.07221
08/29/1989,0.0,0.07221
08/29/1989,50.13,0.07221
08/30/1989,50.13,0.07221
08/30/1989,50.13,0.07221
08/31/1989,50.13,0.07221
08/31/1989,50.13,0.07221
09/01/1989,50.13,0.07221
09/01/1989,50.13,0.07221
09/05/1989,0.0,0.07221
09/05/1989,51.71,0.07221
09/06/1989,0.0,0.07221
09/06/1989,52.77,0.07221
09/07/1989,52.77,0.07221
09/07/1989,52.77,0.07221
09/08/1989,52.77,0.07221
09/08/1989,52.77,0.07221
09/11/1989,52.77,0.07221
09/11/1989,52.77,0.07221
09/12/1989,52.77,0.07221
09/12/1989,52.77,0.07221
09/13/1989,52.77,0.07221
09/13/1989,52.77,0.07221
09/14/1989,0.0,0.07221
09/14/1989,55.94,0.07221
09/15/1989,0.0,0.07221
09/15/1989,55.94,0.07221
09/18/1989,0.0,0.07221
09/18/1989,56.99,0.07221
09/19/1989,0.0,0.07221
09/19/1989,58.05,0.07221
09/20/1989,0.0,0.07221
09/20/1989,56.46,0.07221
09/21/1989,0.0,0.07221
09/21/1989,56.46,0.07221
09/22/1989,0.0,0.07221
09/22/1989,55.94,0.07221
09/25/1989,0.0,0.07221
09/25/1989,55.41,0.07221
09/26/1989,0.0,0.07221
09/26/1989,55.41,0.07221
09/27/1989,0.0,0.07221
09/27/1989,55.94,0.07221
09/28/1989,0.0,0.07221
09/28/1989,54.88,0.07221
09/29/1989,0.0,0.07221
09/29/1989,56.46,0.07221
10/02/1989,0.0,0.07281
10/02/1989,53.83,0.07281
10/03/1989,0.0,0.07281
10/03/1989,53.83,0.07281
10/04/1989,0.0,0.07281
10/04/1989,54.89,0.07281
10/05/1989,0.0,0.07281
10/05/1989,54.36,0.07281
10/06/1989,0.0,0.07281
10/06/1989,51.19,0.07281
10/09/1989,0.0,0.07281
10/09/1989,51.72,0.07281
10/10/1989,0.0,0.07281
10/10/1989,49.61,0.07281
10/11/1989,0.0,0.07281
10/11/1989,48.55,0.07281
10/12/1989,0.0,0.07281
10/12/1989,50.66,0.07281
10/13/1989,50.66,0.07281
10/13/1989,50.66,0.07281
10/16/1989,0.0,0.07281
10/16/1989,50.14,0.07281
10/17/1989,0.0,0.07281
10/17/1989,49.08,0.07281
10/18/1989,49.08,0.07281
10/18/1989,49.08,0.07281
10/19/1989,49.08,0.07281
10/19/1989,49.08,0.07281
10/20/1989,0.0,0.07281
10/20/1989,51.72,0.07281
10/23/1989,51.72,0.07281
10/23/1989,51.72,0.07281
10/24/1989,0.0,0.07281
10/24/1989,50.66,0.07281
10/25/1989,0.0,0.07281
10/25/1989,50.66,0.07281
10/26/1989,0.0,0.07281
10/26/1989,48.55,0.07281
10/27/1989,0.0,0.07281
10/27/1989,47.5,0.07281
10/30/1989,0.0,0.07281
10/30/1989,49.08,0.07281
10/31/1989,49.08,0.07281
10/31/1989,49.08,0.07281
11/01/1989,0.0,0.07281
11/01/1989,51.72,0.07281
11/02/1989,51.72,0.07281
11/02/1989,51.72,0.07281
11/03/1989,51.72,0.07281
11/03/1989,51.72,0.07281
11/06/1989,51.72,0.07281
11/06/1989,51.72,0.07281
11/07/1989,51.72,0.07281
11/07/1989,51.72,0.07281
11/08/1989,0.0,0.07281
11/08/1989,54.89,0.07281
11/09/1989,0.0,0.07281
11/09/1989,54.36,0.07281
11/10/1989,54.36,0.07281
11/10/1989,54.36,0.07281
11/13/1989,54.36,0.07281
11/13/1989,54.36,0.07281
11/14/1989,54.36,0.07281
11/14/1989,54.36,0.07281
11/15/1989,54.36,0.07281
11/15/1989,54.36,0.07281
11/16/1989,54.36,0.07281
11/16/1989,54.36,0.07281
11/17/1989,54.36,0.07281
11/17/1989,54.36,0.07281
11/20/1989,54.36,0.07281
11/20/1989,54.36,0.07281
11/21/1989,54.36,0.07281
11/21/1989,54.36,0.07281
11/22/1989,54.36,0.07281
11/22/1989,54.36,0.07281
11/24/1989,54.36,0.07281
11/24/1989,54.36,0.07281
11/27/1989,54.36,0.07281
11/27/1989,54.36,0.07281
11/28/1989,54.36,0.07281
11/28/1989,54.36,0.07281
11/29/1989,54.36,0.07281
11/29/1989,54.36,0.07281
11/30/1989,54.36,0.07281
11/30/1989,54.36,0.07281
12/01/1989,54.36,0.07281
12/01/1989,54.36,0.07281
12/04/1989,0.0,0.07281
12/04/1989,51.19,0.07281
12/05/1989,0.0,0.07281
12/05/1989,50.66,0.07281
12/06/1989,50.66,0.07281
12/06/1989,50.66,0.07281
12/07/1989,50.66,0.07281
12/07/1989,50.66,0.07281
12/08/1989,0.0,0.07281
12/08/1989,48.55,0.07281
12/11/1989,0.0,0.07281
12/11/1989,49.61,0.07281
12/12/1989,49.61,0.07281
12/12/1989,49.61,0.07281
12/13/1989,49.61,0.0426
12/13/1989,49.61,0.0426
12/14/1989,0.0,0.0426
12/14/1989,48.55,0.0426
12/15/1989,0.0,0.0426
12/15/1989,49.61,0.0426
12/18/1989,0.0,0.0426
12/18/1989,48.55,0.0426
12/19/1989,0.0,0.0426
12/19/1989,49.08,0.0426
12/20/1989,0.0,0.0426
12/20/1989,49.08,0.0426
