BCH-USD,BitcoinCash USD,
Date,Price,Dividend,Annualized Dividend
10/03/2018,531.635986328125,0.0,0.0
10/04/2018,516.7869873046875,0.0,0.0
10/05/2018,513.8980102539062,0.0,0.0
10/06/2018,519.9180297851562,0.0,0.0
10/07/2018,509.6260070800781,0.0,0.0
10/08/2018,518.7100219726562,0.0,0.0
10/09/2018,526.905029296875,0.0,0.0
10/10/2018,516.656005859375,0.0,0.0
10/11/2018,511.7699890136719,0.0,0.0
10/12/2018,430.35198974609375,0.0,0.0
10/13/2018,443.1809997558594,0.0,0.0
10/14/2018,448.18798828125,0.0,0.0
10/15/2018,438.6499938964844,0.0,0.0
10/16/2018,459.322998046875,0.0,0.0
10/17/2018,458.84600830078125,0.0,0.0
10/18/2018,449.2200012207031,0.0,0.0
10/19/2018,438.31298828125,0.0,0.0
10/20/2018,440.8689880371094,0.0,0.0
10/21/2018,447.5419921875,0.0,0.0
10/22/2018,447.18701171875,0.0,0.0
10/23/2018,447.1709899902344,0.0,0.0
10/24/2018,441.2669982910156,0.0,0.0
10/25/2018,442.17498779296875,0.0,0.0
10/26/2018,439.1239929199219,0.0,0.0
10/27/2018,438.60198974609375,0.0,0.0
10/28/2018,438.8919982910156,0.0,0.0
10/29/2018,440.2070007324219,0.0,0.0
10/30/2018,417.69000244140625,0.0,0.0
10/31/2018,422.22601318359375,0.0,0.0
11/01/2018,423.0690002441406,0.0,0.0
11/02/2018,424.239990234375,0.0,0.0
11/03/2018,461.77301025390625,0.0,0.0
11/04/2018,478.5350036621094,0.0,0.0
11/05/2018,557.7160034179688,0.0,0.0
11/06/2018,558.5460205078125,0.0,0.0
11/07/2018,630.176025390625,0.0,0.0
11/08/2018,616.5269775390625,0.0,0.0
11/09/2018,574.0059814453125,0.0,0.0
11/10/2018,542.8820190429688,0.0,0.0
11/11/2018,555.7760009765625,0.0,0.0
11/12/2018,533.5679931640625,0.0,0.0
11/13/2018,514.583984375,0.0,0.0
11/14/2018,511.6300048828125,0.0,0.0
11/15/2018,439.9639892578125,0.0,0.0
11/16/2018,421.1990051269531,0.0,0.0
11/17/2018,389.4960021972656,0.0,0.0
11/18/2018,387.635009765625,0.0,0.0
11/19/2018,383.6289978027344,0.0,0.0
11/20/2018,336.3139953613281,0.0,0.0
11/21/2018,226.38299560546875,0.0,0.0
11/22/2018,236.20799255371094,0.0,0.0
11/23/2018,210.41799926757812,0.0,0.0
11/24/2018,207.66299438476562,0.0,0.0
11/25/2018,181.1269989013672,0.0,0.0
11/26/2018,184.82899475097656,0.0,0.0
11/27/2018,182.0019989013672,0.0,0.0
11/28/2018,179.13600158691406,0.0,0.0
11/29/2018,190.1019744873047,0.0,0.0
11/30/2018,181.09329223632812,0.0,0.0
12/01/2018,172.51766967773438,0.0,0.0
12/02/2018,171.93618774414062,0.0,0.0
12/03/2018,172.31532287597656,0.0,0.0
12/04/2018,159.6411895751953,0.0,0.0
12/05/2018,149.8535919189453,0.0,0.0
12/06/2018,130.5186767578125,0.0,0.0
12/07/2018,107.48939514160156,0.0,0.0
12/08/2018,106.23509979248047,0.0,0.0
12/09/2018,103.7276840209961,0.0,0.0
12/10/2018,109.599853515625,0.0,0.0
12/11/2018,107.05274200439453,0.0,0.0
12/12/2018,101.71315002441406,0.0,0.0
12/13/2018,102.43241882324219,0.0,0.0
12/14/2018,90.24313354492188,0.0,0.0
12/15/2018,80.33245086669922,0.0,0.0
12/16/2018,77.37089538574219,0.0,0.0
12/17/2018,81.53206634521484,0.0,0.0
12/18/2018,90.30988311767578,0.0,0.0
12/19/2018,105.43772888183594,0.0,0.0
12/20/2018,126.2838363647461,0.0,0.0
12/21/2018,190.48019409179688,0.0,0.0
12/22/2018,196.3031768798828,0.0,0.0
12/23/2018,197.89273071289062,0.0,0.0
12/24/2018,200.0340576171875,0.0,0.0
12/25/2018,183.0314178466797,0.0,0.0
12/26/2018,172.05953979492188,0.0,0.0
12/27/2018,175.4122772216797,0.0,0.0
12/28/2018,150.5561981201172,0.0,0.0
12/29/2018,174.46963500976562,0.0,0.0
12/30/2018,165.1508026123047,0.0,0.0
12/31/2018,163.52188110351562,0.0,0.0
01/01/2019,150.89578247070312,0.0,0.0
01/02/2019,165.62203979492188,0.0,0.0
01/03/2019,173.2724609375,0.0,0.0
01/04/2019,161.71157836914062,0.0,0.0
01/05/2019,161.1407928466797,0.0,0.0
01/06/2019,160.18698120117188,0.0,0.0
01/07/2019,166.8470001220703,0.0,0.0
01/08/2019,161.40292358398438,0.0,0.0
01/09/2019,162.11941528320312,0.0,0.0
01/10/2019,160.28477478027344,0.0,0.0
01/11/2019,133.90774536132812,0.0,0.0
01/12/2019,131.49559020996094,0.0,0.0
01/13/2019,134.49673461914062,0.0,0.0
01/14/2019,126.48271942138672,0.0,0.0
01/15/2019,133.9701690673828,0.0,0.0
01/16/2019,128.6878662109375,0.0,0.0
01/17/2019,129.2044677734375,0.0,0.0
01/18/2019,131.0939178466797,0.0,0.0
01/19/2019,128.5467987060547,0.0,0.0
01/20/2019,130.1376190185547,0.0,0.0
01/21/2019,123.92018127441406,0.0,0.0
01/22/2019,122.71257781982422,0.0,0.0
01/23/2019,128.440185546875,0.0,0.0
01/24/2019,132.21119689941406,0.0,0.0
01/25/2019,129.52093505859375,0.0,0.0
01/26/2019,128.4443817138672,0.0,0.0
01/27/2019,127.15506744384766,0.0,0.0
01/28/2019,123.03539276123047,0.0,0.0
01/29/2019,112.25018310546875,0.0,0.0
01/30/2019,110.95767211914062,0.0,0.0
01/31/2019,118.15505981445312,0.0,0.0
02/01/2019,114.79912567138672,0.0,0.0
02/02/2019,116.55433654785156,0.0,0.0
02/03/2019,121.79032135009766,0.0,0.0
02/04/2019,119.3039779663086,0.0,0.0
02/05/2019,119.0271987915039,0.0,0.0
02/06/2019,117.98096466064453,0.0,0.0
02/07/2019,115.17918395996094,0.0,0.0
02/08/2019,115.78274536132812,0.0,0.0
02/09/2019,129.9276885986328,0.0,0.0
02/10/2019,128.6325225830078,0.0,0.0
02/11/2019,127.69316864013672,0.0,0.0
02/12/2019,122.5234146118164,0.0,0.0
02/13/2019,123.37847137451172,0.0,0.0
02/14/2019,123.11617279052734,0.0,0.0
02/15/2019,122.18020629882812,0.0,0.0
