GAAEX,Guinness Atkinson Alternative E,
Date,Price,Dividend,Annualized Dividend
02/10/2012,3.4679124355316167,0.0,0.05
02/15/2012,3.318861722946167,0.0,0.05
02/16/2012,3.368545532226563,0.0,0.05
02/17/2012,3.4281656742095947,0.0,0.05
02/21/2012,3.497722625732422,0.0,0.05
02/22/2012,3.4381022453308105,0.0,0.05
02/27/2012,3.2989881038665767,0.0,0.05
02/29/2012,3.24930477142334,0.0,0.05
03/06/2012,3.080380439758301,0.0,0.05
03/07/2012,3.100254058837891,0.0,0.05
03/12/2012,3.130064487457276,0.0,0.05
03/21/2012,3.169811248779297,0.0,0.05
03/28/2012,3.1101911067962646,0.0,0.05
03/29/2012,3.0704438686370845,0.0,0.05
03/30/2012,3.0505707263946533,0.0,0.05
04/02/2012,3.010823965072632,0.0,0.05
04/03/2012,2.9710769653320312,0.0,0.05
04/04/2012,2.8915834426879883,0.0,0.05
04/09/2012,2.831963062286377,0.0,0.05
04/10/2012,2.7822792530059814,0.0,0.05
04/11/2012,2.841899633407593,0.0,0.05
04/12/2012,2.8617730140686035,0.0,0.05
04/13/2012,2.802152872085571,0.0,0.05
04/17/2012,2.851836204528808,0.0,0.05
04/18/2012,2.822026014328003,0.0,0.05
04/20/2012,2.7723426818847656,0.0,0.05
04/23/2012,2.7127225399017334,0.0,0.05
04/24/2012,2.722659111022949,0.0,0.05
04/25/2012,2.7524693012237544,0.0,0.05
05/01/2012,2.792216300964356,0.0,0.05
05/03/2012,2.74253249168396,0.0,0.05
05/04/2012,2.7027857303619385,0.0,0.05
05/07/2012,2.6928491592407227,0.0,0.05
05/08/2012,2.663038969039917,0.0,0.05
05/09/2012,2.653102397918701,0.0,0.05
05/10/2012,2.6729755401611324,0.0,0.05
05/14/2012,2.5934817790985107,0.0,0.05
05/15/2012,2.5437982082366943,0.0,0.05
05/16/2012,2.484178066253662,0.0,0.05
05/17/2012,2.404684543609619,0.0,0.05
05/18/2012,2.3450639247894283,0.0,0.05
05/21/2012,2.3848109245300293,0.0,0.05
05/23/2012,2.3649375438690186,0.0,0.05
05/24/2012,2.335127115249634,0.0,0.05
05/25/2012,2.325190544128418,0.0,0.05
05/30/2012,2.275506734848022,0.0,0.05
06/01/2012,2.245697021484375,0.0,0.05
06/04/2012,2.2158868312835693,0.0,0.05
06/05/2012,2.255633592605591,0.0,0.05
06/06/2012,2.3053171634674072,0.0,0.05
06/07/2012,2.2953803539276123,0.0,0.05
06/12/2012,2.315253734588623,0.0,0.05
06/15/2012,2.394747734069824,0.0,0.05
06/18/2012,2.4344944953918457,0.0,0.05
06/19/2012,2.444431304931641,0.0,0.05
06/20/2012,2.474241256713867,0.0,0.05
06/29/2012,2.424557685852051,0.0,0.05
07/06/2012,2.464304685592651,0.0,0.05
07/12/2012,2.3550007343292236,0.0,0.05
07/24/2012,2.1860766410827637,0.0,0.05
07/25/2012,2.176140069961548,0.0,0.05
07/26/2012,2.2258236408233643,0.0,0.05
07/27/2012,2.2655704021453857,0.0,0.05
07/31/2012,2.1960132122039795,0.0,0.05
08/13/2012,2.2854437828063965,0.0,0.05
08/20/2012,2.3748741149902344,0.0,0.05
08/23/2012,2.414620876312256,0.0,0.05
09/24/2012,2.454367637634277,0.0,0.05
11/15/2012,2.146329879760742,0.0,0.05
11/16/2012,2.1264564990997314,0.0,0.05
11/20/2012,2.1165196895599365,0.0,0.05
12/27/2012,2.430485725402832,0.006,0.006
12/28/2012,2.430485725402832,0.0,0.006
12/31/2012,2.4603686332702632,0.0,0.006
01/02/2013,2.5400567054748535,0.0,0.006
01/03/2013,2.6695499420166016,0.0,0.006
01/04/2013,2.689472198486328,0.0,0.006
01/07/2013,2.649627923965454,0.0,0.006
01/08/2013,2.659589052200318,0.0,0.006
01/09/2013,2.759198904037475,0.0,0.006
01/10/2013,2.7990431785583496,0.0,0.006
01/11/2013,2.818964958190918,0.0,0.006
01/14/2013,2.8289258480072017,0.0,0.006
01/15/2013,2.809004068374634,0.0,0.006
01/22/2013,2.8687701225280766,0.0,0.006
01/24/2013,2.7890818119049072,0.0,0.006
01/28/2013,2.769160032272339,0.0,0.006
01/29/2013,2.7492380142211914,0.0,0.006
02/04/2013,2.739276885986328,0.0,0.006
02/07/2013,2.8488478660583496,0.0,0.006
02/12/2013,2.928536176681519,0.0,0.006
02/13/2013,2.9484581947326656,0.0,0.006
02/14/2013,2.978341102600098,0.0,0.006
02/15/2013,2.938497066497803,0.0,0.006
03/04/2013,2.7293159961700435,0.0,0.006
03/07/2013,2.779120922088623,0.0,0.006
03/13/2013,2.7193548679351807,0.0,0.006
03/18/2013,2.6994330883026123,0.0,0.006
03/20/2013,2.7093939781188965,0.0,0.006
03/26/2013,2.63966703414917,0.0,0.006
03/27/2013,2.599822759628296,0.0,0.006
03/28/2013,2.5898618698120113,0.0,0.006
04/02/2013,2.550017833709717,0.0,0.006
04/03/2013,2.510173797607422,0.0,0.006
04/05/2013,2.5300958156585693,0.0,0.006
04/08/2013,2.569939613342285,0.0,0.006
04/19/2013,2.6297059059143066,0.0,0.006
04/22/2013,2.6795108318328857,0.0,0.006
05/02/2013,2.8787312507629395,0.0,0.006
05/10/2013,2.9584190845489506,0.0,0.006
05/13/2013,3.0082240104675293,0.0,0.006
05/15/2013,3.0580291748046875,0.0,0.006
05/16/2013,3.0181853771209717,0.0,0.006
05/20/2013,3.2174053192138667,0.0,0.006
05/21/2013,3.267210245132446,0.0,0.006
05/22/2013,3.127756357192993,0.0,0.006
05/23/2013,3.1177952289581303,0.0,0.006
05/24/2013,3.1476783752441406,0.0,0.006
05/28/2013,3.207444429397583,0.0,0.006
05/29/2013,3.1875224113464355,0.0,0.006
06/03/2013,3.1676003932952885,0.0,0.006
06/04/2013,3.137717485427856,0.0,0.006
06/05/2013,3.087912082672119,0.0,0.006
06/12/2013,3.097873210906982,0.0,0.006
06/17/2013,3.1775612831115727,0.0,0.006
06/21/2013,3.03810715675354,0.0,0.006
06/28/2013,3.107834100723267,0.0,0.006
07/10/2013,3.277171373367309,0.0,0.006
07/11/2013,3.3468983173370366,0.0,0.006
07/12/2013,3.307054281234741,0.0,0.006
07/15/2013,3.4166254997253414,0.0,0.006
07/16/2013,3.476391553878784,0.0,0.006
07/17/2013,3.4465084075927734,0.0,0.006
07/18/2013,3.4664306640625,0.0,0.006
07/22/2013,3.5361576080322266,0.0,0.006
07/23/2013,3.5660405158996578,0.0,0.006
07/24/2013,3.5859625339508057,0.0,0.006
07/25/2013,3.6258065700531,0.0,0.006
07/30/2013,3.655689716339111,0.0,0.006
07/31/2013,3.6357676982879643,0.0,0.006
08/02/2013,3.556079387664795,0.0,0.006
08/06/2013,3.5760016441345215,0.0,0.006
08/07/2013,3.4564695358276363,0.0,0.006
08/08/2013,3.5261964797973637,0.0,0.006
08/14/2013,3.5461184978485107,0.0,0.006
08/15/2013,3.506274461746216,0.0,0.006
08/19/2013,3.4365475177764897,0.0,0.006
08/23/2013,3.5959234237670903,0.0,0.006
08/27/2013,3.4265866279602055,0.0,0.006
09/05/2013,3.6855728626251225,0.0,0.006
09/06/2013,3.705494642257691,0.0,0.006
09/09/2013,3.7453386783599854,0.0,0.006
09/10/2013,3.7851827144622803,0.0,0.006
09/11/2013,3.735377550125122,0.0,0.006
09/17/2013,3.7254166603088374,0.0,0.006
09/19/2013,3.7552998065948486,0.0,0.006
09/24/2013,3.765260696411133,0.0,0.006
09/25/2013,3.8349876403808594,0.0,0.006
09/26/2013,3.864871025085449,0.0,0.006
09/27/2013,3.964480876922607,0.0,0.006
09/30/2013,4.014286041259766,0.0,0.006
10/01/2013,4.113896369934082,0.0,0.006
10/02/2013,4.123856544494629,0.0,0.006
10/03/2013,4.093973636627197,0.0,0.006
10/08/2013,4.064091205596924,0.0,0.006
10/09/2013,4.044168949127197,0.0,0.006
10/10/2013,4.13381814956665,0.0,0.006
10/11/2013,4.173662185668946,0.0,0.006
10/14/2013,4.18362283706665,0.0,0.006
10/15/2013,4.193583965301514,0.0,0.006
10/16/2013,4.21350622177124,0.0,0.006
10/17/2013,4.2732720375061035,0.0,0.006
10/18/2013,4.31311559677124,0.0,0.006
10/21/2013,4.352960109710693,0.0,0.006
10/22/2013,4.42268705368042,0.0,0.006
11/04/2013,4.233428001403809,0.0,0.006
11/05/2013,4.223466873168945,0.0,0.006
11/06/2013,4.253350257873535,0.0,0.006
11/07/2013,4.1437788009643555,0.0,0.006
11/14/2013,4.243389129638672,0.0,0.006
11/18/2013,4.293193817138672,0.0,0.006
11/29/2013,4.203544616699219,0.0,0.006
12/06/2013,3.9246368408203125,0.0,0.006
12/09/2013,3.8748319149017334,0.0,0.006
12/10/2013,3.904715061187744,0.0,0.006
12/11/2013,3.854909658432007,0.0,0.006
12/12/2013,3.8449485301971436,0.0,0.006
12/13/2013,3.8847928047180176,0.0,0.006
12/17/2013,3.894753932952881,0.0,0.006
12/19/2013,3.9345979690551762,0.0,0.006
12/23/2013,3.9146759510040288,0.0,0.006
12/27/2013,3.9545197486877437,0.0,0.006
12/30/2013,3.9844028949737544,0.0,0.006
12/31/2013,3.9744420051574707,0.0,0.006
01/03/2014,4.153739929199219,0.0,0.0
01/07/2014,4.283233642578125,0.0,0.0
01/09/2014,4.26331090927124,0.0,0.0
01/15/2014,4.333038330078125,0.0,0.0
01/16/2014,4.362921237945557,0.0,0.0
01/17/2014,4.34299898147583,0.0,0.0
01/22/2014,4.323077201843262,0.0,0.0
01/24/2014,4.084012985229492,0.0,0.0
01/27/2014,4.024246692657471,0.0,0.0
01/30/2014,4.1039347648620605,0.0,0.0
02/26/2014,4.303155422210693,0.0,0.0
02/28/2014,4.372881889343262,0.0,0.0
03/05/2014,4.4426093101501465,0.0,0.0
03/06/2014,4.562140941619873,0.0,0.0
03/07/2014,4.552180767059326,0.0,0.0
03/10/2014,4.472492218017578,0.0,0.0
03/17/2014,4.412725925445557,0.0,0.0
03/19/2014,4.392804145812988,0.0,0.0
04/14/2014,4.0541300773620605,0.0,0.0
04/15/2014,4.034208297729492,0.0,0.0
05/15/2014,4.074051856994629,0.0,0.0
06/17/2014,4.382843494415283,0.0,0.0
06/23/2014,4.402765274047852,0.0,0.0
06/30/2014,4.452569961547852,0.0,0.0
07/02/2014,4.432648181915283,0.0,0.0
07/03/2014,4.462531089782716,0.0,0.0
07/21/2014,4.163701057434082,0.0,0.0
10/10/2014,3.645728826522827,0.0,0.0
10/16/2014,3.6158456802368164,0.0,0.0
10/20/2014,3.715455770492554,0.0,0.0
10/28/2014,3.7752215862274174,0.0,0.0
11/03/2014,3.8051047325134277,0.0,0.0
11/06/2014,3.6756117343902592,0.0,0.0
11/11/2014,3.6955337524414067,0.0,0.0
11/17/2014,3.6058845520019527,0.0,0.0
11/19/2014,3.665650606155395,0.0,0.0
12/08/2014,3.5162353515625,0.0,0.0
12/18/2014,3.3568594455718994,0.0,0.0
12/19/2014,3.396703481674195,0.0,0.0
