PSX,Phillips 66,
Date,Price,Annualized Dividend
01/24/2013,42.173937657431885,0.45
01/24/2013,42.64506912231445,0.45
01/25/2013,42.93381688419483,0.45
01/25/2013,43.16938400268555,0.45
01/28/2013,43.38216781616211,0.45
01/28/2013,43.38216781616211,0.45
01/29/2013,44.07367028848425,0.45
01/29/2013,45.50226593017578,0.45
01/30/2013,47.401988458586,0.45
01/30/2013,46.170963287353516,0.45
01/31/2013,45.874605888461474,0.45
01/31/2013,46.02658462524414,0.45
02/01/2013,47.11323310274526,0.45
02/01/2013,47.68315124511719,0.45
02/04/2013,47.21201595005428,0.45
02/04/2013,46.52051544189453,0.45
02/05/2013,46.900463727111294,0.45
02/05/2013,46.360939025878906,0.45
02/06/2013,46.19376064098471,0.45
02/06/2013,46.90045928955078,0.45
02/07/2013,47.02203548776846,0.45
02/07/2013,48.070682525634766,0.45
02/08/2013,48.18466253120206,0.45
02/08/2013,48.648193359375,0.45
02/11/2013,48.63300246867615,0.45
02/11/2013,48.76978302001953,0.45
02/12/2013,49.10413984888674,0.45
02/12/2013,48.95975875854492,0.45
02/13/2013,49.01295545200027,0.45
02/13/2013,48.71659851074219,0.45
02/14/2013,48.45823243018899,0.45
02/14/2013,49.26371765136719,0.45
02/15/2013,49.05095015270384,0.45
02/15/2013,48.76218795776367,0.45
02/19/2013,48.61901005919338,0.7625
02/19/2013,49.45134735107422,0.7625
02/20/2013,49.44370914455534,0.7625
02/20/2013,47.83249282836914,0.7625
02/21/2013,47.58813867363067,0.7625
02/21/2013,47.56523132324219,0.7625
02/22/2013,47.939388667511146,0.7625
02/22/2013,48.95499038696289,0.7625
02/25/2013,49.24517371640685,0.7625
02/25/2013,46.839805603027344,0.7625
02/26/2013,46.94670833049416,0.7625
02/26/2013,46.75580596923828,0.7625
02/27/2013,46.80925637750861,0.7625
02/27/2013,48.09975814819336,0.7625
02/28/2013,48.00047968439162,0.7625
02/28/2013,48.076839447021484,0.7625
03/01/2013,47.88594257879537,0.7625
03/01/2013,48.794639587402344,0.7625
03/04/2013,48.74881327290187,0.7625
03/04/2013,50.15385437011719,0.7625
03/05/2013,50.42877304628984,0.7625
03/05/2013,50.22259521484375,0.7625
03/06/2013,50.398222380033694,0.7625
03/06/2013,50.436405181884766,0.7625
03/07/2013,50.31421600313611,0.7625
03/07/2013,50.298946380615234,0.7625
03/08/2013,50.45931393694691,0.7625
03/08/2013,50.4211311340332,0.7625
03/11/2013,50.32184863071575,0.7625
03/11/2013,50.16149139404297,0.7625
03/12/2013,50.138584767131576,0.7625
03/12/2013,50.56620407104492,0.7625
03/13/2013,50.306584992780024,0.7625
03/13/2013,49.29098892211914,0.7625
03/14/2013,49.604065642682684,0.7625
03/14/2013,49.59642791748047,0.7625
03/15/2013,49.24516285207446,0.7625
03/15/2013,48.985538482666016,0.7625
03/18/2013,48.3517451537798,0.7625
03/18/2013,49.65751647949219,0.7625
03/19/2013,49.5429712178841,0.7625
03/19/2013,49.947689056396484,0.7625
03/20/2013,50.39821022133264,0.7625
03/20/2013,51.57416915893555,0.7625
03/21/2013,51.1618296548698,0.7625
03/21/2013,51.02437973022461,0.7625
03/22/2013,51.13893033782483,0.7625
03/22/2013,51.581825256347656,0.7625
03/25/2013,51.879611917325484,0.7625
03/25/2013,51.05491256713867,0.7625
03/26/2013,51.14656613034853,0.7625
03/26/2013,51.34510040283203,0.7625
03/27/2013,51.261096625512046,0.7625
03/27/2013,52.13161087036133,0.7625
03/28/2013,52.21560660776108,0.7625
03/28/2013,53.42974853515625,0.7625
04/01/2013,53.45265298552857,0.7625
04/01/2013,52.96394348144531,0.7625
04/02/2013,53.58246267720147,0.7625
04/02/2013,51.039642333984375,0.7625
04/03/2013,51.039644595092035,0.7625
04/03/2013,47.695037841796875,0.7625
04/04/2013,47.77903239237915,0.7625
04/04/2013,47.64158248901367,0.7625
04/05/2013,46.778709376372575,0.7625
04/05/2013,47.580501556396484,0.7625
04/08/2013,47.56522688961069,0.7625
04/08/2013,48.58082580566406,0.7625
04/09/2013,48.832819873792694,0.7625
04/09/2013,49.37498474121094,0.7625
04/10/2013,49.466610665734,0.7625
04/10/2013,48.76409149169922,0.7625
04/11/2013,48.725905013513,0.7625
04/11/2013,47.35140609741211,0.7625
04/12/2013,46.862701680863125,0.7625
04/12/2013,46.32817459106445,0.7625
04/15/2013,45.19041276349319,0.7625
04/15/2013,43.922821044921875,0.7625
04/16/2013,44.40388530313875,0.7625
04/16/2013,45.266761779785156,0.7625
04/17/2013,44.70933484112151,0.7625
04/17/2013,44.281715393066406,0.7625
04/18/2013,44.22825587169393,0.7625
04/18/2013,43.70136642456055,0.7625
04/19/2013,44.39624606573097,0.7625
04/19/2013,44.16716384887695,0.7625
04/22/2013,44.380980088553436,0.7625
04/22/2013,45.381309509277344,0.7625
04/23/2013,45.503474505894616,0.7625
04/23/2013,46.694705963134766,0.7625
