ENB,Enbridge Inc,
Date,Price,Dividend,Annualized Dividend
06/23/1986,0.0,0.0,0.0
06/24/1986,0.0,0.0,0.0
06/30/1986,0.0,0.0,0.0
07/03/1986,0.0,0.0,0.0
07/08/1986,0.0,0.0,0.0
07/10/1986,0.0,0.0,0.0
07/17/1986,0.0,0.0,0.0
07/18/1986,0.0,0.0,0.0
07/21/1986,0.0,0.0,0.0
07/22/1986,0.0,0.0,0.0
07/24/1986,0.0,0.0,0.0
08/04/1986,0.0,0.0,0.0
08/05/1986,0.0,0.0,0.0
08/06/1986,0.0,0.0,0.0
08/13/1986,0.0,0.0,0.0
08/14/1986,0.0,0.0,0.0
08/15/1986,0.0,0.0,0.0
08/21/1986,0.0,0.0,0.0
08/27/1986,0.0,0.0,0.0
08/28/1986,0.44887790083885193,0.0,0.0
09/02/1986,0.0,0.0,0.0
09/04/1986,0.0,0.0,0.0
09/05/1986,0.0,0.0,0.0
09/09/1986,0.0,0.0,0.0
09/11/1986,0.0,0.0,0.0
09/12/1986,0.4665192663669586,0.0,0.0
09/24/1986,0.0,0.0,0.0
10/06/1986,0.0,0.0,0.0
10/07/1986,0.45279803872108465,0.0,0.0
10/09/1986,0.0,0.0,0.0
10/15/1986,0.0,0.0,0.0
10/16/1986,0.0,0.0,0.0
10/21/1986,0.0,0.0,0.0
10/23/1986,0.0,0.0,0.0
10/28/1986,0.0,0.0,0.0
10/29/1986,0.0,0.0,0.0
10/30/1986,0.4508382081985474,0.0,0.0
11/03/1986,0.0,0.0,0.0
11/04/1986,0.4312365651130676,0.0,0.0
11/05/1986,0.0,0.0,0.0
11/12/1986,0.0,0.0,0.0
11/13/1986,0.437116801738739,0.0,0.0
11/14/1986,0.0,0.0,0.0
12/03/1986,0.0,0.0,0.0
12/05/1986,0.0,0.0,0.0
12/11/1986,0.0,0.0,0.0
12/12/1986,0.0,0.0,0.0
12/16/1986,0.0,0.0,0.0
12/18/1986,0.0,0.0,0.0
12/19/1986,0.0,0.0,0.0
12/22/1986,0.0,0.0,0.0
12/29/1986,0.0,0.0,0.0
12/30/1986,0.0,0.0,0.0
12/31/1986,0.4449573755264282,0.0,0.0
01/05/1987,0.0,0.0,0.0
01/06/1987,0.0,0.0,0.0
01/07/1987,0.4586785435676575,0.0,0.0
01/09/1987,0.0,0.0,0.0
01/12/1987,0.0,0.0,0.0
01/14/1987,0.0,0.0,0.0
01/15/1987,0.0,0.0,0.0
01/20/1987,0.0,0.0,0.0
01/21/1987,0.0,0.0,0.0
01/23/1987,0.0,0.0,0.0
01/27/1987,0.0,0.0,0.0
01/28/1987,0.0,0.0,0.0
01/30/1987,0.0,0.0,0.0
02/02/1987,0.0,0.0,0.0
02/03/1987,0.5331647396087646,0.0,0.0
02/04/1987,0.0,0.0,0.0
02/05/1987,0.0,0.0,0.0
02/06/1987,0.0,0.0,0.0
02/09/1987,0.5606073141098022,0.0,0.0
02/10/1987,0.0,0.0,0.0
02/11/1987,0.5449256300926208,0.0,0.0
02/12/1987,0.0,0.0,0.0
02/13/1987,0.0,0.0,0.0
02/17/1987,0.0,0.0,0.0
02/18/1987,0.0,0.0,0.0
02/19/1987,0.0,0.0,0.0
02/20/1987,0.5370854139328003,0.0,0.0
02/24/1987,0.0,0.0,0.0
02/26/1987,0.0,0.0,0.0
02/27/1987,0.5155234932899475,0.0,0.0
03/03/1987,0.0,0.0,0.0
03/10/1987,0.0,0.0,0.0
03/12/1987,0.0,0.0,0.0
03/13/1987,0.0,0.0,0.0
03/16/1987,0.5508063435554504,0.0,0.0
03/17/1987,0.0,0.0,0.0
03/18/1987,0.0,0.0,0.0
03/19/1987,0.0,0.0,0.0
03/20/1987,0.0,0.0,0.0
03/23/1987,0.5880493521690369,0.0,0.0
03/25/1987,0.0,0.0,0.0
03/26/1987,0.5723685622215271,0.0,0.0
03/31/1987,0.0,0.0,0.0
04/01/1987,0.5704082250595093,0.0,0.0
04/02/1987,0.0,0.0,0.0
04/13/1987,0.0,0.0,0.0
04/14/1987,0.0,0.0,0.0
04/15/1987,0.5958900451660156,0.0,0.0
04/20/1987,0.0,0.0,0.0
04/21/1987,0.0,0.0,0.0
04/22/1987,0.5841296315193176,0.0,0.0
04/23/1987,0.0,0.0,0.0
04/24/1987,0.580208957195282,0.0,0.0
04/27/1987,0.0,0.0,0.0
04/28/1987,0.5762885212898254,0.0,0.0
05/05/1987,0.0,0.0,0.0
05/06/1987,0.5488459467887878,0.0,0.0
05/11/1987,0.0,0.0,0.0
05/12/1987,0.0,0.0,0.0
05/13/1987,0.5645273327827454,0.0,0.0
05/15/1987,0.0,0.0,0.0
05/18/1987,0.0,0.0,0.0
05/19/1987,0.0,0.0,0.0
06/01/1987,0.0,0.0,0.0
06/10/1987,0.0,0.0,0.0
06/11/1987,0.0,0.0,0.0
06/19/1987,0.0,0.0,0.0
06/22/1987,0.0,0.0,0.0
06/26/1987,0.0,0.0,0.0
06/29/1987,0.5919697284698486,0.0,0.0
07/06/1987,0.0,0.0,0.0
07/07/1987,0.6135316491127014,0.0,0.0
07/09/1987,0.0,0.0,0.0
07/10/1987,0.0,0.0,0.0
07/13/1987,0.0,0.0,0.0
07/14/1987,0.0,0.0,0.0
07/15/1987,0.6370533108711243,0.0,0.0
07/17/1987,0.0,0.0,0.0
07/20/1987,0.654695451259613,0.0,0.0
07/22/1987,0.0,0.0,0.0
07/23/1987,0.0,0.0,0.0
07/24/1987,0.6468541026115417,0.0,0.0
07/27/1987,0.0,0.0,0.0
07/28/1987,0.6311730742454529,0.0,0.0
07/30/1987,0.0,0.0,0.0
07/31/1987,0.6213721036911011,0.0,0.0
08/03/1987,0.0,0.0,0.0
08/04/1987,0.6154918074607849,0.0,0.0
08/06/1987,0.0,0.0,0.0
08/07/1987,0.6292130351066589,0.0,0.0
08/11/1987,0.0,0.0,0.0
08/12/1987,0.6331331729888916,0.0,0.0
08/13/1987,0.0,0.0,0.0
08/14/1987,0.6390138268470764,0.0,0.0
08/18/1987,0.0,0.0,0.0
08/19/1987,0.0,0.0,0.0
08/20/1987,0.6429339051246643,0.0,0.0
08/21/1987,0.0,0.0,0.0
08/26/1987,0.0,0.0,0.0
08/27/1987,0.0,0.0,0.0
08/28/1987,0.6507748961448669,0.0,0.0
08/31/1987,0.0,0.0,0.0
09/01/1987,0.648814857006073,0.0,0.0
09/08/1987,0.0,0.0,0.0
09/09/1987,0.0,0.0,0.0
09/10/1987,0.6272527575492859,0.0,0.0
09/17/1987,0.0,0.0,0.0
09/18/1987,0.6233322620391846,0.0,0.0
09/22/1987,0.0,0.0,0.0
09/23/1987,0.5978499054908752,0.0,0.0
09/24/1987,0.0,0.0,0.0
