MSFT,Microsoft Corporation,
Date,Price,Dividend,Annualized Dividend
04/16/1987,0.21122891011363668,0.0,0.0
04/20/1987,0.21673003146499992,0.0,0.0
04/21/1987,0.21067890328100822,0.0,0.0
04/22/1987,0.213979751058311,0.0,0.0
04/23/1987,0.21672996878623962,0.0,0.0
04/24/1987,0.21672994534514797,0.0,0.0
04/27/1987,0.21783001720905307,0.0,0.0
04/28/1987,0.21783002976403248,0.0,0.0
04/29/1987,0.2337824869351318,0.0,0.0
04/30/1987,0.2271813768913818,0.0,0.0
05/01/1987,0.22883149326963748,0.0,0.0
05/04/1987,0.2310316128471056,0.0,0.0
05/05/1987,0.23598265288004333,0.0,0.0
05/06/1987,0.25468523775671836,0.0,0.0
05/07/1987,0.24863419695472933,0.0,0.0
05/08/1987,0.260735828258712,0.0,0.0
05/11/1987,0.27833841998456904,0.0,0.0
05/12/1987,0.2706370612255544,0.0,0.0
05/13/1987,0.26293660362270266,0.0,0.0
05/14/1987,0.2678868413728243,0.0,0.0
05/15/1987,0.26953702522525413,0.0,0.0
05/18/1987,0.26238648227415307,0.0,0.0
05/19/1987,0.2535853823419428,0.0,0.0
05/20/1987,0.24368385699412,0.0,0.0
05/21/1987,0.24148301273893805,0.0,0.0
05/22/1987,0.24533397973189747,0.0,0.0
05/26/1987,0.23818281699315366,0.0,0.0
05/27/1987,0.24093301594257358,0.0,0.0
05/28/1987,0.24093306269382983,0.0,0.0
05/29/1987,0.25578535222871573,0.0,0.0
06/01/1987,0.25358514717410924,0.0,0.0
06/02/1987,0.24863424287860883,0.0,0.0
06/03/1987,0.24863418111581975,0.0,0.0
06/04/1987,0.24918429782987006,0.0,0.0
06/05/1987,0.24753424340152025,0.0,0.0
06/08/1987,0.24038303096582297,0.0,0.0
06/09/1987,0.24148303459120593,0.0,0.0
06/10/1987,0.23983309198218974,0.0,0.0
06/11/1987,0.2315817350502354,0.0,0.0
06/12/1987,0.21452981418530268,0.0,0.0
06/15/1987,0.21617992222309113,0.0,0.0
06/16/1987,0.21617985109530774,0.0,0.0
06/17/1987,0.22168050033655312,0.0,0.0
06/18/1987,0.22773131110914782,0.0,0.0
06/19/1987,0.23158173498010035,0.0,0.0
06/22/1987,0.23103181811445067,0.0,0.0
06/23/1987,0.22828152000675545,0.0,0.0
06/24/1987,0.22718138949000796,0.0,0.0
06/25/1987,0.22993160784244537,0.0,0.0
06/26/1987,0.23048162460327148,0.0,0.0
06/29/1987,0.23048160345198962,0.0,0.0
06/30/1987,0.22993160024557818,0.0,0.0
07/01/1987,0.2238811381208884,0.0,0.0
07/02/1987,0.2260812792359755,0.0,0.0
07/06/1987,0.21948020466739546,0.0,0.0
07/07/1987,0.21397978170243143,0.0,0.0
07/08/1987,0.2002275675841605,0.0,0.0
07/09/1987,0.20627860807612225,0.0,0.0
07/10/1987,0.2095788501042599,0.0,0.0
07/13/1987,0.21342967324618037,0.0,0.0
07/14/1987,0.22003021807036563,0.0,0.0
07/15/1987,0.23103165255315664,0.0,0.0
07/16/1987,0.22553127394745637,0.0,0.0
07/17/1987,0.22443118255770295,0.0,0.0
07/20/1987,0.22443121477397784,0.0,0.0
07/21/1987,0.21893006985354518,0.0,0.0
07/22/1987,0.21838007660315054,0.0,0.0
07/23/1987,0.22003020573933357,0.0,0.0
07/24/1987,0.21562987791799698,0.0,0.0
07/27/1987,0.21673003176259223,0.0,0.0
07/28/1987,0.22058028221724515,0.0,0.0
07/29/1987,0.21893006985354518,0.0,0.0
07/30/1987,0.21838012673981413,0.0,0.0
07/31/1987,0.21232896105631208,0.0,0.0
08/03/1987,0.20682867398793597,0.0,0.0
08/04/1987,0.2018775695756618,0.0,0.0
08/05/1987,0.20682863192265563,0.0,0.0
08/06/1987,0.21452979960293758,0.0,0.0
08/07/1987,0.2222305123031684,0.0,0.0
08/10/1987,0.22828159205268952,0.0,0.0
08/11/1987,0.22883150706733668,0.0,0.0
08/12/1987,0.2233310803953853,0.0,0.0
08/13/1987,0.22003016904309253,0.0,0.0
08/14/1987,0.2266314829955273,0.0,0.0
08/17/1987,0.227731404629096,0.0,0.0
08/18/1987,0.22773142820271572,0.0,0.0
08/19/1987,0.2255312651395798,0.0,0.0
08/20/1987,0.2255312791109487,0.0,0.0
08/21/1987,0.2310316128471056,0.0,0.0
08/24/1987,0.2354325858940787,0.0,0.0
08/25/1987,0.24808410014444582,0.0,0.0
08/26/1987,0.2524851835125619,0.0,0.0
08/27/1987,0.2541352764994663,0.0,0.0
08/28/1987,0.2552353857128981,0.0,0.0
08/31/1987,0.26348653778578773,0.0,0.0
09/01/1987,0.25963560080962095,0.0,0.0
09/02/1987,0.24753423516470444,0.0,0.0
09/03/1987,0.25578535222871573,0.0,0.0
09/04/1987,0.2535851797402071,0.0,0.0
09/08/1987,0.24588396077003627,0.0,0.0
09/09/1987,0.2464340646362794,0.0,0.0
09/10/1987,0.24918429931721983,0.0,0.0
09/11/1987,0.25193452161374336,0.0,0.0
09/14/1987,0.2563354251878925,0.0,0.0
09/15/1987,0.26293666651122194,0.0,0.0
09/16/1987,0.2596357581903444,0.0,0.0
09/17/1987,0.25743556717812605,0.0,0.0
09/18/1987,0.25523544084975613,0.0,0.0
09/21/1987,0.23543258011341092,0.0,0.0
09/22/1987,0.23543264217322948,0.0,0.0
09/23/1987,0.2541353664194028,0.0,0.0
09/24/1987,0.26403666314765684,0.0,0.0
09/25/1987,0.2706371021301367,0.0,0.0
09/28/1987,0.27283794004362344,0.0,0.0
09/29/1987,0.2838395221457444,0.0,0.0
09/30/1987,0.2816386577189936,0.0,0.0
10/01/1987,0.29153994564221325,0.0,0.0
10/02/1987,0.3036419302109793,0.0,0.0
10/05/1987,0.323444901252764,0.0,0.0
10/06/1987,0.3476479485627906,0.0,0.0
10/07/1987,0.32564493870861044,0.0,0.0
10/08/1987,0.32234481910991164,0.0,0.0
10/09/1987,0.3179437691401373,0.0,0.0
10/12/1987,0.31684375490487654,0.0,0.0
10/13/1987,0.31794387034697724,0.0,0.0
10/14/1987,0.32234483547297066,0.0,0.0
10/15/1987,0.31024256348609924,0.0,0.0
10/16/1987,0.3102425669250858,0.0,0.0
10/19/1987,0.27063701430303155,0.0,0.0
10/20/1987,0.20242761833199233,0.0,0.0
10/21/1987,0.2277313805166987,0.0,0.0
10/22/1987,0.24973426276081412,0.0,0.0
10/23/1987,0.23103154299732193,0.0,0.0
10/26/1987,0.20462846710349103,0.0,0.0
10/27/1987,0.1793246503297677,0.0,0.0
10/28/1987,0.176024415504295,0.0,0.0
10/29/1987,0.1815248185291015,0.0,0.0
10/30/1987,0.21893015503883362,0.0,0.0
11/02/1987,0.2167299601441801,0.0,0.0
11/03/1987,0.21672995041340784,0.0,0.0
11/04/1987,0.2068286382002903,0.0,0.0
11/05/1987,0.215629871553354,0.0,0.0
11/06/1987,0.22113029495910166,0.0,0.0
11/09/1987,0.2057284737440557,0.0,0.0
11/10/1987,0.20462840196802248,0.0,0.0
11/11/1987,0.20902874507357935,0.0,0.0
11/12/1987,0.2233310803953853,0.0,0.0
11/13/1987,0.22003011019610608,0.0,0.0
11/16/1987,0.214529811707102,0.0,0.0
11/17/1987,0.20572854578495026,0.0,0.0
11/18/1987,0.20902872954253054,0.0,0.0
11/19/1987,0.21232896473085083,0.0,0.0
11/20/1987,0.20022749016754085,0.0,0.0
11/23/1987,0.20792868087400684,0.0,0.0
11/24/1987,0.213429733748782,0.0,0.0
11/25/1987,0.20902878326675667,0.0,0.0
11/27/1987,0.20242756911206344,0.0,0.0
11/30/1987,0.1947271748586786,0.0,0.0
12/01/1987,0.1958271883158662,0.0,0.0
12/02/1987,0.19142612106364007,0.0,0.0
12/03/1987,0.19472706302857362,0.0,0.0
12/04/1987,0.1771245296724041,0.0,0.0
12/07/1987,0.18922603346159295,0.0,0.0
12/08/1987,0.1903261238113495,0.0,0.0
12/09/1987,0.20792863977986176,0.0,0.0
12/10/1987,0.20022749016754085,0.0,0.0
12/11/1987,0.21012882031751529,0.0,0.0
12/14/1987,0.21122893672206547,0.0,0.0
12/15/1987,0.2255312651395798,0.0,0.0
12/16/1987,0.22223036727204548,0.0,0.0
12/17/1987,0.2409330136073195,0.0,0.0
12/18/1987,0.23103164782910807,0.0,0.0
12/21/1987,0.23103160478663823,0.0,0.0
12/22/1987,0.22663134915937333,0.0,0.0
12/23/1987,0.23433250188827515,0.0,0.0
12/24/1987,0.23433250188827515,0.0,0.0
12/28/1987,0.23323246852004018,0.0,0.0
12/29/1987,0.22553121831457731,0.0,0.0
12/30/1987,0.23983288621217067,0.0,0.0
12/31/1987,0.24313381241135704,0.0,0.0
01/04/1988,0.2409329749662833,0.0,0.0
01/05/1988,0.2519344964367197,0.0,0.0
01/06/1988,0.2519345483760013,0.0,0.0
01/07/1988,0.2552353548721669,0.0,0.0
01/08/1988,0.2651366705735813,0.0,0.0
01/11/1988,0.24533398269479004,0.0,0.0
01/12/1988,0.25523527620506653,0.0,0.0
01/13/1988,0.24643400377936753,0.0,0.0
01/14/1988,0.25193449704474236,0.0,0.0
01/15/1988,0.2596357092604263,0.0,0.0
01/18/1988,0.2552353759511738,0.0,0.0
01/19/1988,0.24643410008593195,0.0,0.0
01/20/1988,0.2497343727325922,0.0,0.0
01/21/1988,0.2387328845870257,0.0,0.0
01/22/1988,0.24478395269339812,0.0,0.0
01/25/1988,0.23873279556587504,0.0,0.0
01/26/1988,0.24203307052145148,0.0,0.0
01/27/1988,0.24093295797311418,0.0,0.0
01/28/1988,0.24643400126929446,0.0,0.0
01/29/1988,0.24863415905774716,0.0,0.0
02/01/1988,0.24973440887964032,0.0,0.0
02/02/1988,0.24313376248232538,0.0,0.0
02/03/1988,0.24533402430582693,0.0,0.0
02/04/1988,0.23323247762867885,0.0,0.0
02/05/1988,0.22883144228125865,0.0,0.0
02/08/1988,0.22333122711046619,0.0,0.0
02/09/1988,0.22993161589507086,0.0,0.0
02/10/1988,0.23323239050393552,0.0,0.0
02/11/1988,0.23763278098034102,0.0,0.0
02/12/1988,0.24093311153894503,0.0,0.0
02/16/1988,0.24203319320118927,0.0,0.0
02/17/1988,0.25523544084975613,0.0,0.0
02/18/1988,0.25193452601365096,0.0,0.0
02/19/1988,0.2563355087177127,0.0,0.0
02/22/1988,0.2585356533527374,0.0,0.0
02/23/1988,0.2585355599908598,0.0,0.0
02/24/1988,0.2618358141728425,0.0,0.0
02/25/1988,0.2629366037505477,0.0,0.0
02/26/1988,0.25633543729782104,0.0,0.0
02/29/1988,0.25743546294224984,0.0,0.0
03/01/1988,0.26293665462489757,0.0,0.0
03/02/1988,0.2596356507964711,0.0,0.0
03/03/1988,0.2640366317348054,0.0,0.0
03/04/1988,0.26843694721189537,0.0,0.0
03/07/1988,0.2684368998147376,0.0,0.0
03/08/1988,0.2772382412023805,0.0,0.0
03/09/1988,0.2794384293721157,0.0,0.0
03/10/1988,0.28273926830136575,0.0,0.0
03/11/1988,0.2750381529331207,0.0,0.0
03/14/1988,0.2739380040989734,0.0,0.0
03/15/1988,0.28053855225971935,0.0,0.0
03/16/1988,0.27613816342900027,0.0,0.0
03/17/1988,0.28603953494697687,0.0,0.0
03/18/1988,0.2805384757125184,0.0,0.0
03/21/1988,0.25743558103522507,0.0,0.0
03/22/1988,0.25853567494227037,0.0,0.0
03/23/1988,0.271737309781824,0.0,0.0
03/24/1988,0.25853550758247285,0.0,0.0
03/25/1988,0.24973426301328897,0.0,0.0
03/28/1988,0.24423391009087517,0.0,0.0
03/29/1988,0.25193439752628716,0.0,0.0
03/30/1988,0.24973430979112915,0.0,0.0
03/31/1988,0.23983287232775777,0.0,0.0
04/04/1988,0.24643417260795467,0.0,0.0
04/05/1988,0.24423387035460456,0.0,0.0
04/06/1988,0.24643412264759235,0.0,0.0
04/07/1988,0.2563354669749041,0.0,0.0
04/08/1988,0.2530352403742116,0.0,0.0
04/11/1988,0.2574356045712926,0.0,0.0
04/12/1988,0.2519344121112819,0.0,0.0
04/13/1988,0.2464340980202499,0.0,0.0
04/14/1988,0.2442338477570224,0.0,0.0
04/15/1988,0.23433253775838436,0.0,0.0
04/18/1988,0.23763278098034102,0.0,0.0
04/19/1988,0.24093300745019694,0.0,0.0
04/20/1988,0.2387328171692704,0.0,0.0
04/21/1988,0.242033135128478,0.0,0.0
04/22/1988,0.23983303907683787,0.0,0.0
04/25/1988,0.24313378761579743,0.0,0.0
04/26/1988,0.24533392488956451,0.0,0.0
04/27/1988,0.24533397826937084,0.0,0.0
04/28/1988,0.24423395941460596,0.0,0.0
04/29/1988,0.24203307052145148,0.0,0.0
05/02/1988,0.2398329756435345,0.0,0.0
05/03/1988,0.24313374840681806,0.0,0.0
05/04/1988,0.24973433976467468,0.0,0.0
05/05/1988,0.2497343332930601,0.0,0.0
05/06/1988,0.2497343353864057,0.0,0.0
05/09/1988,0.2519344985485077,0.0,0.0
05/10/1988,0.2519344964367197,0.0,0.0
05/11/1988,0.24863415905774716,0.0,0.0
05/12/1988,0.2453339421931369,0.0,0.0
05/13/1988,0.2486341471962935,0.0,0.0
05/16/1988,0.24973430647356462,0.0,0.0
05/17/1988,0.25963573058008327,0.0,0.0
05/18/1988,0.25523527620506653,0.0,0.0
05/19/1988,0.2464340980202499,0.0,0.0
05/20/1988,0.25193449704474236,0.0,0.0
05/23/1988,0.24753417959987092,0.0,0.0
05/24/1988,0.24203303707287172,0.0,0.0
05/25/1988,0.24863415905774716,0.0,0.0
05/26/1988,0.24643402866922484,0.0,0.0
05/27/1988,0.24753414115532177,0.0,0.0
05/31/1988,0.2442339635494811,0.0,0.0
06/01/1988,0.2563354724675533,0.0,0.0
06/02/1988,0.2618359400705884,0.0,0.0
06/03/1988,0.2596356507964711,0.0,0.0
06/06/1988,0.2618358352693214,0.0,0.0
06/07/1988,0.2684369385242462,0.0,0.0
06/08/1988,0.26733686730734596,0.0,0.0
06/09/1988,0.2739379329195409,0.0,0.0
06/10/1988,0.27173725436404644,0.0,0.0
06/13/1988,0.2750381574357255,0.0,0.0
06/14/1988,0.27723821997642517,0.0,0.0
06/15/1988,0.27613819415054863,0.0,0.0
06/16/1988,0.27833828563770413,0.0,0.0
06/17/1988,0.27943838271859534,0.0,0.0
06/20/1988,0.27613815665245056,0.0,0.0
06/21/1988,0.2750381031531209,0.0,0.0
06/22/1988,0.2860395377379877,0.0,0.0
06/23/1988,0.2948408120889001,0.0,0.0
06/24/1988,0.2904398594804336,0.0,0.0
