CHL,China Mobile Limited,
Date,Price,Annualized Dividend
02/05/1998,4.325929053210857,0.0
02/05/1998,4.342070579528809,0.0
02/06/1998,4.342070211261131,0.0
02/06/1998,4.430848598480225,0.0
02/09/1998,4.4550601126930935,0.0
02/09/1998,4.438918590545654,0.0
02/10/1998,4.45505952835083,0.0
02/10/1998,4.45505952835083,0.0
02/11/1998,4.422777082687033,0.0
02/11/1998,4.293644905090332,0.0
02/12/1998,4.277504695935196,0.0
02/12/1998,4.309787750244141,0.0
02/13/1998,4.277503598820079,0.0
02/13/1998,4.261362075805664,0.0
02/17/1998,4.245221641626251,0.0
02/17/1998,4.309787750244141,0.0
02/18/1998,4.342070788744381,0.0
02/18/1998,4.414707660675049,0.0
02/19/1998,4.390494007416056,0.0
02/19/1998,4.333998680114746,0.0
02/20/1998,4.342069441157791,0.0
