PDB,PDB,
Date,Price,Dividend,Annualized Dividend
12/21/2016,18909.099609375,0.0,0.0
12/22/2016,18181.80078125,0.0,0.0
12/23/2016,18181.80078125,0.0,0.0
12/27/2016,18090.900390625,0.0,0.0
12/28/2016,18000.0,0.0,0.0
12/29/2016,18000.0,0.0,0.0
12/30/2016,17909.099609375,0.0,0.0
01/03/2017,18000.0,0.0,0.0
01/04/2017,17909.099609375,0.0,0.0
01/05/2017,17909.099609375,0.0,0.0
01/06/2017,18000.0,0.0,0.0
01/09/2017,17909.099609375,0.0,0.0
01/10/2017,17727.30078125,0.0,0.0
01/11/2017,18181.80078125,0.0,0.0
01/12/2017,17909.099609375,0.0,0.0
01/13/2017,18090.900390625,0.0,0.0
01/17/2017,17818.19921875,0.0,0.0
01/18/2017,17454.5,0.0,0.0
01/19/2017,17727.30078125,0.0,0.0
01/20/2017,18000.0,0.0,0.0
01/23/2017,17636.400390625,0.0,0.0
01/24/2017,17636.400390625,0.0,0.0
01/25/2017,18090.900390625,0.0,0.0
02/03/2017,17727.30078125,0.0,0.0
02/06/2017,17818.19921875,0.0,0.0
02/07/2017,17727.30078125,0.0,0.0
02/08/2017,17727.30078125,0.0,0.0
02/09/2017,17727.30078125,0.0,0.0
02/10/2017,17545.5,0.0,0.0
02/13/2017,17363.599609375,0.0,0.0
02/14/2017,17272.69921875,0.0,0.0
02/16/2017,17727.30078125,0.0,0.0
02/17/2017,17545.5,0.0,0.0
02/21/2017,17636.400390625,0.0,0.0
02/22/2017,17727.30078125,0.0,0.0
02/23/2017,17818.19921875,0.0,0.0
02/24/2017,18727.30078125,0.0,0.0
02/27/2017,18818.19921875,0.0,0.0
02/28/2017,18909.099609375,0.0,0.0
03/01/2017,18363.599609375,0.0,0.0
03/02/2017,18181.80078125,0.0,0.0
03/03/2017,18090.900390625,0.0,0.0
03/06/2017,17818.19921875,0.0,0.0
03/07/2017,18000.0,0.0,0.0
03/08/2017,18090.900390625,0.0,0.0
03/09/2017,18454.5,0.0,0.0
03/10/2017,18454.5,0.0,0.0
03/13/2017,18363.599609375,0.0,0.0
03/14/2017,18272.69921875,0.0,0.0
03/15/2017,18181.80078125,0.0,0.0
03/16/2017,18272.69921875,0.0,0.0
03/17/2017,18272.69921875,0.0,0.0
03/20/2017,18272.69921875,0.0,0.0
03/21/2017,18272.69921875,0.0,0.0
03/22/2017,18181.80078125,0.0,0.0
03/23/2017,18000.0,0.0,0.0
03/24/2017,18000.0,0.0,0.0
03/27/2017,17272.69921875,0.0,0.0
03/28/2017,18000.0,0.0,0.0
03/29/2017,17727.30078125,0.0,0.0
03/30/2017,17363.599609375,0.0,0.0
03/31/2017,17818.19921875,0.0,0.0
04/03/2017,17727.30078125,0.0,0.0
04/04/2017,17818.19921875,0.0,0.0
04/05/2017,17636.400390625,0.0,0.0
04/06/2017,19363.599609375,0.0,0.0
04/10/2017,18454.5,0.0,0.0
04/11/2017,18363.599609375,0.0,0.0
04/12/2017,18363.599609375,0.0,0.0
04/13/2017,18272.69921875,0.0,0.0
04/17/2017,17727.30078125,0.0,0.0
04/18/2017,17363.599609375,0.0,0.0
04/19/2017,17636.400390625,0.0,0.0
04/20/2017,17454.5,0.0,0.0
04/21/2017,17454.5,0.0,0.0
04/24/2017,16818.19921875,0.0,0.0
04/25/2017,15909.099609375,0.0,0.0
04/26/2017,15727.2998046875,0.0,0.0
04/27/2017,16090.900390625,0.0,0.0
04/28/2017,16181.7998046875,0.0,0.0
05/01/2017,16363.599609375,0.0,0.0
05/03/2017,16181.7998046875,0.0,0.0
05/04/2017,17000.0,0.0,0.0
05/05/2017,17181.80078125,0.0,0.0
05/08/2017,17181.80078125,0.0,0.0
05/09/2017,17181.80078125,0.0,0.0
05/10/2017,17090.900390625,0.0,0.0
05/11/2017,17272.69921875,0.0,0.0
05/12/2017,17181.80078125,0.0,0.0
05/15/2017,17000.0,0.0,0.0
05/16/2017,17090.900390625,0.0,0.0
05/17/2017,16818.19921875,0.0,0.0
05/18/2017,17000.0,0.0,0.0
05/19/2017,16727.30078125,0.0,0.0
05/22/2017,16818.19921875,0.0,0.0
05/23/2017,16545.5,0.0,0.0
05/24/2017,16545.5,0.0,0.0
05/25/2017,16090.900390625,0.0,0.0
05/26/2017,15636.400390625,0.0,0.0
05/30/2017,16272.7001953125,0.0,0.0
05/31/2017,15818.2001953125,0.0,0.0
06/01/2017,16363.599609375,0.0,0.0
06/02/2017,16363.599609375,0.0,0.0
06/05/2017,17363.599609375,0.0,0.0
06/06/2017,16363.599609375,0.0,0.0
06/07/2017,16181.7998046875,0.0,0.0
06/08/2017,16272.7001953125,0.0,0.0
