NEXTX,Shelton Green Alpha Fd,
Date,Price,Dividend,Annualized Dividend
08/01/2014,14.24000644683838,0.0,0.0
08/07/2014,14.598917007446289,0.0,0.0
08/14/2014,15.025729179382326,0.0,0.0
08/15/2014,15.064530372619629,0.0,0.0
08/19/2014,15.365238189697264,0.0,0.0
08/21/2014,15.384637832641602,0.0,0.0
08/28/2014,15.355537414550781,0.0,0.0
08/29/2014,15.42343997955322,0.0,0.0
09/03/2014,15.48164176940918,0.0,0.0
09/04/2014,15.491342544555666,0.0,0.0
09/05/2014,15.559245109558105,0.0,0.0
09/09/2014,15.345836639404297,0.0,0.0
09/23/2014,14.773521423339844,0.0,0.0
09/26/2014,14.783221244812012,0.0,0.0
09/29/2014,14.725020408630371,0.0,0.0
10/03/2014,14.404911041259766,0.0,0.0
10/06/2014,14.13330364227295,0.0,0.0
10/08/2014,14.065402030944826,0.0,0.0
10/10/2014,13.202075958251953,0.0,0.0
10/13/2014,12.930468559265137,0.0,0.0
10/14/2014,13.06627368927002,0.0,0.0
10/16/2014,13.33788013458252,0.0,0.0
10/17/2014,13.366979598999023,0.0,0.0
10/20/2014,13.54158592224121,0.0,0.0
10/21/2014,13.793793678283691,0.0,0.0
10/24/2014,13.774392127990723,0.0,0.0
10/28/2014,14.075102806091309,0.0,0.0
11/04/2014,14.230305671691895,0.0,0.0
11/05/2014,14.16240406036377,0.0,0.0
11/26/2014,14.492213249206543,0.0,0.0
12/01/2014,13.890795707702638,0.0,0.0
12/02/2014,14.036300659179686,0.0,0.0
12/05/2014,14.21090507507324,0.0,0.0
12/08/2014,13.91019630432129,0.0,0.0
12/11/2014,13.784093856811523,0.0,0.0
12/17/2014,13.599787712097168,0.0,0.0
12/18/2014,13.881096839904785,0.0,0.0
12/30/2014,14.22060489654541,0.0,0.0
01/07/2015,13.667690277099611,0.0,0.0
01/14/2015,13.657989501953127,0.0,0.0
01/15/2015,13.37668228149414,0.0,0.0
01/21/2015,13.4639835357666,0.0,0.0
02/06/2015,14.259406089782715,0.0,0.0
02/18/2015,14.62801742553711,0.0,0.0
02/26/2015,14.948126792907715,0.0,0.0
03/02/2015,15.074230194091799,0.0,0.0
03/13/2015,14.647418022155762,0.0,0.0
03/18/2015,15.103330612182619,0.0,0.0
03/20/2015,15.16153335571289,0.0,0.0
