SSSS,SuRo Capital Corp.,
Date,Price,Dividend,Annualized Dividend
07/01/2014,5.299262540047479,0.0,0.0
07/02/2014,5.349161304294953,0.0,0.0
07/03/2014,5.284293458036719,0.0,0.0
07/07/2014,5.309243002606485,0.0,0.0
07/08/2014,5.284293066961545,0.0,0.0
07/09/2014,4.925020800318541,0.0,0.0
07/10/2014,4.880112548474903,0.0,0.0
07/11/2014,4.8801124513966085,0.0,0.0
07/14/2014,4.885102368605461,0.0,0.0
07/15/2014,4.890093518160496,0.0,0.0
07/16/2014,4.9050620949875405,0.0,0.0
07/17/2014,4.85516201140924,0.0,0.0
07/18/2014,4.765344909167288,0.0,0.0
07/21/2014,4.7753247259401235,0.0,0.0
07/22/2014,4.775325585104542,0.0,0.0
07/23/2014,4.800273992050766,0.0,0.0
07/24/2014,4.815243726117973,0.0,0.0
07/25/2014,4.805264203476248,0.0,0.0
07/28/2014,4.890092155606887,0.0,0.0
07/29/2014,4.790294751960051,0.0,0.0
07/30/2014,5.354151435925401,0.0,0.0
07/31/2014,5.2793039015896746,0.0,0.0
08/01/2014,5.044778123039765,0.0,0.0
08/04/2014,4.9848994078046855,0.0,0.0
08/05/2014,4.930011105885764,0.0,0.0
08/06/2014,4.905061914935027,0.0,0.0
08/07/2014,4.935000773609113,0.0,0.0
08/08/2014,4.830213659021175,0.0,0.0
08/11/2014,4.915042315397766,0.0,0.0
08/12/2014,4.994879741923588,0.0,0.0
08/13/2014,5.109647356787923,0.0,0.0
08/14/2014,5.009849833421581,0.0,0.0
08/15/2014,5.049769110965421,0.0,0.0
08/18/2014,5.074717985804317,0.0,0.0
08/19/2014,5.049768732591932,0.0,0.0
08/20/2014,5.039788439780997,0.0,0.0
08/21/2014,5.064737886905604,0.0,0.0
08/22/2014,5.039789491097987,0.0,0.0
08/25/2014,5.11463756756044,0.0,0.0
08/26/2014,5.094677668001948,0.0,0.0
08/27/2014,5.239384063175644,0.0,0.0
08/28/2014,5.189485367854242,0.0,0.0
08/29/2014,5.224414664995235,0.0,0.0
09/02/2014,5.3391823814900965,0.0,0.0
09/03/2014,5.48388927579168,0.0,0.0
09/04/2014,5.42899981169955,0.0,0.0
09/05/2014,5.503848126111405,0.0,0.0
09/08/2014,5.6635255074808795,0.0,0.0
09/09/2014,5.808231908202328,0.0,0.0
09/10/2014,5.698454401183226,0.0,0.0
09/11/2014,5.798252302423453,0.0,0.0
09/12/2014,5.818211532373522,0.0,0.0
09/15/2014,5.693465314036375,0.0,0.0
09/16/2014,5.424011228952407,0.0,0.0
09/17/2014,5.42900018399789,0.0,0.0
09/18/2014,5.41902122395533,0.0,0.0
09/19/2014,5.419020636857612,0.0,0.0
09/22/2014,5.264333957443967,0.0,0.0
09/23/2014,5.04976891768207,0.0,0.0
09/24/2014,4.999870107187962,0.0,0.0
09/25/2014,5.004860397464143,0.0,0.0
09/26/2014,4.905061914935027,0.0,0.0
09/29/2014,4.890091726658709,0.0,0.0
09/30/2014,4.974920182755465,0.0,0.0
10/01/2014,4.974920542312326,0.0,0.0
10/02/2014,4.9150421233216885,0.0,0.0
10/03/2014,5.019830419923384,0.0,0.0
10/06/2014,5.124617480163964,0.0,0.0
10/07/2014,5.114636974567646,0.0,0.0
10/08/2014,5.049768357727057,0.0,0.0
10/09/2014,5.079707680310317,0.0,0.0
10/10/2014,4.959949839838444,0.0,0.0
10/13/2014,4.880113126010788,0.0,0.0
10/14/2014,4.92003132778217,0.0,0.0
10/15/2014,4.740396598043881,0.0,0.0
10/16/2014,4.520841411038127,0.0,0.0
10/17/2014,4.73041503910039,0.0,0.0
10/20/2014,4.665546952375455,0.0,0.0
10/21/2014,4.935001109820763,0.0,0.0
10/22/2014,5.059748546993082,0.0,0.0
10/23/2014,5.039788640295175,0.0,0.0
10/24/2014,5.064739037978124,0.0,0.0
10/27/2014,5.119626593335297,0.0,0.0
10/28/2014,4.979910847998857,0.0,0.0
10/29/2014,4.880112240379971,0.0,0.0
10/30/2014,4.7254257325943785,0.0,0.0
10/31/2014,4.900071993035066,0.0,0.0
11/03/2014,4.875122158087437,0.0,0.0
11/04/2014,4.880112548474903,0.0,0.0
11/05/2014,4.910052006440943,0.0,0.0
11/06/2014,4.895081892322896,0.0,0.0
11/07/2014,4.915041923522949,0.0,0.0
11/10/2014,4.944980982118318,0.0,0.0
11/11/2014,4.7902940004634935,0.0,0.0
11/12/2014,4.860153961288658,0.0,0.0
11/13/2014,4.900071993035066,0.0,0.0
11/14/2014,4.885101884733768,0.0,0.0
11/17/2014,4.905061293167235,0.0,0.0
11/18/2014,5.039788884332297,0.0,0.0
11/19/2014,4.900071530952977,0.0,0.0
11/20/2014,4.8801135055029095,0.0,0.0
11/21/2014,4.930011357999333,0.0,0.0
11/24/2014,4.870133970464602,0.0,0.0
11/25/2014,4.895082377183113,0.0,0.0
11/26/2014,4.865142176139976,0.0,0.0
11/28/2014,4.930011363572648,0.0,0.0
12/01/2014,4.900071775266316,0.0,0.0
12/02/2014,4.7403955407197245,0.0,0.0
12/03/2014,4.690497025288853,0.0,0.0
12/04/2014,4.81025399402522,0.0,0.0
12/05/2014,4.780314131684605,0.0,0.0
12/08/2014,4.695486103716492,0.0,0.0
12/09/2014,4.470941452411656,0.0,0.0
12/10/2014,4.44599207676312,0.0,0.0
12/11/2014,4.4010819516554625,0.0,0.0
12/12/2014,4.3811228647922755,0.0,0.0
12/15/2014,4.37114290086828,0.0,0.0
12/16/2014,4.186517892568445,0.0,0.0
12/17/2014,4.111669266512456,0.0,0.0
12/18/2014,4.186517564485692,0.0,0.0
12/19/2014,4.326235388864517,0.0,0.0
12/22/2014,4.296294212341309,0.0,0.0
12/23/2014,4.276335914774144,0.0,0.0
12/24/2014,4.361163809337156,0.0,0.0
12/26/2014,4.366152891121002,0.0,0.0
12/29/2014,4.445991485649281,0.0,0.0
12/30/2014,4.3412045444507585,0.0,0.0
12/31/2014,4.291306305324335,0.0,0.0
01/02/2015,4.361164108936265,0.0,0.0
01/05/2015,4.490901364617303,0.0,0.0
01/06/2015,4.441001036048203,0.0,0.0
01/07/2015,4.490900106055908,0.0,0.0
01/08/2015,4.495890720401518,0.0,0.0
01/09/2015,4.545789823711507,0.0,0.0
01/12/2015,4.605668049411091,0.0,0.0
01/13/2015,4.530820462594407,0.0,0.0
01/14/2015,4.490901373948757,0.0,0.0
01/15/2015,4.54578999720495,0.0,0.0
01/16/2015,4.500880833385115,0.0,0.0
01/20/2015,4.615648082348958,0.0,0.0
01/21/2015,4.635608389540362,0.0,0.0
01/22/2015,4.710456260702317,0.0,0.0
01/23/2015,4.625628114340261,0.0,0.0
01/26/2015,4.765345953430181,0.0,0.0
01/27/2015,4.640598870101788,0.0,0.0
01/28/2015,4.685507092641639,0.0,0.0
01/29/2015,4.600678546137124,0.0,0.0
01/30/2015,4.565749555595658,0.0,0.0
02/02/2015,4.645587824518499,0.0,0.0
02/03/2015,4.650577372809302,0.0,0.0
02/04/2015,4.690496263551517,0.0,0.0
02/05/2015,4.775324428979134,0.0,0.0
02/06/2015,4.780314001625446,0.0,0.0
02/09/2015,4.845184420789295,0.0,0.0
02/10/2015,4.885102358396543,0.0,0.0
02/11/2015,4.890091758055899,0.0,0.0
02/12/2015,5.1146373611058396,0.0,0.0
02/13/2015,5.054758937076828,0.0,0.0
02/17/2015,5.119627282491503,0.0,0.0
02/18/2015,5.114636778633764,0.0,0.0
02/19/2015,5.004859447479249,0.0,0.0
02/20/2015,5.024819367013311,0.0,0.0
02/23/2015,4.9749202845632885,0.0,0.0
02/24/2015,5.0547583421144635,0.0,0.0
02/25/2015,4.994880107821327,0.0,0.0
02/26/2015,5.039789118190137,0.0,0.0
02/27/2015,5.144577978811667,0.0,0.0
03/02/2015,5.189484773754968,0.0,0.0
03/03/2015,5.114637192929331,0.0,0.0
03/04/2015,5.1645372393556865,0.0,0.0
03/05/2015,5.204455836121916,0.0,0.0
03/06/2015,5.079708494391501,0.0,0.0
03/09/2015,5.179505691075642,0.0,0.0
03/10/2015,4.964940168045262,0.0,0.0
03/11/2015,4.949970823908978,0.0,0.0
03/12/2015,4.984899727344711,0.0,0.0
03/13/2015,4.974920438283147,0.0,0.0
03/16/2015,4.815243509665898,0.0,0.0
03/17/2015,4.715446570364895,0.0,0.0
03/18/2015,4.735405348292371,0.0,0.0
03/19/2015,4.730415344238281,0.0,0.0
03/20/2015,4.740395655391458,0.0,0.0
03/23/2015,4.885102157808383,0.0,0.0
03/24/2015,4.845182915591526,0.0,0.0
03/25/2015,4.925020766419033,0.0,0.0
03/26/2015,4.820233078709642,0.0,0.0
03/27/2015,4.900071988346334,0.0,0.0
03/30/2015,4.84019260879509,0.0,0.0
03/31/2015,4.820233740469725,0.0,0.0
04/01/2015,4.8401934644038915,0.0,0.0
04/02/2015,4.850173381468859,0.0,0.0
04/06/2015,4.88011171112983,0.0,0.0
04/07/2015,4.949970638987537,0.0,0.0
04/08/2015,4.949971396494374,0.0,0.0
04/09/2015,5.029808693197292,0.0,0.0
04/10/2015,4.964939973971599,0.0,0.0
04/13/2015,5.004859441550582,0.0,0.0
04/14/2015,4.99986971962133,0.0,0.0
04/15/2015,4.989890098571777,0.0,0.0
04/16/2015,4.964940161122256,0.0,0.0
04/17/2015,4.890092070010216,0.0,0.0
04/20/2015,4.86514396674615,0.0,0.0
04/21/2015,4.870132831611984,0.0,0.0
04/22/2015,4.880112364316634,0.0,0.0
