AMZN,"Amazon.com, Inc.",
Date,Price,Dividend,Annualized Dividend
03/12/1998,6.5625,0.0,0.0
03/13/1998,6.6354169845581055,0.0,0.0
03/16/1998,6.6302080154418945,0.0,0.0
03/17/1998,6.6458330154418945,0.0,0.0
03/18/1998,6.6041669845581055,0.0,0.0
03/19/1998,7.1145830154418945,0.0,0.0
03/20/1998,7.0,0.0,0.0
03/23/1998,6.9635419845581055,0.0,0.0
03/24/1998,6.875,0.0,0.0
03/25/1998,7.0833330154418945,0.0,0.0
03/26/1998,6.8125,0.0,0.0
03/27/1998,7.0208330154418945,0.0,0.0
03/30/1998,7.15625,0.0,0.0
03/31/1998,7.1145830154418945,0.0,0.0
04/01/1998,7.1041669845581055,0.0,0.0
04/02/1998,7.59375,0.0,0.0
04/03/1998,8.020833015441895,0.0,0.0
04/06/1998,7.8541669845581055,0.0,0.0
04/07/1998,7.25,0.0,0.0
04/08/1998,7.1979169845581055,0.0,0.0
04/09/1998,7.6979169845581055,0.0,0.0
04/13/1998,7.90625,0.0,0.0
04/14/1998,7.8229169845581055,0.0,0.0
04/15/1998,8.166666984558105,0.0,0.0
04/16/1998,8.010416984558105,0.0,0.0
04/17/1998,7.984375,0.0,0.0
04/20/1998,7.9479169845581055,0.0,0.0
04/21/1998,7.9375,0.0,0.0
04/22/1998,7.7708330154418945,0.0,0.0
04/23/1998,7.25,0.0,0.0
04/24/1998,6.8333330154418945,0.0,0.0
04/27/1998,6.9479169845581055,0.0,0.0
04/28/1998,7.7395830154418945,0.0,0.0
04/29/1998,8.104166984558105,0.0,0.0
04/30/1998,8.125,0.0,0.0
05/01/1998,7.7291669845581055,0.0,0.0
05/04/1998,7.9166669845581055,0.0,0.0
05/05/1998,7.8333330154418945,0.0,0.0
05/06/1998,7.8333330154418945,0.0,0.0
05/07/1998,7.5833330154418945,0.0,0.0
05/08/1998,7.6041669845581055,0.0,0.0
05/11/1998,7.7447919845581055,0.0,0.0
05/12/1998,7.3125,0.0,0.0
05/13/1998,7.5416669845581055,0.0,0.0
05/14/1998,7.6666669845581055,0.0,0.0
05/15/1998,7.65625,0.0,0.0
05/18/1998,7.5,0.0,0.0
05/19/1998,7.46875,0.0,0.0
05/20/1998,7.53125,0.0,0.0
05/21/1998,7.4583330154418945,0.0,0.0
05/22/1998,7.3645830154418945,0.0,0.0
05/26/1998,7.171875,0.0,0.0
05/27/1998,6.6979169845581055,0.0,0.0
05/28/1998,7.2708330154418945,0.0,0.0
05/29/1998,7.15625,0.0,0.0
06/01/1998,7.3333330154418945,0.0,0.0
06/02/1998,7.2708330154418945,0.0,0.0
06/03/1998,7.4791669845581055,0.0,0.0
06/04/1998,7.15625,0.0,0.0
06/05/1998,7.2916669845581055,0.0,0.0
06/08/1998,7.3020830154418945,0.0,0.0
06/09/1998,7.7395830154418945,0.0,0.0
06/10/1998,8.604166984558105,0.0,0.0
06/11/1998,9.208333015441895,0.0,0.0
06/12/1998,10.583333015441895,0.0,0.0
06/15/1998,9.916666984558105,0.0,0.0
06/16/1998,11.125,0.0,0.0
06/17/1998,12.645833015441895,0.0,0.0
06/18/1998,13.5,0.0,0.0
06/19/1998,11.84375,0.0,0.0
06/22/1998,12.458333015441895,0.0,0.0
06/23/1998,13.510416984558105,0.0,0.0
06/24/1998,15.833333015441895,0.0,0.0
06/25/1998,16.666667938232422,0.0,0.0
06/26/1998,16.25,0.0,0.0
06/29/1998,15.791666984558105,0.0,0.0
