FSLR,"First Solar, Inc.",
Date,Price,Annualized Dividend
11/18/2014,48.40999984741211,0.0
11/18/2014,49.459999084472656,0.0
11/19/2014,49.5,0.0
11/19/2014,48.81999969482422,0.0
11/20/2014,48.5099983215332,0.0
11/20/2014,49.43000030517578,0.0
11/21/2014,50.220001220703125,0.0
11/21/2014,49.7599983215332,0.0
11/24/2014,49.58000183105469,0.0
11/24/2014,50.65999984741211,0.0
11/25/2014,50.66999816894531,0.0
11/25/2014,51.040000915527344,0.0
11/26/2014,50.959999084472656,0.0
11/26/2014,51.529998779296875,0.0
11/28/2014,50.2400016784668,0.0
11/28/2014,48.79999923706055,0.0
12/01/2014,48.290000915527344,0.0
12/01/2014,45.7599983215332,0.0
12/02/2014,45.56999969482422,0.0
12/02/2014,46.41999816894531,0.0
12/03/2014,46.599998474121094,0.0
12/03/2014,47.119998931884766,0.0
12/04/2014,47.11000061035156,0.0
12/04/2014,46.720001220703125,0.0
12/05/2014,46.880001068115234,0.0
12/05/2014,46.90999984741211,0.0
12/08/2014,46.75,0.0
12/08/2014,44.650001525878906,0.0
12/09/2014,44.0,0.0
12/09/2014,45.060001373291016,0.0
12/10/2014,44.88999938964844,0.0
12/10/2014,43.06999969482422,0.0
12/11/2014,43.400001525878906,0.0
12/11/2014,43.040000915527344,0.0
12/12/2014,42.58000183105469,0.0
12/12/2014,42.119998931884766,0.0
12/15/2014,42.36000061035156,0.0
12/15/2014,41.65999984741211,0.0
12/16/2014,41.2599983215332,0.0
12/16/2014,40.900001525878906,0.0
12/17/2014,41.22999954223633,0.0
12/17/2014,42.349998474121094,0.0
12/18/2014,43.36000061035156,0.0
12/18/2014,45.209999084472656,0.0
12/19/2014,45.439998626708984,0.0
12/19/2014,45.029998779296875,0.0
12/22/2014,45.04999923706055,0.0
12/22/2014,43.84000015258789,0.0
12/23/2014,43.84000015258789,0.0
12/23/2014,44.060001373291016,0.0
12/24/2014,43.9900016784668,0.0
12/24/2014,43.66999816894531,0.0
12/26/2014,43.970001220703125,0.0
12/26/2014,44.34000015258789,0.0
12/29/2014,44.2599983215332,0.0
12/29/2014,44.41999816894531,0.0
12/30/2014,43.939998626708984,0.0
12/30/2014,44.52000045776367,0.0
12/31/2014,44.52000045776367,0.0
12/31/2014,44.599998474121094,0.0
01/02/2015,44.720001220703125,0.0
01/02/2015,44.54999923706055,0.0
01/05/2015,43.880001068115234,0.0
01/05/2015,41.83000183105469,0.0
01/06/2015,42.0099983215332,0.0
01/06/2015,40.86000061035156,0.0
01/07/2015,42.0,0.0
01/07/2015,41.75,0.0
01/08/2015,42.38999938964844,0.0
01/08/2015,43.630001068115234,0.0
01/09/2015,43.90999984741211,0.0
01/09/2015,44.20000076293945,0.0
01/12/2015,43.810001373291016,0.0
01/12/2015,42.83000183105469,0.0
01/13/2015,43.20000076293945,0.0
01/13/2015,42.709999084472656,0.0
01/14/2015,42.040000915527344,0.0
01/14/2015,42.279998779296875,0.0
01/15/2015,42.75,0.0
01/15/2015,40.15999984741211,0.0
01/16/2015,40.18000030517578,0.0
01/16/2015,40.720001220703125,0.0
01/20/2015,40.66999816894531,0.0
01/20/2015,39.83000183105469,0.0
01/21/2015,39.77000045776367,0.0
01/21/2015,41.400001525878906,0.0
01/22/2015,41.7400016784668,0.0
01/22/2015,41.900001525878906,0.0
01/23/2015,41.7400016784668,0.0
01/23/2015,42.540000915527344,0.0
01/26/2015,42.349998474121094,0.0
01/26/2015,44.16999816894531,0.0
01/27/2015,43.29999923706055,0.0
01/27/2015,43.720001220703125,0.0
01/28/2015,43.65999984741211,0.0
01/28/2015,42.70000076293945,0.0
01/29/2015,42.880001068115234,0.0
01/29/2015,42.36000061035156,0.0
01/30/2015,41.91999816894531,0.0
01/30/2015,42.31999969482422,0.0
02/02/2015,42.68000030517578,0.0
02/02/2015,45.47999954223633,0.0
02/03/2015,46.189998626708984,0.0
02/03/2015,48.15999984741211,0.0
