VOO,Vanguard S&P 500 ETF,
Date,Price,Annualized Dividend
06/27/2019,260.15984048393307,5.337
06/27/2019,260.3349304199219,5.337
06/28/2019,261.33661099307534,5.337
06/28/2019,261.7742614746094,5.337
07/01/2019,264.9935939911452,5.337
07/01/2019,264.0015563964844,5.337
07/02/2019,264.03074521839886,5.337
07/02/2019,264.7699279785156,5.337
07/03/2019,265.4312783814823,5.337
07/03/2019,266.8026428222656,5.337
07/05/2019,265.6549773395388,5.337
07/05/2019,266.46221923828125,5.337
07/08/2019,265.31458695492694,5.337
07/08/2019,265.1297912597656,5.337
07/09/2019,263.96264253420793,5.337
07/09/2019,265.46044921875,5.337
07/10/2019,266.5108525044778,5.337
07/10/2019,266.6956481933594,5.337
07/11/2019,267.33756217507664,5.337
07/11/2019,267.2305908203125,5.337
07/12/2019,267.8432773080876,5.337
07/12/2019,268.54351806640625,5.337
07/15/2019,268.9521090473088,5.337
07/15/2019,268.6116943359375,5.337
07/16/2019,268.5533055158114,5.337
07/16/2019,267.736328125,5.337
07/17/2019,267.7363220932441,5.337
07/17/2019,265.92730712890625,5.337
07/18/2019,265.4312420135445,5.337
07/18/2019,266.8998718261719,5.337
07/19/2019,267.9697343758542,5.337
07/19/2019,265.4701843261719,5.337
07/22/2019,265.8300594744144,5.337
07/22/2019,266.1120910644531,5.337
07/23/2019,267.18192781246546,5.337
07/23/2019,267.9405517578125,5.337
07/24/2019,267.25006004858903,5.337
07/24/2019,269.1758117675781,5.337
07/25/2019,268.83538942278943,5.337
07/25/2019,267.86279296875,5.337
07/26/2019,268.6311215161917,5.337
07/26/2019,269.7787780761719,5.337
07/29/2019,269.6329256815538,5.337
07/29/2019,269.2925109863281,5.337
07/30/2019,267.9016855552817,5.337
07/30/2019,268.6408386230469,5.337
07/31/2019,268.81590923806766,5.337
07/31/2019,265.5965881347656,5.337
08/01/2019,265.7911402787756,5.337
08/01/2019,263.369384765625,5.337
08/02/2019,262.4940547591851,5.337
08/02/2019,261.4436340332031,5.337
08/05/2019,257.31982469593856,5.337
08/05/2019,253.73094177246094,5.337
08/06/2019,255.33570894702413,5.337
08/06/2019,256.99884033203125,5.337
08/07/2019,254.00324632837157,5.337
08/07/2019,257.1739196777344,5.337
08/08/2019,258.71065320276665,5.337
08/08/2019,262.1925354003906,5.337
08/09/2019,261.35608174088605,5.337
08/09/2019,260.3640441894531,5.337
08/12/2019,258.94404386299425,5.337
08/12/2019,257.3100891113281,5.337
08/13/2019,256.9794294932647,5.337
08/13/2019,261.2977600097656,5.337
08/14/2019,257.31010887171084,5.337
08/14/2019,253.42945861816406,5.337
08/15/2019,254.45065265205832,5.337
08/15/2019,254.2269744873047,5.337
08/16/2019,255.8609197086319,5.337
08/16/2019,257.9519958496094,5.337
08/19/2019,261.0059441689199,5.337
08/19/2019,261.1226806640625,5.337
08/20/2019,260.6363586177359,5.337
08/20/2019,259.0996398925781,5.337
08/21/2019,261.2199112121866,5.337
08/21/2019,261.2004699707031,5.337
08/22/2019,261.9007771985815,5.337
08/22/2019,261.1032409667969,5.337
08/23/2019,259.86804098868276,5.337
08/23/2019,254.4020538330078,5.337
08/26/2019,256.5806475274779,5.337
08/26/2019,257.2225646972656,5.337
08/27/2019,258.63284476162585,5.337
08/27/2019,256.2110595703125,5.337
08/28/2019,255.53026852001798,5.337
08/28/2019,257.9909362792969,5.337
08/29/2019,260.5683092517935,5.337
08/29/2019,261.34637451171875,5.337
08/30/2019,262.74692301380026,5.337
08/30/2019,261.2394104003906,5.337
09/03/2019,259.51786586504164,5.337
09/03/2019,259.7901916503906,5.337
09/04/2019,261.8716286904797,5.337
09/04/2019,262.5718994140625,5.337
09/05/2019,265.1005867276499,5.337
09/05/2019,266.04400634765625,5.337
09/06/2019,266.4233210785963,5.337
09/06/2019,266.238525390625,5.337
09/09/2019,267.2694710172009,5.337
09/09/2019,266.3066101074219,5.337
09/10/2019,265.6257465540926,5.337
09/10/2019,266.36492919921875,5.337
09/11/2019,266.63728512525876,5.337
09/11/2019,268.2809753417969,5.337
09/12/2019,269.1271400302649,5.337
09/12/2019,269.06878662109375,5.337
09/13/2019,269.61338121715914,5.337
09/13/2019,269.0006408691406,5.337
09/16/2019,267.8336003554136,5.337
09/16/2019,268.11566162109375,5.337
09/17/2019,267.91134850696966,5.337
09/17/2019,268.8450622558594,5.337
09/18/2019,268.4366086925724,5.337
09/18/2019,269.01043701171875,5.337
09/19/2019,269.40920890795894,5.337
09/19/2019,268.95208740234375,5.337
09/20/2019,269.5842694073685,5.337
09/20/2019,267.51263427734375,5.337
09/23/2019,267.06523650195965,5.337
09/23/2019,267.6974182128906,5.337
09/24/2019,268.7380925944682,5.337
09/24/2019,265.4798889160156,5.337
09/25/2019,265.59661425174886,5.337
09/25/2019,267.1041564941406,5.337
09/26/2019,267.11488533402246,5.431
09/26/2019,266.5774230957031,5.431
09/27/2019,267.32985198574863,5.431
09/27/2019,265.0822448730469,5.431
09/30/2019,265.6295192332969,5.431
09/30/2019,266.3917541503906,5.431
10/01/2019,267.21259698496885,5.431
10/01/2019,263.1864318847656,5.431
10/02/2019,261.63268444477586,5.431
10/02/2019,258.5446472167969,5.431
10/03/2019,258.3296308788117,5.431
10/03/2019,260.5968017578125,5.431
10/04/2019,261.35904189058976,5.431
10/04/2019,264.2125244140625,5.431
10/07/2019,263.42095341148655,5.431
10/07/2019,263.07891845703125,5.431
10/08/2019,261.1928985734974,5.431
10/08/2019,258.994140625,5.431
10/09/2019,260.95838243764274,5.431
10/09/2019,261.40789794921875,5.431
10/10/2019,261.32970902489814,5.431
10/10/2019,263.1864318847656,5.431
10/11/2019,265.9031490181951,5.431
10/11/2019,265.9324645996094,5.431
10/14/2019,265.6001941306171,5.431
10/14/2019,265.6881408691406,5.431
10/15/2019,266.6555752635735,5.431
10/15/2019,268.25823974609375,5.431
10/16/2019,267.8282607174374,5.431
10/16/2019,267.8380126953125,5.431
10/17/2019,268.971605858462,5.431
10/17/2019,268.5611877441406,5.431
10/18/2019,268.111664302481,5.431
10/18/2019,267.4569396972656,5.431
10/21/2019,268.78593323168525,5.431
10/21/2019,269.32342529296875,5.431
10/22/2019,269.80226007702765,5.431
10/22/2019,268.3755187988281,5.431
10/23/2019,268.16051192949294,5.431
10/23/2019,269.16705322265625,5.431
10/24/2019,270.0856425711498,5.431
10/24/2019,269.6068115234375,5.431
10/25/2019,269.0595438874161,5.431
10/25/2019,270.7306213378906,5.431
10/28/2019,271.8837551540821,5.431
10/28/2019,272.303955078125,5.431
10/29/2019,271.9814738619999,5.431
10/29/2019,272.1280517578125,5.431
10/30/2019,272.3430228287045,5.431
10/30/2019,273.0857238769531,5.431
10/31/2019,272.98800573027586,5.431
10/31/2019,272.2062072753906,5.431
11/01/2019,273.67206494401245,5.431
11/01/2019,274.7958984375,5.431
11/04/2019,276.3496781547142,5.431
11/04/2019,275.890380859375,5.431
11/05/2019,276.144480019029,5.431
11/05/2019,275.5386047363281,5.431
11/06/2019,275.61673649710775,5.431
11/06/2019,275.68511962890625,5.431
11/07/2019,277.0044495856314,5.431
11/07/2019,276.66241455078125,5.431
11/08/2019,276.30081296038645,5.431
11/08/2019,277.336669921875,5.431
11/11/2019,275.99786206164515,5.431
11/11/2019,276.7991943359375,5.431
11/12/2019,277.1216628900148,5.431
11/12/2019,277.346435546875,5.431
11/13/2019,276.38876025369,5.431
11/13/2019,277.4637145996094,5.431
11/14/2019,277.18032793390756,5.431
11/14/2019,277.8350524902344,5.431
11/15/2019,279.1347819164832,5.431
11/15/2019,279.9067687988281,5.431
11/18/2019,279.66247218271224,5.431
11/18/2019,280.0826721191406,5.431
11/19/2019,280.69831490784,5.431
11/19/2019,279.94586181640625,5.431
11/20/2019,279.3986258339189,5.431
11/20/2019,278.9588623046875,5.431
11/21/2019,279.01748249881894,5.431
11/21/2019,278.52886962890625,5.431
11/22/2019,279.24225979011726,5.431
