NALFX,New Alternatives Fund- Class A,
Date,Price,Annualized Dividend
12/16/1982,8.202875137329102,0.0
12/16/1982,8.202875137329102,0.0
12/17/1982,8.202875137329102,0.0
12/17/1982,8.202875137329102,0.0
12/20/1982,8.202875137329102,0.0
12/20/1982,8.202875137329102,0.0
12/21/1982,8.202875137329102,0.0
12/21/1982,8.202875137329102,0.0
12/22/1982,8.202875137329102,0.0
12/22/1982,8.202875137329102,0.0
12/23/1982,8.202875137329102,0.0
12/23/1982,8.202875137329102,0.0
12/27/1982,8.202875137329102,0.0
12/27/1982,8.202875137329102,0.0
12/28/1982,8.202875137329102,0.0
12/28/1982,8.202875137329102,0.0
12/29/1982,8.202875137329102,0.0
12/29/1982,8.202875137329102,0.0
12/30/1982,8.202875137329102,0.0
12/30/1982,8.202875137329102,0.0
