NEP,"NextEra Energy Partners, LP",
Date,Price,Annualized Dividend
12/01/2014,28.60992431640625,0.188
12/02/2014,28.736411846077463,0.188
12/02/2014,28.60992431640625,0.188
12/03/2014,28.775943884608118,0.188
12/03/2014,28.364858627319336,0.188
12/04/2014,28.15930469278722,0.188
12/04/2014,28.246265411376953,0.188
12/05/2014,28.451813926997225,0.188
12/05/2014,28.262081146240234,0.188
12/08/2014,28.206734592669246,0.188
12/08/2014,27.70078468322754,0.188
12/09/2014,27.376669337723726,0.188
12/09/2014,27.408288955688477,0.188
12/10/2014,27.04464133126132,0.188
12/10/2014,26.00902557373047,0.188
12/11/2014,26.088070795400927,0.188
12/11/2014,26.001110076904297,0.188
12/12/2014,25.81138601030623,0.188
12/12/2014,25.819290161132812,0.188
12/15/2014,25.89044039076718,0.188
12/15/2014,25.961589813232422,0.188
12/16/2014,25.692804135602103,0.188
12/16/2014,26.151323318481445,0.188
12/17/2014,26.111791098063698,0.188
12/17/2014,27.04463768005371,0.188
12/18/2014,27.273895962819207,0.188
12/18/2014,27.242273330688477,0.188
12/19/2014,27.1948430748548,0.188
12/19/2014,27.028825759887695,0.188
12/22/2014,27.12369810544123,0.188
12/22/2014,26.68099021911621,0.188
12/23/2014,26.94976784646799,0.188
12/23/2014,25.81138038635254,0.188
12/24/2014,25.80347854921798,0.188
12/24/2014,25.922061920166016,0.188
12/26/2014,25.89834147305146,0.188
12/26/2014,25.518878936767578,0.188
12/29/2014,25.518881954537544,0.188
12/29/2014,25.77976417541504,0.188
12/30/2014,25.83509584936543,0.188
12/30/2014,25.81138038635254,0.188
12/31/2014,25.75605067238988,0.188
12/31/2014,26.68099021911621,0.188
01/02/2015,26.878618240356445,0.188
01/02/2015,26.878618240356445,0.188
01/05/2015,26.87072201618123,0.188
01/05/2015,27.179035186767578,0.188
01/06/2015,27.273891545142554,0.188
01/06/2015,27.265987396240234,0.188
01/07/2015,27.684977317104188,0.188
01/07/2015,28.88661003112793,0.188
01/08/2015,28.997291057736767,0.188
01/08/2015,28.934045791625977,0.188
01/09/2015,29.39256592708672,0.188
01/09/2015,29.977569580078125,0.188
01/12/2015,30.104067227439042,0.188
01/12/2015,30.894615173339844,0.188
01/13/2015,31.440091030198303,0.188
01/13/2015,31.89860725402832,0.188
01/14/2015,31.440080079325412,0.188
01/14/2015,31.606094360351562,0.188
01/15/2015,31.86698956389283,0.188
01/15/2015,31.179210662841797,0.188
01/16/2015,31.076426957402614,0.188
01/16/2015,30.37283706665039,0.188
01/20/2015,30.665349946527307,0.188
01/20/2015,30.08034324645996,0.188
01/21/2015,29.97756599621972,0.188
01/21/2015,30.143583297729492,0.188
01/22/2015,30.064529158797054,0.188
01/22/2015,29.574390411376953,0.188
01/23/2015,29.692978172388752,0.188
01/23/2015,30.902515411376953,0.188
01/26/2015,30.981563888709413,0.188
01/26/2015,31.8748836517334,0.188
01/27/2015,31.88279230103653,0.188
01/27/2015,31.621910095214844,0.188
01/28/2015,31.85117300301201,0.188
01/28/2015,31.59819793701172,0.188
01/29/2015,31.819549660467114,0.188
01/29/2015,31.590290069580078,0.188
01/30/2015,31.708875055000075,0.188
01/30/2015,31.693063735961914,0.188
02/02/2015,31.625538509865475,0.383
02/02/2015,31.847972869873047,0.383
02/03/2015,31.871798989045637,0.383
02/03/2015,32.14189910888672,0.383
02/04/2015,31.91151457331471,0.383
02/04/2015,31.538143157958984,0.383
02/05/2015,31.752636856695492,0.383
02/05/2015,31.903573989868164,0.383
02/06/2015,32.078357250226986,0.383
02/06/2015,31.029733657836914,0.383
02/09/2015,31.02972042617151,0.383
02/09/2015,31.26009750366211,0.383
02/10/2015,31.490484659555218,0.383
02/10/2015,31.42693328857422,0.383
02/11/2015,31.52226169611402,0.383
02/11/2015,31.37132453918457,0.383
02/12/2015,31.57787358603363,0.383
02/12/2015,31.641427993774414,0.383
02/13/2015,31.49048581619995,0.383
02/13/2015,30.990005493164062,0.383
02/17/2015,31.13299793307974,0.383
02/17/2015,31.069446563720703,0.383
02/18/2015,31.16477372076257,0.383
02/18/2015,31.752639770507812,0.383
02/19/2015,31.768526946911773,0.383
02/19/2015,32.56293869018555,0.383
02/20/2015,32.570882148963975,0.383
02/20/2015,32.78537368774414,0.383
02/23/2015,32.777426018293795,0.383
02/23/2015,32.57882308959961,0.383
02/24/2015,32.76948777655852,0.383
02/24/2015,32.316673278808594,0.383
02/25/2015,32.26901037527491,0.383
02/25/2015,32.602664947509766,0.383
02/26/2015,32.56293362875155,0.383
02/26/2015,32.09423065185547,0.383
02/27/2015,31.96714003684772,0.383
02/27/2015,31.339553833007812,0.383
03/02/2015,31.29188103894977,0.383
03/02/2015,30.73579216003418,0.383
03/03/2015,30.5769107385342,0.383
03/03/2015,30.672239303588867,0.383
03/04/2015,30.72785115377244,0.383
03/04/2015,30.990005493164062,0.383
03/05/2015,31.196554274930325,0.383
03/05/2015,30.990005493164062,0.383
03/06/2015,30.90262044365863,0.383
03/06/2015,29.695114135742188,0.383
03/09/2015,29.703062981254575,0.383
03/09/2015,30.378314971923828,0.383
03/10/2015,30.235309845844718,0.383
03/10/2015,30.036706924438477,0.383
03/11/2015,30.163817444293347,0.383
03/11/2015,30.060543060302734,0.383
03/12/2015,30.346529557563112,0.383
03/12/2015,32.54705047607422,0.383
03/13/2015,32.41994051429093,0.383
03/13/2015,31.792354583740234,0.383
03/16/2015,31.903576951337136,0.383
03/16/2015,32.11012268066406,0.383
03/17/2015,32.34844392748236,0.383
03/17/2015,32.52321243286133,0.383
03/18/2015,32.48349874947708,0.383
03/18/2015,32.95220184326172,0.383
03/19/2015,33.10313424012463,0.383
03/19/2015,33.49239730834961,0.383
03/20/2015,33.643337678955334,0.383
03/20/2015,34.5330810546875,0.383
03/23/2015,34.398032267366034,0.383
03/23/2015,35.43076705932617,0.383
03/24/2015,35.33543453186084,0.383
03/24/2015,34.81112289428711,0.383
