GDDY,GoDaddy Inc.,
Date,Price,Annualized Dividend
07/16/2015,26.450000762939453,0.0
07/16/2015,26.690000534057617,0.0
07/17/2015,26.739999771118164,0.0
07/17/2015,26.290000915527344,0.0
07/20/2015,26.239999771118164,0.0
07/20/2015,26.600000381469727,0.0
07/21/2015,26.479999542236328,0.0
07/21/2015,26.649999618530273,0.0
07/22/2015,26.450000762939453,0.0
07/22/2015,26.979999542236328,0.0
07/23/2015,26.90999984741211,0.0
07/23/2015,26.90999984741211,0.0
07/24/2015,27.030000686645508,0.0
07/24/2015,26.540000915527344,0.0
07/27/2015,26.399999618530273,0.0
07/27/2015,26.040000915527344,0.0
07/28/2015,26.200000762939453,0.0
07/28/2015,27.1200008392334,0.0
07/29/2015,27.010000228881836,0.0
07/29/2015,27.309999465942383,0.0
07/30/2015,27.31999969482422,0.0
