EFC,Ellington Financial Inc.,
Date,Price,Dividend,Annualized Dividend
04/25/2011,6.923298154814932,0.0,2.1100000000000003
04/26/2011,7.070929050445557,0.0,2.1100000000000003
04/27/2011,7.101684239691769,0.0,2.1100000000000003
04/28/2011,7.150893864739071,0.0,2.1100000000000003
04/29/2011,7.147818389937361,0.0,2.1100000000000003
05/02/2011,7.10168360026848,0.0,2.1100000000000003
05/03/2011,7.006338262433511,0.0,2.1100000000000003
05/04/2011,6.9940379406277104,0.0,2.1100000000000003
05/05/2011,6.990960918885398,0.0,2.1100000000000003
05/06/2011,7.043243959186678,0.0,2.1100000000000003
05/09/2011,6.938675823832322,0.0,2.1100000000000003
05/10/2011,6.917144296901071,0.0,2.1100000000000003
05/11/2011,7.027869311337574,0.0,2.1100000000000003
05/12/2011,6.917145309422129,0.0,2.1100000000000003
05/13/2011,6.910993473739741,0.0,2.1100000000000003
05/16/2011,6.812573677352057,0.0,2.1100000000000003
05/17/2011,6.766437689208067,0.0,2.1100000000000003
05/18/2011,6.821800085359181,0.0,2.1100000000000003
05/19/2011,6.707999229431152,0.0,2.1100000000000003
05/20/2011,6.729529274356536,0.0,2.1100000000000003
05/23/2011,6.784892618350529,0.0,2.1100000000000003
05/24/2011,6.778740936717843,0.0,2.1100000000000003
05/25/2011,6.7787398124024225,0.0,2.1100000000000003
05/26/2011,6.8525572410400795,0.0,2.1100000000000003
05/27/2011,6.828007962028863,0.4,2.5100000000000002
05/31/2011,6.865593389482786,0.0,2.5100000000000002
06/01/2011,6.859328385637405,0.0,2.5100000000000002
06/02/2011,6.859328901540951,0.0,2.5100000000000002
06/03/2011,6.859326918739279,0.0,2.5100000000000002
06/06/2011,6.890647888128768,0.0,2.5100000000000002
06/07/2011,6.921968618598503,0.0,2.5100000000000002
06/08/2011,6.92196993200784,0.0,2.5100000000000002
06/09/2011,6.9188369500088145,0.0,2.5100000000000002
06/10/2011,6.890649705264713,0.0,2.5100000000000002
06/13/2011,6.940762658126871,0.0,2.5100000000000002
06/14/2011,6.752835234437312,0.0,2.5100000000000002
06/15/2011,6.674531447915527,0.0,2.5100000000000002
06/16/2011,6.577437516046969,0.0,2.5100000000000002
06/17/2011,6.636947951731848,0.0,2.5100000000000002
06/20/2011,6.649476179465849,0.0,2.5100000000000002
06/21/2011,6.571175894902586,0.0,2.5100000000000002
06/22/2011,6.558646952935856,0.0,2.5100000000000002
06/23/2011,6.539853357206695,0.0,2.5100000000000002
06/24/2011,6.583703252638196,0.0,2.5100000000000002
06/27/2011,6.517929073113581,0.0,2.5100000000000002
06/28/2011,6.524193283093358,0.0,2.5100000000000002
06/29/2011,6.530457973480225,0.0,2.5100000000000002
06/30/2011,6.5461170576940155,0.0,2.5100000000000002
07/01/2011,6.5930986404418945,0.0,2.5100000000000002
07/05/2011,6.583702928980593,0.0,2.5100000000000002
07/06/2011,6.564910501268476,0.0,2.5100000000000002
07/07/2011,6.561781418545668,0.0,2.5100000000000002
07/08/2011,6.7340443446186855,0.0,2.5100000000000002
07/11/2011,6.705853621602428,0.0,2.5100000000000002
07/12/2011,6.655740227018084,0.0,2.5100000000000002
07/13/2011,6.599362096569426,0.0,2.5100000000000002
07/14/2011,6.596231858731139,0.0,2.5100000000000002
07/15/2011,6.458416899588105,0.0,2.5100000000000002
07/18/2011,6.474079604974204,0.0,2.5100000000000002
07/19/2011,6.489738271827412,0.0,2.5100000000000002
07/20/2011,6.427099180114753,0.0,2.5100000000000002
07/21/2011,6.392643247700682,0.0,2.5100000000000002
07/22/2011,6.44901882776927,0.0,2.5100000000000002
07/25/2011,6.408303777550601,0.0,2.5100000000000002
07/26/2011,6.380113959517042,0.0,2.5100000000000002
07/27/2011,6.295549068406296,0.0,2.5100000000000002
07/28/2011,6.248565995239907,0.0,2.5100000000000002
07/29/2011,6.210981787984095,0.0,2.5100000000000002
08/01/2011,6.17026339230888,0.0,2.5100000000000002
08/02/2011,6.298680355057757,0.0,2.5100000000000002
08/03/2011,6.251697951838498,0.0,2.5100000000000002
08/04/2011,6.398906712316121,0.0,2.5100000000000002
08/05/2011,6.157734834700507,0.0,2.5100000000000002
08/08/2011,5.71610783206092,0.0,2.5100000000000002
08/09/2011,5.559500832896341,0.0,2.5100000000000002
08/10/2011,5.7912790365989,0.0,2.5100000000000002
08/11/2011,5.738034441937966,0.0,2.5100000000000002
08/12/2011,5.806938349387254,0.0,2.5100000000000002
08/15/2011,5.7975414829321865,0.0,2.5100000000000002
08/16/2011,5.94475338098186,0.0,2.5100000000000002
08/17/2011,5.94161843025948,0.0,2.5100000000000002
08/18/2011,6.004261444005549,0.0,2.5100000000000002
08/19/2011,5.794408436737556,0.0,2.5100000000000002
08/22/2011,5.79441016543905,0.0,2.5100000000000002
08/23/2011,5.700446260194646,0.0,2.5100000000000002
08/24/2011,5.637804485186992,0.0,2.5100000000000002
08/25/2011,5.565766041919394,0.0,2.5100000000000002
08/26/2011,5.456143488706318,0.0,2.5100000000000002
08/29/2011,5.496859134096014,0.0,2.5100000000000002
08/30/2011,5.463157434098594,0.4,2.91
08/31/2011,5.6393892818005975,0.0,2.91
09/01/2011,5.681044332586432,0.0,2.91
09/02/2011,5.543264821873681,0.0,2.91
09/06/2011,5.488792163487101,0.0,2.91
09/07/2011,5.565695307569996,0.0,2.91
09/08/2011,5.5144269953702505,0.0,2.91
09/09/2011,5.4535473614819745,0.0,2.91
09/12/2011,5.533652062330291,0.0,2.91
09/13/2011,5.511221710364894,0.0,2.91
09/14/2011,5.5753049064124625,0.0,2.91
09/15/2011,5.623368984551447,0.0,2.91
09/16/2011,5.671432018280029,0.0,2.91
09/19/2011,5.572100735708372,0.0,2.91
09/20/2011,5.655409863720551,0.0,2.91
09/21/2011,5.623369648845518,0.0,2.91
09/22/2011,5.556080227167051,0.0,2.91
09/23/2011,5.431117609309798,0.0,2.91
09/26/2011,5.415096766275573,0.0,2.91
09/27/2011,5.565694731463983,0.0,2.91
09/28/2011,5.527241606794612,0.0,2.91
09/29/2011,5.5208348494948645,0.0,2.91
09/30/2011,5.44713846640291,0.0,2.91
10/03/2011,5.431118373770274,0.0,2.91
