GECC,Great Elm Capital Corp.,
Date,Price,Annualized Dividend
02/16/2017,6.661895751953125,0.242927
02/17/2017,6.680910890139196,0.242927
02/17/2017,6.733208179473877,0.242927
02/21/2017,6.7748096866262255,0.242927
02/21/2017,6.6975531578063965,0.242927
02/22/2017,6.543040394358716,0.242927
02/22/2017,6.6084113121032715,0.242927
02/23/2017,6.703494096529045,0.242927
02/23/2017,6.667836666107178,0.242927
02/24/2017,6.645684117160926,0.323903
02/24/2017,6.675619602203369,0.323903
02/27/2017,6.58581511465579,0.323903
02/27/2017,6.735493183135986,0.323903
02/28/2017,6.633712159505226,0.323903
02/28/2017,6.747467041015625,0.323903
03/01/2017,6.613953851822484,0.323903
03/01/2017,6.669633865356445,0.323903
03/02/2017,6.723517894744873,0.323903
03/02/2017,6.723517894744873,0.323903
03/03/2017,6.72351754820428,0.323903
