BNS,Bank Nova Scotia Halifax Pfd 3,
Date,Price,Dividend,Annualized Dividend
03/07/2001,6.236161932078981,0.0,0.0
03/08/2001,6.05171229626896,0.0,0.0
03/09/2001,5.963879108428955,0.0,0.0
03/12/2001,5.963879108428955,0.0,0.0
03/14/2001,5.849694204016878,0.0,0.0
03/15/2001,5.832127571105957,0.0,0.0
03/16/2001,5.8672614097595215,0.0,0.0
03/20/2001,5.867259554248525,0.0,0.0
03/21/2001,5.884826183319092,0.0,0.0
03/22/2001,5.700376987457276,0.0,0.0
03/23/2001,5.243645668029785,0.0,0.0
03/26/2001,5.39296159633152,0.0,0.0
03/27/2001,5.709159851074219,0.0,0.0
03/28/2001,5.761860370635986,0.0,0.0
03/29/2001,5.6828107833862305,0.0,0.0
04/10/2001,5.665245532989502,0.0,0.0
04/12/2001,5.832127571105957,0.0,0.0
04/24/2001,5.761860370635986,0.0,0.0
05/01/2001,5.507144927978516,0.0,0.0
05/02/2001,5.4807915687561035,0.0,0.0
05/03/2001,5.48957633972168,0.0,0.0
05/07/2001,5.4456586837768555,0.0,0.0
05/11/2001,5.796993255615234,0.0,0.0
05/15/2001,5.48957633972168,0.0,0.0
05/17/2001,5.507144927978516,0.0,0.0
05/31/2001,5.981442082836637,0.0,0.0
06/01/2001,6.2888593673706055,0.0,0.0
06/04/2001,6.2888614934761655,0.0,0.0
06/05/2001,6.455744743347168,0.0,0.0
06/13/2001,6.438177108764648,0.0,0.0
06/14/2001,6.5435762899925045,0.0,0.0
06/15/2001,6.578709602355957,0.0,0.0
06/18/2001,6.473310947418213,0.0,0.0
06/22/2001,6.473310947418213,0.0,0.0
06/26/2001,6.692892074584961,0.0,0.0
06/27/2001,6.561142921447754,0.0,0.0
07/02/2001,6.526010513305664,0.0,0.0
07/06/2001,6.710457324981689,0.0,0.0
07/09/2001,6.692892074584961,0.0,0.0
07/10/2001,6.728027820587157,0.0,0.0
07/17/2001,6.728027820587157,0.0,0.0
07/20/2001,6.578709602355957,0.0,0.0
07/26/2001,6.578710414573976,0.0,0.0
07/27/2001,6.526010513305664,0.0,0.0
07/30/2001,6.526010513305664,0.0,0.0
08/01/2001,6.543577671051026,0.0,0.0
08/03/2001,6.6401968002319345,0.0,0.0
08/06/2001,6.710457324981689,0.0,0.0
08/15/2001,6.80707550048828,0.0,0.0
08/16/2001,6.798290729522705,0.0,0.0
08/21/2001,6.728027820587157,0.0,0.0
08/24/2001,6.859776020050049,0.0,0.0
08/27/2001,6.947607517242432,0.0,0.0
08/28/2001,7.061791896820068,0.0,0.0
08/29/2001,7.061794946305806,0.0,0.0
08/30/2001,7.061791896820068,0.0,0.0
09/04/2001,6.930041790008546,0.0,0.0
09/05/2001,6.930041790008546,0.0,0.0
09/06/2001,6.824643135070802,0.0,0.0
09/07/2001,6.912475160608607,0.0,0.0
09/10/2001,6.930041790008546,0.0,0.0
09/17/2001,6.930041790008546,0.0,0.0
09/20/2001,6.490877628326416,0.0,0.0
09/21/2001,6.271294547873057,0.0,0.0
09/24/2001,6.253724888580107,0.0,0.0
09/25/2001,6.201025009155273,0.0,0.0
09/26/2001,6.490873394367426,0.0,0.0
09/27/2001,6.455744743347168,0.0,0.0
10/02/2001,6.3854756355285645,0.0,0.0
10/03/2001,6.508440017700195,0.0,0.0
10/10/2001,6.420610427856445,0.0,0.0
10/16/2001,6.323995113372803,0.0,0.0
11/09/2001,6.526010513305664,0.0,0.0
11/14/2001,6.763158849082443,0.0,0.0
11/15/2001,6.7807244182254305,0.0,0.0
11/16/2001,6.745591163635255,0.0,0.0
11/23/2001,6.675326347351074,0.0,0.0
12/05/2001,6.728026027014386,0.0,0.0
12/06/2001,6.859776020050049,0.0,0.0
12/10/2001,6.877342224121094,0.0,0.0
12/11/2001,6.80707550048828,0.0,0.0
12/12/2001,6.91247797012329,0.0,0.0
12/19/2001,7.04422568580157,0.0,0.0
12/20/2001,7.061791896820068,0.0,0.0
12/21/2001,6.947607517242432,0.0,0.0
01/09/2002,6.675327912976745,0.0,0.0
01/10/2002,6.728027820587157,0.0,0.0
01/14/2002,6.675326347351074,0.0,0.0
01/15/2002,6.62262720837503,0.0,0.0
01/16/2002,6.526010513305664,0.0,0.0
01/28/2002,6.6401968002319345,0.0,0.0
01/29/2002,6.710457324981689,0.0,0.0
02/05/2002,6.543573264365732,0.0,0.0
02/06/2002,6.508440017700195,0.0,0.0
02/07/2002,6.341559410095215,0.0,0.0
02/11/2002,6.341559936060634,0.0,0.0
02/12/2002,6.403043746948242,0.0,0.0
02/13/2002,6.367910861968994,0.0,0.0
02/14/2002,6.323995113372803,0.0,0.0
02/25/2002,6.359126567840576,0.0,0.0
02/26/2002,6.4030437948743835,0.0,0.0
02/27/2002,6.561142921447754,0.0,0.0
03/06/2002,6.947611892380281,0.0,0.0
03/07/2002,7.149626246168273,0.0,0.0
03/08/2002,7.202326774597168,0.0,0.0
03/12/2002,7.026660919189452,0.0,0.0
03/13/2002,6.947607517242432,0.0,0.0
03/15/2002,6.947607517242432,0.0,0.0
03/19/2002,7.096923828125,0.0,0.0
03/21/2002,7.114493940460368,0.0,0.0
03/22/2002,7.149627208709718,0.0,0.0
03/27/2002,7.263810634613037,0.0,0.0
03/28/2002,7.237458229064941,0.0,0.0
04/01/2002,7.21989107131958,0.0,0.0
04/02/2002,7.202326774597168,0.0,0.0
04/09/2002,7.298941612243653,0.0,0.0
04/15/2002,7.536093235015869,0.0,0.0
04/17/2002,7.483391761779785,0.0,0.0
04/30/2002,7.465825172611651,0.0,0.0
05/01/2002,7.404342174530028,0.0,0.0
05/09/2002,7.404342174530028,0.0,0.0
05/13/2002,7.536093235015869,0.0,0.0
05/14/2002,7.553657054901123,0.0,0.0
05/15/2002,7.571224689483642,0.0,0.0
05/16/2002,7.685409069061278,0.0,0.0
05/17/2002,7.659059047698974,0.0,0.0
05/20/2002,7.659058940430292,0.0,0.0
05/21/2002,7.641491889953612,0.0,0.0
05/22/2002,7.588790416717528,0.0,0.0
05/23/2002,7.421908765557666,0.0,0.0
05/24/2002,7.518526554107665,0.0,0.0
05/28/2002,7.500960826873779,0.0,0.0
05/29/2002,7.773242950439452,0.0,0.0
05/30/2002,7.755676746368408,0.0,0.0
05/31/2002,7.720535755157471,0.0,0.0
06/04/2002,7.720535755157471,0.0,0.0
06/06/2002,7.685410209269322,0.0,0.0
06/07/2002,7.606358626643325,0.0,0.0
06/10/2002,7.623926353387843,0.0,0.0
06/11/2002,7.465823833096881,0.0,0.0
06/12/2002,7.492172727919875,0.0,0.0
06/13/2002,7.509741077971163,0.0,0.0
06/14/2002,7.294552128597012,0.0,0.0
06/17/2002,7.318706882143398,0.0,0.0
06/18/2002,7.382384600440001,0.0,0.0
06/19/2002,7.375797374581905,0.0,0.0
06/20/2002,7.345056149931929,0.0,0.0
06/21/2002,7.3033324186542385,0.0,0.0
06/24/2002,7.184758835176728,0.0,0.0
06/25/2002,7.246239662170411,0.0,0.0
06/26/2002,7.173778794685572,0.0,0.0
06/27/2002,7.114494491576572,0.0,0.0
06/28/2002,7.284269994033864,0.185,0.185
07/01/2002,7.419738932100729,0.0,0.185
07/02/2002,7.284273013852283,0.0,0.185
07/03/2002,7.257619442734926,0.0,0.185
07/05/2002,7.250960328822929,0.0,0.185
07/08/2002,7.25095892845492,0.0,0.185
07/09/2002,7.439727952027778,0.0,0.185
07/10/2002,7.450832467835891,0.0,0.185
07/11/2002,7.350896363470083,0.0,0.185
07/12/2002,7.1088246204898375,0.0,0.185
07/15/2002,7.05774761923554,0.0,0.185
07/16/2002,7.017773893742091,0.0,0.185
07/17/2002,7.05330325149696,0.0,0.185
07/18/2002,7.0399811227322004,0.0,0.185
07/19/2002,6.995564668995496,0.0,0.185
07/22/2002,6.684650688545273,0.0,0.185
07/23/2002,6.675767203804471,0.0,0.185
07/24/2002,6.218280663526741,0.0,0.185
07/25/2002,6.506985314304715,0.0,0.185
07/26/2002,6.62024501733389,0.0,0.185
07/29/2002,6.638012558760283,0.0,0.185
07/30/2002,6.693534480775949,0.0,0.185
07/31/2002,6.784586584053515,0.0,0.185
08/01/2002,6.860095651753175,0.0,0.185
08/02/2002,6.933382728845973,0.0,0.185
08/05/2002,6.962252613711361,0.0,0.185
08/06/2002,6.884525179219399,0.0,0.185
08/07/2002,7.000008609503323,0.0,0.185
08/08/2002,7.051085691860162,0.0,0.185
08/09/2002,7.166570450136641,0.0,0.185
08/12/2002,7.042200349116286,0.0,0.185
08/13/2002,7.119929367258801,0.0,0.185
08/14/2002,7.017773778192507,0.0,0.185
08/15/2002,7.062189914423831,0.0,0.185
08/16/2002,7.004450340928019,0.0,0.185
08/19/2002,6.960030994393795,0.0,0.185
08/20/2002,7.071072696943635,0.0,0.185
