TAN,Invesco Solar ETF,
Date,Price,Dividend,Annualized Dividend
12/09/2008,54.9608620537652,0.0,0.0
12/10/2008,54.663781924668,0.0,0.0
12/11/2008,53.3268910946612,0.0,0.0
12/12/2008,50.504572422961736,0.0,0.0
12/15/2008,55.332222100930686,0.0,0.0
12/16/2008,54.14388345338196,0.0,0.0
12/17/2008,56.00065229564231,0.0,0.0
12/18/2008,62.38801819337845,0.0,0.0
12/19/2008,57.93170906393432,0.0,0.0
12/22/2008,58.89724600028014,0.0,0.0
12/23/2008,59.41714191640513,0.0,0.0
12/24/2008,59.21199092760441,0.12,0.12
12/26/2008,56.905990447333586,0.0,0.12
12/29/2008,59.21199011198445,0.0,0.12
12/30/2008,61.22043414569984,0.0,0.12
12/31/2008,63.823965685898685,0.0,0.12
01/02/2009,64.49345032649481,0.0,0.12
01/05/2009,68.435976865181,0.0,0.12
01/06/2009,69.99808700955914,0.0,0.12
01/07/2009,67.32016363911245,0.0,0.12
01/08/2009,63.972753577694974,0.0,0.12
01/09/2009,68.06403485374639,0.0,0.12
01/12/2009,66.20434518186201,0.0,0.12
01/13/2009,59.509538636137954,0.0,0.12
01/14/2009,57.35231469972267,0.0,0.12
01/15/2009,55.4926439106348,0.0,0.12
01/16/2009,60.699722008768234,0.0,0.12
01/20/2009,57.203539480499394,0.0,0.12
01/21/2009,54.60000228881837,0.0,0.12
01/22/2009,52.59154831190371,0.0,0.12
01/23/2009,49.54168483645728,0.0,0.12
01/26/2009,53.55858029716384,0.0,0.12
01/27/2009,54.30244505951448,0.0,0.12
01/28/2009,56.45966742713807,0.0,0.12
01/29/2009,56.087742742346265,0.0,0.12
01/30/2009,54.302446036503234,0.0,0.12
02/02/2009,52.59154193690026,0.0,0.12
02/03/2009,52.29401337319855,0.0,0.12
02/04/2009,52.51715916374955,0.0,0.12
02/05/2009,53.63296486000765,0.0,0.12
02/06/2009,53.85612772972931,0.0,0.12
02/09/2009,55.71580165520411,0.0,0.12
02/10/2009,57.12915759453202,0.0,0.12
02/11/2009,55.79018195470174,0.0,0.12
02/12/2009,52.07083347714136,0.0,0.12
02/13/2009,53.781747541850116,0.0,0.12
02/17/2009,52.66594017818754,0.0,0.12
02/18/2009,49.764842911514435,0.0,0.12
02/19/2009,48.87220216545422,0.0,0.12
02/20/2009,44.185827366649825,0.0,0.12
02/23/2009,44.18582824446182,0.0,0.12
02/24/2009,41.8054465565001,0.0,0.12
02/25/2009,42.25176593286,0.0,0.12
02/26/2009,42.47492502653681,0.0,0.12
02/27/2009,39.87138666749755,0.0,0.12
03/02/2009,39.053134050642015,0.0,0.12
03/03/2009,37.19346225129956,0.0,0.12
03/04/2009,38.01170978806821,0.0,0.12
03/05/2009,38.383650446445714,0.0,0.12
03/06/2009,36.1520427963585,0.0,0.12
03/09/2009,34.81307601928711,0.0,0.12
03/10/2009,35.48255655642997,0.0,0.12
03/11/2009,40.16894175067654,0.0,0.12
03/12/2009,38.30926100413004,0.0,0.12
03/13/2009,41.50789718946548,0.0,0.12
03/16/2009,41.65667296972745,0.0,0.12
03/17/2009,39.0531337013732,0.0,0.12
03/18/2009,39.79699947829883,0.0,0.12
03/19/2009,40.912802949170214,0.0,0.12
03/20/2009,43.66512158638456,0.0,0.12
03/23/2009,43.88828138161059,0.0,0.12
03/24/2009,47.23569370672955,0.0,0.12
03/25/2009,46.49182025195644,0.0,0.12
03/26/2009,46.86376190185547,0.0,0.12
03/27/2009,52.963478390678354,0.0,0.12
03/30/2009,50.43432721065653,0.0,0.12
03/31/2009,51.17819521837121,0.0,0.12
04/01/2009,50.88066111421655,0.0,0.12
04/02/2009,53.930515312466454,0.0,0.12
04/03/2009,55.19508207096229,0.0,0.12
04/06/2009,55.04632005019961,0.0,0.12
04/07/2009,53.856134986087966,0.0,0.12
04/08/2009,52.88909477552844,0.0,0.12
04/09/2009,56.68282150454065,0.0,0.12
04/13/2009,56.75721274391325,0.0,0.12
04/14/2009,58.09617526824407,0.0,0.12
04/15/2009,59.21198473794438,0.0,0.12
04/16/2009,60.92289158859559,0.0,0.12
04/17/2009,60.625332095954995,0.0,0.12
04/20/2009,57.64985134969223,0.0,0.12
04/21/2009,52.74033002377652,0.0,0.12
04/22/2009,54.004902262806254,0.0,0.12
04/23/2009,58.46812087605794,0.0,0.12
04/24/2009,57.426698362087144,0.0,0.12
04/27/2009,56.013357999495454,0.0,0.12
04/28/2009,54.59999254138893,0.0,0.12
04/29/2009,55.269487063942975,0.0,0.12
04/30/2009,60.62533470143297,0.0,0.12
05/01/2009,61.81553704599362,0.0,0.12
05/04/2009,63.22888387432737,0.0,0.12
05/05/2009,69.62615282317405,0.0,0.12
05/06/2009,70.146856834017,0.0,0.12
05/07/2009,74.31253963547344,0.0,0.12
05/08/2009,69.99808583875037,0.0,0.12
