FENY,Fidelity MSCI Energy Index ETF,
Date,Price,Annualized Dividend
05/22/2019,15.48670768737793,0.524
05/23/2019,15.271240096995392,0.524
05/23/2019,14.97497272491455,0.524
05/24/2019,15.127594864675364,0.524
05/24/2019,15.001904487609863,0.524
05/28/2019,15.037815715327406,0.524
05/28/2019,14.813370704650879,0.524
05/29/2019,14.65176996012775,0.524
05/29/2019,14.759504318237305,0.524
05/30/2019,14.74154923284612,0.524
05/30/2019,14.57097053527832,0.524
05/31/2019,14.364481535496912,0.524
05/31/2019,14.328570365905762,0.524
06/03/2019,14.400392659339758,0.524
06/03/2019,14.508125305175781,0.524
06/04/2019,14.62483848455093,0.524
06/04/2019,14.76848316192627,0.524
06/05/2019,14.768483134231818,0.524
06/05/2019,14.579948425292969,0.524
06/06/2019,14.624837832117063,0.524
06/06/2019,14.80439281463623,0.524
06/07/2019,14.840304554418328,0.524
06/07/2019,14.88519287109375,0.524
06/10/2019,14.957014972772383,0.524
06/10/2019,14.903148651123047,0.524
06/11/2019,15.037816686697843,0.524
06/11/2019,14.930082321166992,0.524
06/12/2019,14.831326939833477,0.524
06/12/2019,14.678704261779785,0.524
06/13/2019,14.867236859471774,0.524
06/13/2019,14.88519287109375,0.524
06/14/2019,14.921105116411143,0.524
06/14/2019,14.750526428222656,0.524
06/17/2019,14.705637236840559,0.524
06/17/2019,14.876215934753418,0.524
06/18/2019,14.965995431926705,0.524
06/18/2019,15.109640121459961,0.524
06/19/2019,15.091684341430666,0.524
06/19/2019,15.091684341430664,0.524
06/20/2019,15.298174736607642,0.524
06/20/2019,15.423863410949707,0.524
06/21/2019,15.444693259506373,0.552
06/21/2019,15.5352783203125,0.552
06/24/2019,15.535281004651942,0.552
06/24/2019,15.390345573425293,0.552
06/25/2019,15.372228034427065,0.552
06/25/2019,15.245409965515137,0.552
06/26/2019,15.390347688141262,0.552
06/26/2019,15.49905014038086,0.552
06/27/2019,15.508105044167143,0.552
06/27/2019,15.399402618408203,0.552
06/28/2019,15.417521247456714,0.552
06/28/2019,15.580574035644531,0.552
07/01/2019,15.77986004650112,0.552
07/01/2019,15.625865936279297,0.552
07/02/2019,15.571516329948471,0.552
07/02/2019,15.308819770812988,0.552
07/03/2019,15.354112579501944,0.552
07/03/2019,15.390345573425293,0.552
07/05/2019,15.326935723816733,0.552
07/05/2019,15.426579475402832,0.552
07/08/2019,15.399403163509081,0.552
07/08/2019,15.417520523071289,0.552
07/09/2019,15.390345027229346,0.552
07/09/2019,15.435638427734375,0.552
07/10/2019,15.526223258855264,0.552
07/10/2019,15.662101745605469,0.552
07/11/2019,15.671158698806533,0.552
07/11/2019,15.662101745605469,0.552
07/12/2019,15.67115729045464,0.552
07/12/2019,15.716450691223145,0.552
07/15/2019,15.752683915331563,0.552
07/15/2019,15.553398132324219,0.552
07/16/2019,15.535281144144513,0.552
07/16/2019,15.36316967010498,0.552
07/17/2019,15.372226288303057,0.552
07/17/2019,15.181999206542969,0.552
07/18/2019,15.12765062531338,0.552
07/18/2019,15.145766258239746,0.552
07/19/2019,15.172942250741661,0.552
07/19/2019,15.245409965515137,0.552
07/22/2019,15.290702409265709,0.552
07/22/2019,15.308819770812988,0.552
07/23/2019,15.308819222875025,0.552
07/23/2019,15.35411262512207,0.552
07/24/2019,15.335994132807862,0.552
07/24/2019,15.417520523071289,0.552
07/25/2019,15.480930516478418,0.552
07/25/2019,15.209177017211914,0.552
07/26/2019,15.20917729362568,0.552
07/26/2019,15.154825210571289,0.552
07/29/2019,15.11859340510162,0.552
07/29/2019,15.055184364318848,0.552
07/30/2019,14.991771964823068,0.552
07/30/2019,15.27258586883545,0.552
07/31/2019,15.26352869271487,0.552
07/31/2019,15.227293968200684,0.552
08/01/2019,15.127650726720606,0.552
08/01/2019,14.801545143127441,0.552
08/02/2019,14.87401254227306,0.552
08/02/2019,14.62037467956543,0.552
08/05/2019,14.384855692176098,0.552
08/05/2019,14.158393859863281,0.552
08/06/2019,14.185567352391411,0.552
08/06/2019,14.131217002868652,0.552
08/07/2019,13.886638552260662,0.552
08/07/2019,14.022515296936035,0.552
08/08/2019,14.13121871310518,0.552
08/08/2019,14.402972221374512,0.552
08/09/2019,14.430147076078644,0.552
08/09/2019,14.2218017578125,0.552
08/12/2019,14.221803039729247,0.552
08/12/2019,14.058751106262207,0.552
08/13/2019,14.049692595673044,0.552
08/13/2019,14.203686714172363,0.552
08/14/2019,13.959106725488148,0.552
08/14/2019,13.623943328857422,0.552
08/15/2019,13.58770910904427,0.552
08/15/2019,13.5424165725708,0.552
08/16/2019,13.596768822074225,0.552
08/16/2019,13.750762939453125,0.552
08/19/2019,13.950047900051292,0.552
08/19/2019,14.067808151245117,0.552
08/20/2019,14.03157562077362,0.552
08/20/2019,13.940991401672363,0.552
08/21/2019,14.09498346254153,0.552
08/21/2019,14.040632247924805,0.552
08/22/2019,14.131217912271529,0.552
08/22/2019,13.9591064453125,0.552
08/23/2019,13.814171391859132,0.552
08/23/2019,13.488066673278809,0.552
08/26/2019,13.64206032558909,0.552
08/26/2019,13.5424165725708,0.552
08/27/2019,13.596769306687632,0.552
08/27/2019,13.424657821655273,0.552
08/28/2019,13.506183120544538,0.552
08/28/2019,13.660177230834961,0.552
08/29/2019,13.768877175739785,0.552
08/29/2019,13.877578735351562,0.552
08/30/2019,13.922873410615132,0.552
08/30/2019,13.8504056930542,0.552
09/03/2019,13.651117062428577,0.552
09/03/2019,13.777935981750488,0.552
09/04/2019,13.959108122531752,0.552
09/04/2019,13.986283302307129,0.552
09/05/2019,14.094985813296535,0.552
09/05/2019,14.194628715515137,0.552
09/06/2019,14.140277034840805,0.552
09/06/2019,14.248978614807129,0.552
09/09/2019,14.339562683372687,0.552
09/09/2019,14.556965827941895,0.552
09/10/2019,14.647551214070798,0.552
09/10/2019,14.738136291503906,0.552
09/11/2019,14.819662642265953,0.552
09/11/2019,14.774369239807129,0.552
09/12/2019,14.556966726898134,0.552
09/12/2019,14.656610488891602,0.552
09/13/2019,14.75625292600902,0.552
09/13/2019,14.783427238464355,0.552
09/16/2019,15.444696660302249,0.552
09/16/2019,15.345054626464844,0.552
09/17/2019,15.335994999482788,0.552
09/17/2019,15.073298454284668,0.552
09/18/2019,14.96459955988157,0.552
09/18/2019,15.000832557678223,0.552
09/19/2019,15.06423991389184,0.552
09/19/2019,14.901188850402832,0.552
09/20/2019,14.991686764817883,0.5640000000000001
09/20/2019,14.927698135375977,0.5640000000000001
09/23/2019,14.827143068741583,0.5640000000000001
09/23/2019,14.93683910369873,0.5640000000000001
09/24/2019,14.90941574603861,0.5640000000000001
09/24/2019,14.67174243927002,0.5640000000000001
