FSLEX,Fidelity Select Environmental a,
Date,Price,Dividend,Annualized Dividend
07/22/1991,10.98942756652832,0.0,0.0
07/25/1991,10.917656898498535,0.0,0.0
07/31/1991,11.106047630310057,0.0,0.0
08/07/1991,11.16884708404541,0.0,0.0
08/23/1991,11.240612983703615,0.0,0.0
08/27/1991,11.213700294494627,0.0,0.0
09/04/1991,11.088105201721191,0.0,0.0
09/10/1991,10.827948570251465,0.0,0.0
09/13/1991,10.881776809692383,0.0,0.0
09/16/1991,10.818974494934082,0.0,0.0
09/17/1991,10.80103588104248,0.0,0.0
09/24/1991,10.845892906188965,0.0,0.0
10/07/1991,10.729267120361328,0.0,0.0
10/08/1991,10.720294952392578,0.0,0.0
10/09/1991,10.621618270874023,0.0,0.0
10/21/1991,10.980454444885254,0.0,0.0
10/25/1991,10.361459732055664,0.0,0.0
10/30/1991,10.567791938781738,0.0,0.0
11/06/1991,10.478081703186035,0.0,0.0
11/11/1991,10.639557838439941,0.0,0.0
11/12/1991,10.63058853149414,0.0,0.0
11/13/1991,10.657498359680176,0.0,0.0
11/18/1991,10.370428085327148,0.0,0.0
11/19/1991,10.137185096740723,0.0,0.0
11/20/1991,10.164094924926758,0.0,0.0
11/26/1991,9.9757080078125,0.0,0.0
01/03/1992,10.75617790222168,0.0,0.0
01/08/1992,11.159873008728027,0.0,0.0
01/23/1992,11.52768325805664,0.0,0.0
02/04/1992,11.69813346862793,0.0,0.0
02/13/1992,11.734017372131346,0.0,0.0
03/06/1992,11.393120765686037,0.0,0.0
03/12/1992,11.348261833190918,0.0,0.0
03/18/1992,11.132964134216309,0.0,0.0
03/23/1992,11.195757865905762,0.0,0.0
04/02/1992,10.271748542785645,0.0,0.0
04/06/1992,10.316606521606445,0.0,0.0
06/08/1992,9.661723136901855,0.0,0.0
06/15/1992,9.401564598083496,0.0,0.0
06/17/1992,9.195232391357422,0.0,0.0
06/18/1992,9.168318748474121,0.0,0.0
06/19/1992,9.25802993774414,0.0,0.0
06/22/1992,9.105522155761719,0.0,0.0
06/23/1992,9.096552848815918,0.0,0.0
06/24/1992,9.06067180633545,0.0,0.0
06/25/1992,9.04272747039795,0.0,0.0
07/01/1992,9.159350395202637,0.0,0.0
07/02/1992,9.132438659667969,0.0,0.0
07/07/1992,8.997873306274414,0.0,0.0
07/08/1992,8.944047927856445,0.0,0.0
07/09/1992,8.97095775604248,0.0,0.0
07/15/1992,8.988903045654297,0.0,0.0
07/16/1992,9.024787902832031,0.0,0.0
07/22/1992,8.926104545593262,0.0,0.0
07/24/1992,8.961990356445312,0.0,0.0
08/03/1992,9.24008846282959,0.0,0.0
08/04/1992,9.213175773620604,0.0,0.0
08/06/1992,9.114493370056152,0.0,0.0
08/07/1992,9.087580680847168,0.0,0.0
08/11/1992,9.015812873840332,0.0,0.0
08/19/1992,8.935074806213379,0.0,0.0
