NHI,"National Health Investors, Inc.",
Date,Price,Dividend,Annualized Dividend
08/27/1992,2.7395612231934265,0.0,1.42
08/28/1992,2.73956036567688,0.0,1.42
08/31/1992,2.73956079161569,0.0,1.42
09/01/1992,2.709122793634511,0.0,1.42
09/02/1992,2.739561363890931,0.0,1.42
09/03/1992,2.7852203845977783,0.0,1.42
09/04/1992,2.800439978934623,0.0,1.42
09/08/1992,2.8308796882629395,0.0,1.42
09/09/1992,2.8308796882629395,0.0,1.42
09/10/1992,2.8308796882629395,0.0,1.42
09/11/1992,2.846099519983251,0.0,1.42
09/14/1992,2.861319303512573,0.0,1.42
09/15/1992,2.861319303512573,0.0,1.42
09/16/1992,2.861319303512573,0.0,1.42
09/17/1992,2.846099519983251,0.0,1.42
09/18/1992,2.861319303512573,0.0,1.42
09/21/1992,2.891760246915967,0.0,1.42
09/22/1992,2.9221978187561035,0.0,1.42
09/23/1992,2.937417599062125,0.0,1.42
09/24/1992,2.9069800376892085,0.0,1.42
09/25/1992,2.9221978187561035,0.0,1.42
09/28/1992,2.9221978187561035,0.0,1.42
09/29/1992,2.891758258144061,0.0,1.42
09/30/1992,2.922197727341726,0.0,1.42
10/01/1992,2.9374186021765487,0.0,1.42
10/02/1992,2.937417507171631,0.0,1.42
10/05/1992,2.9221994253305286,0.0,1.42
10/06/1992,2.98307728767395,0.0,1.42
10/07/1992,3.0135189444575476,0.0,1.42
10/08/1992,3.0439585297550984,0.0,1.42
10/09/1992,3.0287387371063232,0.0,1.42
10/12/1992,2.998297214508057,0.0,1.42
10/13/1992,3.0135169973228186,0.0,1.42
10/14/1992,2.998297214508057,0.0,1.42
10/15/1992,3.0287379217147827,0.0,1.42
10/16/1992,3.0439577102661133,0.0,1.42
10/19/1992,3.0287387371063232,0.0,1.42
10/20/1992,3.0135190486907955,0.0,1.42
10/21/1992,3.0135169973228186,0.0,1.42
10/22/1992,2.998297214508057,0.0,1.42
10/23/1992,2.983077431693295,0.0,1.42
10/26/1992,3.0007842729489007,0.52,1.94
10/27/1992,2.985236167907715,0.0,1.94
10/28/1992,2.9852356606341424,0.0,1.94
10/29/1992,2.9230432510375977,0.0,1.94
10/30/1992,2.9230432510375977,0.0,1.94
11/02/1992,2.9230450410893893,0.0,1.94
11/03/1992,2.907496692038871,0.0,1.94
11/04/1992,2.8919484615325923,0.0,1.94
11/05/1992,2.891948817248013,0.0,1.94
11/06/1992,2.9074951486384615,0.0,1.94
11/09/1992,2.907496692038871,0.0,1.94
11/10/1992,2.8764003515243526,0.0,1.94
11/11/1992,2.876400705327325,0.0,1.94
11/12/1992,2.907496571540832,0.0,1.94
11/13/1992,2.8764004707336426,0.0,1.94
11/16/1992,2.8919484615325923,0.0,1.94
11/17/1992,2.8919484615325923,0.0,1.94
11/18/1992,2.891948817248013,0.0,1.94
11/19/1992,2.9074951486384615,0.0,1.94
11/20/1992,2.923044681549072,0.0,1.94
11/23/1992,2.907496571540832,0.0,1.94
11/24/1992,2.8764003515243526,0.0,1.94
11/25/1992,2.860852241516113,0.0,1.94
11/27/1992,2.860852241516113,0.0,1.94
11/30/1992,2.860852241516113,0.0,1.94
12/01/1992,2.8608511627697557,0.0,1.94
12/02/1992,2.8608523600810285,0.0,1.94
12/03/1992,2.8764003515243526,0.0,1.94
12/04/1992,2.8919484615325923,0.0,1.94
12/07/1992,2.8919484615325923,0.0,1.94
12/08/1992,2.8919484615325923,0.0,1.94
12/09/1992,2.8764003515243526,0.0,1.94
12/10/1992,2.8764004707336426,0.0,1.94
12/14/1992,2.891948581386257,0.0,1.94
12/15/1992,2.891948817248013,0.0,1.94
12/16/1992,2.9230432510375977,0.0,1.94
12/17/1992,2.9230432510375977,0.0,1.94
12/18/1992,2.9230450410893893,0.0,1.94
12/21/1992,2.907496571540832,0.0,1.94
12/22/1992,2.8919484615325923,0.0,1.94
12/23/1992,2.8608511627697557,0.0,1.94
12/24/1992,2.8484865771399606,0.525,2.045
12/28/1992,2.8803138106894894,0.0,2.045
12/29/1992,2.848487254551479,0.0,2.045
12/30/1992,2.7689204588948684,0.0,2.045
12/31/1992,2.8484863283855666,0.0,2.045
01/04/1993,2.880313242806329,0.0,2.045
01/05/1993,2.8484865771399606,0.0,2.045
