ABR,Arbor Realty Trust,
Date,Price,Dividend,Annualized Dividend
12/02/2005,8.332484886569942,0.0,2.2399999999999998
12/05/2005,8.326328119381353,0.0,2.2399999999999998
12/06/2005,8.344795254453647,0.0,2.2399999999999998
12/07/2005,8.292464829272237,0.0,2.2399999999999998
12/08/2005,8.23398360476123,0.0,2.2399999999999998
12/09/2005,8.20320209069948,0.0,2.2399999999999998
12/12/2005,8.233982378221995,0.0,2.2399999999999998
12/13/2005,8.160107346577446,0.0,2.2399999999999998
12/14/2005,8.157028787076044,0.0,2.2399999999999998
12/15/2005,8.049294523945075,0.0,2.2399999999999998
12/16/2005,7.870763619911232,0.0,2.2399999999999998
12/19/2005,7.766108999955511,0.0,2.2399999999999998
12/20/2005,7.803047126187468,0.0,2.2399999999999998
12/21/2005,8.095466173737318,0.0,2.2399999999999998
12/22/2005,8.003124587840217,0.0,2.2399999999999998
12/23/2005,8.064685660510632,0.0,2.2399999999999998
12/27/2005,8.141636816409058,0.0,2.2399999999999998
12/28/2005,7.941561268601393,0.0,2.2399999999999998
12/29/2005,7.91078105733834,0.0,2.2399999999999998
12/30/2005,7.84921674162012,0.0,2.2399999999999998
01/03/2006,8.027748996869898,0.0,2.2399999999999998
01/04/2006,8.110859829989762,0.0,2.2399999999999998
01/05/2006,8.175501823425293,0.0,2.2399999999999998
01/06/2006,8.203201018265464,0.0,2.2399999999999998
01/09/2006,8.175497929107292,0.0,2.2399999999999998
01/10/2006,8.270922127492007,0.0,2.2399999999999998
01/11/2006,8.449453551977058,0.0,2.2399999999999998
01/12/2006,8.434064705305598,0.0,2.2399999999999998
01/13/2006,8.387889093843672,0.0,2.2399999999999998
01/17/2006,8.34171615507425,0.0,2.2399999999999998
01/18/2006,8.184734156245892,0.0,2.2399999999999998
01/19/2006,8.397590266439922,0.7,2.9399999999999995
01/20/2006,8.413394316330232,0.0,2.9399999999999995
01/23/2006,8.258526925122561,0.0,2.9399999999999995
01/24/2006,8.32173603843461,0.0,2.9399999999999995
01/25/2006,8.286970055109311,0.0,2.9399999999999995
01/26/2006,8.400749943340577,0.0,2.9399999999999995
01/27/2006,8.312254390424874,0.0,2.9399999999999995
01/30/2006,8.31225665904912,0.0,2.9399999999999995
01/31/2006,8.302775382995605,0.0,2.9399999999999995
02/01/2006,8.312254163072065,0.0,2.9399999999999995
02/02/2006,8.249045738426418,0.0,2.4699999999999998
02/03/2006,7.942467109730553,0.0,2.4699999999999998
02/06/2006,7.917188808942258,0.0,2.4699999999999998
02/07/2006,7.983558076490946,0.0,2.4699999999999998
02/08/2006,7.96143183201178,0.0,2.4699999999999998
02/09/2006,7.980398527757185,0.0,2.4699999999999998
02/10/2006,7.904544006955714,0.0,2.4699999999999998
02/13/2006,8.065733217986585,0.0,2.4699999999999998
02/14/2006,8.23324143390282,0.0,2.4699999999999998
02/15/2006,8.37546950813598,0.0,2.4699999999999998
02/16/2006,8.40707155052603,0.0,2.4699999999999998
02/17/2006,8.558777732180843,0.0,2.4699999999999998
02/21/2006,8.546136640929985,0.0,2.4699999999999998
02/22/2006,8.517693761129198,0.0,2.4699999999999998
02/23/2006,8.511371400875662,0.0,2.4699999999999998
02/24/2006,8.45131695547199,0.0,2.4699999999999998
02/27/2006,8.375465393066406,0.0,2.4699999999999998
02/28/2006,8.388110488873568,0.0,2.4699999999999998
03/01/2006,8.302773164957062,0.0,2.4699999999999998
03/02/2006,8.628310059620109,0.0,2.4699999999999998
03/03/2006,8.454477052325508,0.0,2.4699999999999998
03/06/2006,8.122620336928062,0.0,2.4699999999999998
03/07/2006,8.422873788556332,0.0,2.4699999999999998
03/08/2006,8.324899204142177,0.0,2.4699999999999998
03/09/2006,8.426035209095,0.0,2.4699999999999998
03/10/2006,8.47028475389332,0.0,2.4699999999999998
03/13/2006,8.470284397386235,0.0,2.4699999999999998
03/14/2006,8.381787878433371,0.0,2.4699999999999998
03/15/2006,8.391268567841228,0.0,2.4699999999999998
