QCLN,First Trust NASDAQ Clean Edge G,
Date,Price,Dividend,Annualized Dividend
06/24/2016,13.358634837121645,0.0,0.156
06/27/2016,13.146743768305244,0.0,0.156
06/28/2016,12.934857718917675,0.0,0.156
06/29/2016,13.339370998053882,0.0,0.156
06/30/2016,13.589785295494304,0.0,0.156
07/01/2016,13.705361868195416,0.0,0.156
07/05/2016,13.618680539731962,0.0,0.156
07/06/2016,13.483841180541669,0.0,0.156
07/07/2016,13.618678814397915,0.0,0.156
07/08/2016,13.80167585278407,0.0,0.156
07/11/2016,14.00393376506211,0.0,0.156
07/12/2016,14.32176649847001,0.0,0.156
07/13/2016,14.389182563035934,0.0,0.156
07/14/2016,14.379554553196433,0.0,0.156
07/15/2016,14.350660765379583,0.0,0.156
07/18/2016,14.369924075852417,0.0,0.156
07/19/2016,14.44697631375171,0.0,0.156
07/20/2016,14.398818280615778,0.0,0.156
07/21/2016,14.601075447940522,0.0,0.156
07/22/2016,14.39881717152478,0.0,0.156
07/25/2016,14.379556124845944,0.0,0.156
07/26/2016,14.581811061032427,0.0,0.156
07/27/2016,15.024851981314043,0.0,0.156
07/28/2016,14.909274316637857,0.0,0.156
07/29/2016,14.976695680614272,0.0,0.156
08/01/2016,14.82259363494457,0.0,0.156
08/02/2016,14.861119331517212,0.0,0.156
08/03/2016,14.755175759989454,0.0,0.156
08/04/2016,14.861117621254918,0.0,0.156
08/05/2016,14.716649939286631,0.0,0.156
08/08/2016,14.928537765843672,0.0,0.156
08/09/2016,14.90927705037199,0.0,0.156
08/10/2016,14.639598345325728,0.0,0.156
08/11/2016,14.581812065287862,0.0,0.156
08/12/2016,14.620337865712473,0.0,0.156
08/15/2016,14.572179697958473,0.0,0.156
08/16/2016,14.726282776109006,0.0,0.156
08/17/2016,14.514392938925049,0.0,0.156
08/18/2016,14.456606393125632,0.0,0.156
08/19/2016,14.514393778182281,0.0,0.156
08/22/2016,14.514391142421598,0.0,0.156
08/23/2016,14.620338378054678,0.0,0.156
08/24/2016,14.649232213420687,0.0,0.156
08/25/2016,14.446973935010924,0.0,0.156
08/26/2016,14.572180992264572,0.0,0.156
08/29/2016,14.533655925583208,0.0,0.156
08/30/2016,14.49513053894043,0.0,0.156
08/31/2016,14.485497874216058,0.0,0.156
09/01/2016,14.504764623152884,0.0,0.156
09/02/2016,14.44697453321512,0.0,0.156
09/06/2016,14.398816044397945,0.0,0.156
09/07/2016,14.475866492538785,0.0,0.156
09/08/2016,14.495129563830892,0.0,0.156
09/09/2016,14.456606365404314,0.0,0.156
09/12/2016,14.013564902264145,0.0,0.156
09/13/2016,14.17729636911678,0.0,0.156
09/14/2016,13.965407255073988,0.0,0.156
09/15/2016,13.907618266454175,0.0,0.156
09/16/2016,14.071351269172764,0.0,0.156
09/19/2016,14.273606906452901,0.0,0.156
09/20/2016,14.235083658358535,0.0,0.156
09/21/2016,14.171705602071002,0.084,0.21500000000000002
09/22/2016,14.34606740908627,0.0,0.21500000000000002
09/23/2016,14.549488803224323,0.0,0.21500000000000002
09/26/2016,14.404187013610535,0.0,0.21500000000000002
09/27/2016,14.317006227343292,0.0,0.21500000000000002
09/28/2016,14.539803398543663,0.0,0.21500000000000002
09/29/2016,14.588236596964663,0.0,0.21500000000000002
09/30/2016,14.54948920654995,0.0,0.21500000000000002
10/03/2016,14.67541672841625,0.0,0.21500000000000002
10/04/2016,14.559176267218119,0.0,0.21500000000000002
10/05/2016,14.433248129440406,0.0,0.21500000000000002
10/06/2016,14.568862352967281,0.0,0.21500000000000002
10/07/2016,14.549488044435881,0.0,0.21500000000000002
10/10/2016,14.413874029109548,0.0,0.21500000000000002
10/11/2016,14.32669441459832,0.0,0.21500000000000002
10/12/2016,14.13295841217041,0.0,0.21500000000000002
10/13/2016,14.045779122075233,0.0,0.21500000000000002
10/14/2016,14.15233247800329,0.0,0.21500000000000002
10/17/2016,14.113584328041162,0.0,0.21500000000000002
10/18/2016,14.14264471717154,0.0,0.21500000000000002
10/19/2016,14.132958665704567,0.0,0.21500000000000002
10/20/2016,14.200765014073871,0.0,0.21500000000000002
10/21/2016,14.220141342102936,0.0,0.21500000000000002
10/24/2016,14.423560876983057,0.0,0.21500000000000002
10/25/2016,14.287945488209695,0.0,0.21500000000000002
10/26/2016,14.142646160287832,0.0,0.21500000000000002
10/27/2016,14.2976331561908,0.0,0.21500000000000002
10/28/2016,14.084525709161602,0.0,0.21500000000000002
10/31/2016,14.026404306977438,0.0,0.21500000000000002
11/01/2016,14.113583201199694,0.0,0.21500000000000002
11/02/2016,13.842355369209468,0.0,0.21500000000000002
11/03/2016,13.774551778760628,0.0,0.21500000000000002
11/04/2016,13.7842348636015,0.0,0.21500000000000002
11/07/2016,13.69705580015603,0.0,0.21500000000000002
11/08/2016,14.084524054051826,0.0,0.21500000000000002
11/09/2016,12.796189900869752,0.0,0.21500000000000002
11/10/2016,13.977971609754036,0.0,0.21500000000000002
11/11/2016,14.065153470628278,0.0,0.21500000000000002
11/14/2016,14.113586101091643,0.0,0.21500000000000002
11/15/2016,14.48168256440076,0.0,0.21500000000000002
11/16/2016,14.471994717018395,0.0,0.21500000000000002
11/17/2016,14.510741796521668,0.0,0.21500000000000002
11/18/2016,14.539805107218422,0.0,0.21500000000000002
11/21/2016,14.413874875519172,0.0,0.21500000000000002
11/22/2016,14.636668360343805,0.0,0.21500000000000002
11/23/2016,14.723846880514563,0.0,0.21500000000000002
11/25/2016,14.85946423698624,0.0,0.21500000000000002
11/28/2016,14.985391192568683,0.0,0.21500000000000002
11/29/2016,15.004764603008885,0.0,0.21500000000000002
11/30/2016,14.830406051645825,0.0,0.21500000000000002
12/01/2016,14.714165841981492,0.0,0.21500000000000002
12/02/2016,14.326693889119483,0.0,0.21500000000000002
12/05/2016,14.33638059050332,0.0,0.21500000000000002
12/06/2016,14.617296894158672,0.0,0.21500000000000002
12/07/2016,14.7335364289662,0.0,0.21500000000000002
12/08/2016,15.101632118225098,0.0,0.21500000000000002
12/09/2016,14.966017287798115,0.0,0.21500000000000002
12/12/2016,15.111319885268049,0.0,0.21500000000000002
12/13/2016,14.98539131590275,0.0,0.21500000000000002
12/14/2016,15.053197663252861,0.0,0.21500000000000002
12/15/2016,15.17912687843942,0.0,0.21500000000000002
12/16/2016,15.179125986439997,0.0,0.21500000000000002
12/19/2016,15.072571264291021,0.0,0.21500000000000002
12/20/2016,15.256620799443798,0.0,0.21500000000000002
12/21/2016,15.232353561208932,0.015,0.192
12/22/2016,15.086914811616452,0.0,0.192
12/23/2016,15.164483466359979,0.0,0.192
12/27/2016,15.11600196454535,0.0,0.192
12/28/2016,15.465056903256379,0.0,0.192
12/29/2016,15.106305122375488,0.0,0.192
12/30/2016,15.086913736665089,0.0,0.192
01/03/2017,15.057825363022056,0.0,0.192
01/04/2017,15.145089585975107,0.0,0.192
01/05/2017,15.36809534388114,0.0,0.192
01/06/2017,15.38748758612849,0.0,0.192
01/09/2017,15.271138145922256,0.0,0.192
01/10/2017,15.183871778240999,0.0,0.192
01/11/2017,15.37779351702953,0.0,0.192
01/12/2017,15.300224458786877,0.0,0.192
01/13/2017,15.23235302926149,0.0,0.192
01/17/2017,15.48444703927393,0.0,0.192
01/18/2017,15.397185660690752,0.0,0.192
01/19/2017,15.387487687456867,0.0,0.192
01/20/2017,15.193570118920114,0.0,0.192
01/23/2017,15.445662941699952,0.0,0.192
01/24/2017,15.339009219600396,0.0,0.192
01/25/2017,15.697759374265969,0.0,0.192
01/26/2017,15.755933807179265,0.0,0.192
01/27/2017,15.64927986661891,0.0,0.192
01/30/2017,15.455358197918276,0.0,0.192
01/31/2017,15.290529872163852,0.0,0.192
02/01/2017,15.58140760613675,0.0,0.192
02/02/2017,15.358399162984112,0.0,0.192
02/03/2017,15.426273436130964,0.0,0.192
02/06/2017,15.435969398505971,0.0,0.192
02/07/2017,15.581408438099235,0.0,0.192
02/08/2017,15.542625251657718,0.0,0.192
02/09/2017,15.717151181016499,0.0,0.192
02/10/2017,15.707458085158233,0.0,0.192
02/13/2017,15.86259272739934,0.0,0.192
02/14/2017,15.988635669156077,0.0,0.192
02/15/2017,15.978941531204095,0.0,0.192
02/16/2017,16.298908094117007,0.0,0.192
02/17/2017,16.095290506201295,0.0,0.192
02/21/2017,16.357088951028704,0.0,0.192
02/22/2017,16.521916719037545,0.0,0.192
02/23/2017,16.289212031708455,0.0,0.192
02/24/2017,16.21164188535198,0.0,0.192
02/27/2017,16.405563377439325,0.0,0.192
02/28/2017,16.357085993710104,0.0,0.192
03/01/2017,16.395868183315965,0.0,0.192
03/02/2017,16.27951838455463,0.0,0.192
03/03/2017,16.10498650578326,0.0,0.192
03/06/2017,16.017726450439177,0.0,0.192
03/07/2017,15.978939726616973,0.0,0.192
03/08/2017,15.881979568240107,0.0,0.192
03/09/2017,15.872290354851382,0.0,0.192
03/10/2017,15.87228523695544,0.0,0.192
03/13/2017,15.90137810620771,0.0,0.192
03/14/2017,15.959549104789453,0.0,0.192
03/15/2017,16.00803082783163,0.0,0.192
03/16/2017,16.221340258506306,0.0,0.192
03/17/2017,16.240737559298978,0.0,0.192
03/20/2017,16.240732170574066,0.0,0.192
03/21/2017,16.182561748061335,0.0,0.192
03/22/2017,15.920769791498433,0.0,0.192
03/23/2017,15.745191188162908,0.019,0.17
03/24/2017,15.822846042583057,0.0,0.17
03/27/2017,15.822845886610613,0.0,0.17
03/28/2017,15.90050409037929,0.0,0.17
03/29/2017,16.133478032853176,0.0,0.17
03/30/2017,16.220841294578996,0.0,0.17
03/31/2017,16.279089967636732,0.0,0.17
04/03/2017,16.424696994092415,0.0,0.17
04/04/2017,16.084947065331896,0.0,0.17
04/05/2017,16.152892802539576,0.0,0.17
04/06/2017,15.861675924897623,0.0,0.17
04/07/2017,15.881093297488848,0.0,0.17
04/10/2017,15.987871247551238,0.0,0.17
04/11/2017,16.15289207418935,0.0,0.17
04/12/2017,16.09464837667024,0.0,0.17
04/13/2017,15.871383003033959,0.0,0.17
04/17/2017,15.881089040398447,0.0,0.17
04/18/2017,15.793726134225588,0.0,0.17
04/19/2017,16.055826438542415,0.0,0.17
04/20/2017,16.065528630724753,0.0,0.17
04/21/2017,16.152890808215222,0.0,0.17
04/24/2017,16.395576694015947,0.0,0.17
04/25/2017,16.366456468625785,0.0,0.17
04/26/2017,16.473234473110796,0.0,0.17
04/27/2017,16.502358395624917,0.0,0.17
04/28/2017,16.482940498969676,0.0,0.17
05/01/2017,16.30821104495391,0.0,0.17
05/02/2017,16.298506476556284,0.0,0.17
05/03/2017,16.288797458466824,0.0,0.17
05/04/2017,16.249966954716893,0.0,0.17
05/05/2017,16.434403798380643,0.0,0.17
05/08/2017,16.580011216284117,0.0,0.17
05/09/2017,16.6673834097359,0.0,0.17
05/10/2017,16.86152619454939,0.0,0.17
05/11/2017,16.91006308907766,0.0,0.17
05/12/2017,16.87122911226531,0.0,0.17
05/15/2017,16.725624455105145,0.0,0.17
05/16/2017,16.812992095947266,0.0,0.17
05/17/2017,16.64796231677976,0.0,0.17
05/18/2017,16.211140444430892,0.0,0.17
05/19/2017,16.414992820703368,0.0,0.17
05/22/2017,16.638257526885067,0.0,0.17
05/23/2017,16.783872170230083,0.0,0.17
05/24/2017,16.75474868755073,0.0,0.17
05/25/2017,16.958595564288505,0.0,0.17
05/26/2017,16.929477853366915,0.0,0.17
05/30/2017,16.91976899341195,0.0,0.17
05/31/2017,17.21098845847493,0.0,0.17
06/01/2017,17.1042077777634,0.0,0.17
06/02/2017,17.24010765335419,0.0,0.17
06/05/2017,17.647815946038488,0.0,0.17
06/06/2017,17.366304616842253,0.0,0.17
06/07/2017,17.44396048339326,0.0,0.17
06/08/2017,17.424548213306515,0.0,0.17
06/09/2017,17.841957874556236,0.0,0.17
06/12/2017,17.376008987426758,0.0,0.17
06/13/2017,17.44395974187864,0.0,0.17
06/14/2017,17.64781113792265,0.0,0.17
06/15/2017,17.42454617913045,0.0,0.17
06/16/2017,17.414838768155672,0.0,0.17
06/19/2017,17.346889360680287,0.0,0.17
06/20/2017,17.46337731026227,0.0,0.17
06/21/2017,17.28864317294784,0.0,0.17
06/22/2017,17.30428740919032,0.026,0.14400000000000002
06/23/2017,17.53760186538983,0.0,0.14400000000000002
06/26/2017,17.955625190235775,0.0,0.14400000000000002
06/27/2017,17.65425847839175,0.0,0.14400000000000002
06/28/2017,17.693142020520725,0.0,0.14400000000000002
06/29/2017,17.887568785030023,0.0,0.14400000000000002
06/30/2017,17.945903105701273,0.0,0.14400000000000002
07/03/2017,17.732030417140777,0.0,0.14400000000000002
07/05/2017,17.62509683023517,0.0,0.14400000000000002
07/06/2017,17.2751233652624,0.0,0.14400000000000002
07/07/2017,17.38205523324555,0.0,0.14400000000000002
07/10/2017,17.401495090376702,0.0,0.14400000000000002
07/11/2017,17.557043027001978,0.0,0.14400000000000002
07/12/2017,17.615374124708342,0.0,0.14400000000000002
07/13/2017,18.276437064902325,0.0,0.14400000000000002
07/14/2017,18.033397844659483,0.0,0.14400000000000002
07/17/2017,18.344485645407755,0.0,0.14400000000000002
07/18/2017,18.082008698486693,0.0,0.14400000000000002
07/19/2017,18.44170030830725,0.0,0.14400000000000002
07/20/2017,18.68473808591076,0.0,0.14400000000000002
07/21/2017,18.704185194586536,0.0,0.14400000000000002
07/24/2017,18.927771888716553,0.0,0.14400000000000002
07/25/2017,18.66529640515772,0.0,0.14400000000000002
