PBW,Invesco WilderHill Clean Energy,
Date,Price,Dividend,Annualized Dividend
03/28/2006,83.72335193226638,0.0,0.0
03/29/2006,83.40131779788604,0.0,0.0
03/30/2006,85.13215524767124,0.0,0.0
03/31/2006,86.13842042505355,0.0,0.0
04/03/2006,86.13842042505355,0.0,0.0
04/04/2006,85.33342971982123,0.0,0.0
04/05/2006,85.65540754894882,0.0,0.0
04/06/2006,86.50072462309727,0.0,0.0
04/07/2006,86.74221030268264,0.0,0.0
04/10/2006,86.46045527787618,0.0,0.0
04/11/2006,86.17868201044939,0.0,0.0
04/12/2006,84.12586078372611,0.0,0.0
04/13/2006,85.37364539684035,0.0,0.0
04/17/2006,86.9434475052089,0.0,0.0
04/18/2006,88.5132740529582,0.0,0.0
04/19/2006,91.77365740195212,0.0,0.0
04/20/2006,94.1887592307399,0.0,0.0
04/21/2006,93.34347209877306,0.0,0.0
04/24/2006,92.61893681540016,0.0,0.0
04/25/2006,94.8327969598875,0.0,0.0
04/26/2006,93.58497196695079,0.0,0.0
04/27/2006,91.77367201456964,0.0,0.0
04/28/2006,92.57865297489325,0.0,0.0
05/01/2006,91.77366547237169,0.0,0.0
05/02/2006,91.97492002517535,0.0,0.0
05/03/2006,92.5786954388894,0.0,0.0
05/04/2006,93.78624364026622,0.0,0.0
05/05/2006,94.67176175753413,0.0,0.0
05/08/2006,95.07429572211265,0.0,0.0
05/09/2006,96.80510923652096,0.0,0.0
05/10/2006,95.59757094662416,0.0,0.0
05/11/2006,96.04032433967375,0.0,0.0
05/12/2006,93.02143883344121,0.0,0.0
05/15/2006,88.55353766708012,0.0,0.0
05/16/2006,86.460447622154,0.0,0.0
05/17/2006,85.53467006716161,0.0,0.0
05/18/2006,84.12586348529024,0.0,0.0
05/19/2006,83.11956169670846,0.0,0.0
05/22/2006,80.58372210096343,0.0,0.0
05/23/2006,79.77868939967011,0.0,0.0
05/24/2006,80.5032055787366,0.0,0.0
05/25/2006,80.50322275507467,0.0,0.0
05/26/2006,83.32080727901185,0.0,0.0
05/30/2006,84.32710839512656,0.0,0.0
05/31/2006,82.71702267808101,0.0,0.0
06/01/2006,83.40132706503256,0.0,0.0
06/02/2006,86.13844549882575,0.0,0.0
06/05/2006,86.09815399502135,0.0,0.0
06/06/2006,85.33341317088144,0.0,0.0
06/07/2006,81.54976139746216,0.0,0.0
06/08/2006,79.4969298578704,0.0,0.0
06/09/2006,79.49692028745508,0.0,0.0
06/12/2006,77.40383443936804,0.0,0.0
06/13/2006,72.45286547090785,0.0,0.0
06/14/2006,71.04409397462,0.0,0.0
06/15/2006,73.01639098703924,0.0,0.0
06/16/2006,76.84030544809661,0.05,0.05
06/19/2006,75.95429601226664,0.0,0.05
06/20/2006,73.17546844482422,0.0,0.05
06/21/2006,73.49767504240337,0.0,0.05
06/22/2006,76.27647548345762,0.0,0.05
06/23/2006,76.11538717499971,0.0,0.05
06/26/2006,76.03484196430699,0.0,0.05
06/27/2006,76.23621498774257,0.0,0.05
06/28/2006,74.14201658548835,0.0,0.05
06/29/2006,73.86010336565587,0.0,0.05
06/30/2006,75.71268142587239,0.0,0.05
07/03/2006,76.92082690743196,0.0,0.05
07/05/2006,77.32358954131648,0.0,0.05
07/06/2006,77.24301311560534,0.0,0.05
07/07/2006,76.80002937539163,0.0,0.05
07/10/2006,75.22937619410372,0.0,0.05
07/11/2006,72.97410339448858,0.0,0.05
07/12/2006,73.53793070028324,0.0,0.05
07/13/2006,71.52430671495287,0.0,0.05
07/14/2006,69.67176865479962,0.0,0.05
07/17/2006,69.22874889225862,0.0,0.05
07/18/2006,68.86629611781002,0.0,0.05
07/19/2006,69.1482156589501,0.0,0.05
07/20/2006,72.32976104668549,0.0,0.05
07/21/2006,68.94686763009668,0.0,0.05
07/24/2006,68.90657428619748,0.0,0.05
07/25/2006,69.67174091426224,0.0,0.05
07/26/2006,70.39666048070106,0.0,0.05
07/27/2006,71.00073899147588,0.0,0.05
07/28/2006,69.55094688627803,0.0,0.05
07/31/2006,70.27582436995367,0.0,0.05
08/01/2006,70.19530703080201,0.0,0.05
08/02/2006,70.63828919213344,0.0,0.05
08/03/2006,70.55775137824321,0.0,0.05
08/04/2006,72.49083775111606,0.0,0.05
08/07/2006,70.3966687691703,0.0,0.05
08/08/2006,70.35639821269423,0.0,0.05
08/09/2006,69.63149244551403,0.0,0.05
08/10/2006,67.73867686686572,0.0,0.05
08/11/2006,67.89975928421461,0.0,0.05
08/14/2006,67.49700469582034,0.0,0.05
08/15/2006,67.33595477840917,0.0,0.05
08/16/2006,69.18847049636858,0.0,0.05
08/17/2006,70.55773189198331,0.0,0.05
08/18/2006,70.71886160491748,0.0,0.05
08/21/2006,70.96046752447295,0.0,0.05
08/22/2006,70.35639021493674,0.0,0.05
08/23/2006,71.6048409018071,0.0,0.05
08/24/2006,70.23556604019,0.0,0.05
08/25/2006,70.03420934927195,0.0,0.05
08/28/2006,70.75910045298869,0.0,0.05
08/29/2006,70.96048479218078,0.0,0.05
08/30/2006,71.76590377048264,0.0,0.05
08/31/2006,73.17547670735453,0.0,0.05
09/01/2006,73.37683269513745,0.0,0.05
09/05/2006,73.29630193840967,0.0,0.05
09/06/2006,72.77274404122883,0.0,0.05
09/07/2006,70.1147528912124,0.0,0.05
09/08/2006,70.47722015158114,0.0,0.05
09/11/2006,69.26902236279129,0.0,0.05
09/12/2006,68.6649436253436,0.0,0.05
09/13/2006,70.43694110166251,0.0,0.05
09/14/2006,70.6383014482874,0.0,0.05
09/15/2006,70.55774275557576,0.0,0.05
09/18/2006,69.91338944941698,0.0,0.05
09/19/2006,70.19530189179301,0.0,0.05
09/20/2006,69.26903883990119,0.0,0.05
09/21/2006,68.38301630152047,0.0,0.05
09/22/2006,66.6915682856067,0.0,0.05
09/25/2006,65.84586826671253,0.0,0.05
09/26/2006,66.04720045861035,0.0,0.05
09/27/2006,67.2151007761798,0.0,0.05
09/28/2006,68.38301725514651,0.0,0.05
09/29/2006,68.38302821177173,0.0,0.05
10/02/2006,67.25537995940392,0.0,0.05
10/03/2006,67.13458669369426,0.0,0.05
10/04/2006,66.65131588522172,0.0,0.05
10/05/2006,68.26220354495948,0.0,0.05
10/06/2006,68.26221487730157,0.0,0.05
10/09/2006,68.58439466811994,0.0,0.05
10/10/2006,69.30929056696321,0.0,0.05
10/11/2006,70.07447774480349,0.0,0.05
10/12/2006,70.39664667459286,0.0,0.05
10/13/2006,71.92703013509973,0.0,0.05
10/16/2006,72.89354935924268,0.0,0.05
10/17/2006,73.53795216352886,0.0,0.05
10/18/2006,73.25602621939731,0.0,0.05
10/19/2006,72.69218743186137,0.0,0.05
10/20/2006,71.88676013106333,0.0,0.05
10/23/2006,70.75909851699363,0.0,0.05
10/24/2006,71.36319877332664,0.0,0.05
10/25/2006,71.24238945723602,0.0,0.05
10/26/2006,72.61165536528331,0.0,0.05
10/27/2006,72.28948577707753,0.0,0.05
10/30/2006,71.80621083046937,0.0,0.05
10/31/2006,72.16865622720768,0.0,0.05
11/01/2006,72.41028595873239,0.0,0.05
