TRP,TC Energy Corporation,
Date,Price,Annualized Dividend
05/23/1983,1.2523976564407346,0.0
05/23/1983,1.2523976564407349,0.0
05/24/1983,0.0,0.0
05/24/1983,1.2660101652145386,0.0
05/25/1983,0.0,0.0
05/25/1983,1.2728171348571777,0.0
05/26/1983,0.0,0.0
05/26/1983,1.28643000125885,0.0
05/27/1983,0.0,0.0
05/27/1983,1.2932369709014893,0.0
05/31/1983,0.0,0.0
05/31/1983,1.28643000125885,0.0
06/01/1983,0.0,0.0
06/01/1983,1.2796235084533691,0.0
06/02/1983,0.0,0.0
06/02/1983,1.3000431060791016,0.0
06/03/1983,0.0,0.0
06/03/1983,1.28643000125885,0.0
06/06/1983,0.0,0.0
06/06/1983,1.3000431060791016,0.0
06/07/1983,0.0,0.0
06/07/1983,1.306849718093872,0.0
06/08/1983,0.0,0.0
06/08/1983,1.2796235084533691,0.0
06/09/1983,0.0,0.0
06/09/1983,1.2932369709014893,0.0
06/10/1983,0.0,0.0
06/10/1983,1.28643000125885,0.0
06/13/1983,0.0,0.0
06/13/1983,1.2796235084533691,0.0
06/14/1983,0.0,0.0
06/14/1983,1.2728171348571777,0.0
06/15/1983,0.0,0.0
06/15/1983,1.2592041492462158,0.0
06/16/1983,0.0,0.0
06/16/1983,1.2660101652145386,0.0
06/17/1983,0.0,0.0
06/17/1983,1.2592041492462158,0.0
06/20/1983,0.0,0.0
06/20/1983,1.2592041492462158,0.0
06/21/1983,0.0,0.0
06/21/1983,1.2387847900390625,0.0
06/22/1983,1.2387847900390625,0.0
06/22/1983,1.2387847900390625,0.0
06/23/1983,0.0,0.0
06/23/1983,1.2387847900390625,0.0
06/24/1983,0.0,0.0
06/24/1983,1.2319777011871338,0.0
06/27/1983,0.0,0.0
06/27/1983,1.2183650732040405,0.0
06/28/1983,0.0,0.0
06/28/1983,1.2115578651428223,0.0
06/29/1983,0.0,0.0
06/29/1983,1.2047523260116577,0.0
06/30/1983,0.0,0.0
06/30/1983,1.2251710891723633,0.0
07/01/1983,1.2251710891723633,0.0
07/01/1983,1.2251710891723633,0.0
07/05/1983,0.0,0.0
07/05/1983,1.2183650732040405,0.0
07/06/1983,0.0,0.0
07/06/1983,1.2387847900390625,0.0
07/07/1983,0.0,0.0
07/07/1983,1.2592041492462158,0.0
07/08/1983,0.0,0.0
07/08/1983,1.2523976564407349,0.0
07/11/1983,0.0,0.0
07/11/1983,1.2455908060073853,0.0
