VNQ,Vanguard Real Estate ETF,
01/26/2015,68.44345703679043,2.9189999999999996
01/26/2015,68.92567443847656,2.9189999999999996
01/27/2015,68.75457870723412,2.9189999999999996
01/27/2015,68.94902038574219,2.9189999999999996
01/28/2015,69.08901119176852,2.9189999999999996
01/28/2015,68.49012756347656,2.9189999999999996
01/29/2015,68.80123546737238,2.9189999999999996
01/29/2015,68.73123931884766,2.9189999999999996
01/30/2015,68.60679386867459,2.9189999999999996
01/30/2015,67.31570434570312,2.9189999999999996
02/02/2015,67.3001252749868,2.9189999999999996
02/02/2015,67.13679504394531,2.9189999999999996
02/03/2015,67.14458535487738,2.9189999999999996
02/03/2015,67.72013092041016,2.9189999999999996
02/04/2015,67.56460055913017,2.9189999999999996
02/04/2015,67.44015502929688,2.9189999999999996
02/05/2015,67.6034756948126,2.9189999999999996
02/05/2015,68.2490234375,2.9189999999999996
02/06/2015,68.08570144780185,2.9189999999999996
02/06/2015,66.2657241821289,2.9189999999999996
02/09/2015,66.2034913090876,2.9189999999999996
02/09/2015,65.7990493774414,2.9189999999999996
02/10/2015,65.915721959414,2.9189999999999996
02/10/2015,66.0090560913086,2.9189999999999996
02/11/2015,66.1412738976669,2.9189999999999996
02/11/2015,65.81461334228516,2.9189999999999996
02/12/2015,65.970169579269,2.9189999999999996
02/12/2015,66.60015869140625,2.9189999999999996
02/13/2015,66.8101492056464,2.9189999999999996
02/13/2015,66.15682220458984,2.9189999999999996
02/17/2015,66.11014301271084,2.9189999999999996
02/17/2015,65.99347686767578,2.9189999999999996
02/18/2015,65.98572493129967,2.9189999999999996
02/18/2015,66.60794067382812,2.9189999999999996
02/19/2015,66.6468278978535,2.9189999999999996
02/19/2015,65.17684936523438,2.9189999999999996
02/20/2015,65.19239504444874,2.9189999999999996
02/20/2015,65.80683135986328,2.9189999999999996
02/23/2015,65.81460646277918,2.9189999999999996
02/23/2015,66.33570861816406,2.9189999999999996
02/24/2015,66.22683707769053,2.9189999999999996
02/24/2015,65.0290756225586,2.9189999999999996
02/25/2015,65.09906775803445,2.9189999999999996
02/25/2015,65.04462432861328,2.9189999999999996
02/26/2015,65.03683643003225,2.9189999999999996
02/26/2015,64.33684539794922,2.9189999999999996
02/27/2015,64.53909389761621,2.9189999999999996
02/27/2015,64.84242248535156,2.9189999999999996
03/02/2015,65.00572678212087,2.9189999999999996
03/02/2015,65.2157211303711,2.9189999999999996
03/03/2015,65.13017810742504,2.9189999999999996
03/03/2015,65.09129333496094,2.9189999999999996
03/04/2015,65.09129376640126,2.9189999999999996
03/04/2015,64.46907806396484,2.9189999999999996
03/05/2015,64.63242203400502,2.9189999999999996
03/05/2015,64.65575408935547,2.9189999999999996
03/06/2015,63.82355061083842,2.9189999999999996
03/06/2015,62.50912857055664,2.9189999999999996
03/09/2015,62.726881430809094,2.9189999999999996
03/09/2015,63.00687789916992,2.9189999999999996
03/10/2015,62.82018401285243,2.9189999999999996
03/10/2015,62.960182189941406,2.9189999999999996
03/11/2015,63.037994052599736,2.9189999999999996
03/11/2015,63.01465606689453,2.9189999999999996
03/12/2015,63.24799130672448,2.9189999999999996
03/12/2015,64.11131286621094,2.9189999999999996
03/13/2015,64.10352195966547,2.9189999999999996
03/13/2015,64.0724105834961,2.9189999999999996
03/16/2015,64.4301784632838,2.9189999999999996
03/16/2015,64.73351287841797,2.9189999999999996
03/17/2015,64.60907466276083,2.9189999999999996
03/17/2015,64.7101821899414,2.9189999999999996
03/18/2015,64.71795309587608,2.9189999999999996
03/18/2015,66.06349182128906,2.9189999999999996
03/19/2015,65.97017164867657,2.9189999999999996
03/19/2015,66.03239440917969,2.9189999999999996
03/20/2015,66.42126097752714,2.9189999999999996
03/20/2015,67.68901824951172,2.9189999999999996
03/23/2015,67.68903992541962,2.9189999999999996
03/23/2015,67.60348510742188,2.9189999999999996
03/24/2015,67.55680509165445,2.9189999999999996
03/24/2015,67.02792358398438,2.9189999999999996
03/25/2015,67.20163968001647,2.978
03/25/2015,65.87153625488281,2.978
03/26/2015,65.70720261230356,2.978
03/26/2015,65.5272445678711,2.978
03/27/2015,65.58203733358272,2.978
03/27/2015,65.61333465576172,2.978
03/30/2015,65.89498231124499,2.978
03/30/2015,66.55220794677734,2.978
03/31/2015,66.2549116939968,2.978
03/31/2015,65.96541595458984,2.978
04/01/2015,66.01237122678495,2.978
04/01/2015,65.87153625488281,2.978
04/02/2015,65.98888859800883,2.978
04/02/2015,66.37227630615234,2.978
04/06/2015,66.59133561893499,2.978
04/06/2015,67.06078338623047,2.978
04/07/2015,67.04512825369534,2.978
04/07/2015,65.87932586669922,2.978
04/08/2015,66.09058619016903,2.978
04/08/2015,65.98104858398438,2.978
04/09/2015,65.871535839749,2.978
04/09/2015,64.61184692382812,2.978
04/10/2015,64.94826800238705,2.978
04/10/2015,64.56488037109375,2.978
04/13/2015,64.54141603133436,2.978
04/13/2015,64.39276123046875,2.978
04/14/2015,64.53360687495898,2.978
04/14/2015,64.61966705322266,2.978
04/15/2015,64.87784378884342,2.978
04/15/2015,64.13455200195312,2.978
04/16/2015,64.01719638858418,2.978
04/16/2015,64.29886627197266,2.978
04/17/2015,64.04847648646087,2.978
04/17/2015,64.00153350830078,2.978
04/20/2015,64.25973488278521,2.978
04/20/2015,64.09542846679688,2.978
04/21/2015,64.26758885498465,2.978
04/21/2015,64.20499420166016,2.978
04/22/2015,64.22060351366979,2.978
04/22/2015,64.33796691894531,2.978
04/23/2015,64.33017207191969,2.978
04/23/2015,64.51012420654297,2.978
04/24/2015,64.58054805471936,2.978
04/24/2015,64.64314270019531,2.978
04/27/2015,64.69791046583173,2.978
04/27/2015,64.55707550048828,2.978
04/28/2015,64.49448704548016,2.978
04/28/2015,64.43189239501953,2.978
04/29/2015,63.813765312439074,2.978
04/29/2015,63.1330680847168,2.978
04/30/2015,62.88268059419614,2.978
04/30/2015,62.10808563232422,2.978
05/01/2015,62.17851948375466,2.978
05/01/2015,62.577552795410156,2.978
05/04/2015,62.78096782015087,2.978
05/04/2015,62.640132904052734,2.978
05/05/2015,62.608835189331415,2.978
05/05/2015,61.27873229980469,2.978
05/06/2015,61.30222718084072,2.978
05/06/2015,61.16139221191406,2.978
05/07/2015,61.247437782175005,2.978
05/07/2015,62.10027313232422,2.978
05/08/2015,62.71055926395984,2.978
05/08/2015,62.96875762939453,2.978
05/11/2015,62.726208376965054,2.978
05/11/2015,62.02203369140625,2.978
05/12/2015,61.560417670563204,2.978
05/12/2015,62.20982360839844,2.978
05/13/2015,62.59320359002976,2.978
05/13/2015,61.61518478393555,2.978
05/14/2015,61.9594360143004,2.978
05/14/2015,62.804439544677734,2.978
05/15/2015,63.06264040013402,2.978
05/15/2015,63.446022033691406,2.978
05/18/2015,63.23477622080752,2.978
05/18/2015,63.28171920776367,2.978
05/19/2015,62.96875898312132,2.978
05/19/2015,63.062644958496094,2.978
05/20/2015,63.14871993139833,2.978
05/20/2015,63.00788497924805,2.978
05/21/2015,63.070458498221434,2.978
05/21/2015,62.710548400878906,2.978
05/22/2015,62.4836672616342,2.978
05/22/2015,62.632328033447266,2.978
05/26/2015,62.5931796441921,2.978
05/26/2015,62.155029296875,2.978
05/27/2015,62.38976565582818,2.978
05/27/2015,62.76532745361328,2.978
05/28/2015,62.72619901774336,2.978
05/28/2015,62.640132904052734,2.978
05/29/2015,62.538423276942844,2.978
05/29/2015,61.92031478881836,2.978
06/01/2015,62.11592055160009,2.978
06/01/2015,62.67926025390625,2.978
06/02/2015,62.40541446759588,2.978
06/02/2015,62.10027313232422,2.978
06/03/2015,61.92815247599017,2.978
06/03/2015,61.20833206176758,2.978
06/04/2015,61.14572644655989,2.978
06/04/2015,61.09095764160156,2.978
06/05/2015,60.28507214862884,2.978
06/05/2015,60.410255432128906,2.978
06/08/2015,60.402435830942274,2.978
06/08/2015,60.300724029541016,2.978
06/09/2015,60.10512227976563,2.978
06/09/2015,59.86257553100586,2.978
06/10/2015,59.831274023740754,2.978
06/10/2015,60.28507614135742,2.978
06/11/2015,60.73106305903638,2.978
06/11/2015,60.65281677246094,2.978
06/12/2015,60.433727486148435,2.978
06/12/2015,60.5980339050293,2.978
06/15/2015,60.543276149322246,2.978
06/15/2015,60.269432067871094,2.978
06/16/2015,60.32419360534869,2.978
06/16/2015,60.75452423095703,2.978
06/17/2015,60.801453042881654,2.978
06/17/2015,61.27090072631836,2.978
06/18/2015,61.310042125451346,2.978
06/18/2015,62.115928649902344,2.978
06/19/2015,62.155061107245444,2.978
06/19/2015,61.63866424560547,2.978
06/22/2015,61.63864074360989,2.978
06/22/2015,61.004886627197266,2.978
06/23/2015,60.754528655398744,2.978
06/23/2015,60.49633026123047,2.978
06/24/2015,60.51979751859726,2.978
06/24/2015,60.1677131652832,2.978
06/25/2015,60.24594944012855,2.978
06/25/2015,59.55742645263672,2.978
06/26/2015,59.51159549778442,3.045
06/26/2015,59.98579025268555,3.045
06/29/2015,59.764490996165954,3.045
06/29/2015,59.05319595336914,3.045
06/30/2015,59.377238677605064,3.045
06/30/2015,59.02949905395508,3.045
07/01/2015,58.78448710805415,3.045
07/01/2015,60.001590728759766,3.045
07/02/2015,60.42836938276076,3.045
07/02/2015,60.151756286621094,3.045
07/06/2015,59.85143355609771,3.045
07/06/2015,60.53110885620117,3.045
07/07/2015,60.8551449276002,3.045
07/07/2015,61.4795036315918,3.045
07/08/2015,61.14756960725067,3.045
07/08/2015,61.24240493774414,3.045
07/09/2015,61.39256259877422,3.045
07/09/2015,60.949981689453125,3.045
07/10/2015,61.20288722986497,3.045
07/10/2015,61.45579147338867,3.045
07/13/2015,61.50322112283975,3.045
07/13/2015,61.54273986816406,3.045
07/14/2015,61.645488244103085,3.045
07/14/2015,61.66919708251953,3.045
07/15/2015,61.51112526489735,3.045
07/15/2015,61.771934509277344,3.045
07/16/2015,61.87465415500637,3.045
07/16/2015,62.26981735229492,3.045
07/17/2015,62.23030228342607,3.045
07/17/2015,62.04853057861328,3.045
07/20/2015,61.89836517556137,3.045
07/20/2015,62.11965560913086,3.045
