SIX,Six Flags Entertainment Corpora,
Date,Price,Annualized Dividend
04/05/2011,10.98,0.12
04/06/2011,11.03,0.12
04/06/2011,10.95,0.12
04/07/2011,10.97,0.12
04/07/2011,11.03,0.12
04/08/2011,11.09,0.12
04/08/2011,10.87,0.12
04/11/2011,10.86,0.12
04/11/2011,10.59,0.12
04/12/2011,10.53,0.12
04/12/2011,10.35,0.12
04/13/2011,10.34,0.12
04/13/2011,10.34,0.12
04/14/2011,10.31,0.12
04/14/2011,10.41,0.12
04/15/2011,10.43,0.12
04/15/2011,10.68,0.12
04/18/2011,10.62,0.12
04/18/2011,10.61,0.12
04/19/2011,10.58,0.12
04/19/2011,10.29,0.12
04/20/2011,10.35,0.12
04/20/2011,10.53,0.12
04/21/2011,10.55,0.12
04/21/2011,10.68,0.12
04/25/2011,10.71,0.12
04/25/2011,10.66,0.12
04/26/2011,10.66,0.12
04/26/2011,10.65,0.12
04/27/2011,10.6,0.12
04/27/2011,10.63,0.12
04/28/2011,10.65,0.12
04/28/2011,10.39,0.12
04/29/2011,10.38,0.12
04/29/2011,10.38,0.12
05/02/2011,10.39,0.12
05/02/2011,10.73,0.12
05/03/2011,10.56,0.12
05/03/2011,10.63,0.12
05/04/2011,10.76,0.12
05/04/2011,10.95,0.12
05/05/2011,11.0,0.12
05/05/2011,11.18,0.12
05/06/2011,11.23,0.12
05/06/2011,11.42,0.12
05/09/2011,11.46,0.12
05/09/2011,11.54,0.12
05/10/2011,11.52,0.12
05/10/2011,11.65,0.12
05/11/2011,11.78,0.12
05/11/2011,11.72,0.12
05/12/2011,11.64,0.12
05/12/2011,11.72,0.12
05/13/2011,11.74,0.12
05/13/2011,11.74,0.12
05/16/2011,11.73,0.12
05/16/2011,11.61,0.12
05/17/2011,11.54,0.12
05/17/2011,11.88,0.12
05/18/2011,11.95,0.12
05/18/2011,11.54,0.12
05/19/2011,11.67,0.12
05/19/2011,11.51,0.12
05/20/2011,11.5,0.12
05/20/2011,11.55,0.12
05/23/2011,11.45,0.12
05/23/2011,11.37,0.12
05/24/2011,11.5,0.12
05/24/2011,11.22,0.12
05/25/2011,11.28,0.12
05/25/2011,11.21,0.12
05/26/2011,11.25,0.18
05/26/2011,11.33,0.18
05/27/2011,11.33,0.18
05/27/2011,11.63,0.18
05/31/2011,11.7,0.18
05/31/2011,12.11,0.18
06/01/2011,12.1,0.18
06/01/2011,11.91,0.18
06/02/2011,11.9,0.18
06/02/2011,11.96,0.18
06/03/2011,11.87,0.18
06/03/2011,11.78,0.18
06/06/2011,11.72,0.18
06/06/2011,11.5,0.18
06/07/2011,11.54,0.18
06/07/2011,11.4,0.18
06/08/2011,11.41,0.18
06/08/2011,11.32,0.18
06/09/2011,11.37,0.18
06/09/2011,11.34,0.18
06/10/2011,11.33,0.18
06/10/2011,11.17,0.18
06/13/2011,11.22,0.18
06/13/2011,10.92,0.18
06/14/2011,11.04,0.18
06/14/2011,11.06,0.18
06/15/2011,11.0,0.18
06/15/2011,10.92,0.18
06/16/2011,10.93,0.18
06/16/2011,10.96,0.18
06/17/2011,11.01,0.18
06/17/2011,11.08,0.18
06/20/2011,11.06,0.18
06/20/2011,11.22,0.18
06/21/2011,11.25,0.18
06/21/2011,11.34,0.18
06/22/2011,11.29,0.18
06/22/2011,11.35,0.18
06/23/2011,11.27,0.18
06/23/2011,11.29,0.18
06/24/2011,11.3,0.18
06/24/2011,11.18,0.18
06/27/2011,11.22,0.18
06/27/2011,11.07,0.18
06/28/2011,11.07,0.18
06/28/2011,11.5,0.18
06/29/2011,11.59,0.18
06/29/2011,11.44,0.18
06/30/2011,11.44,0.18
06/30/2011,11.38,0.18
07/01/2011,11.37,0.18
07/01/2011,11.68,0.18
07/05/2011,11.71,0.18
07/05/2011,11.85,0.18
07/06/2011,11.84,0.18
07/06/2011,11.85,0.18
07/07/2011,11.92,0.18
07/07/2011,12.06,0.18
07/08/2011,11.93,0.18
07/08/2011,11.84,0.18
07/11/2011,11.75,0.18
07/11/2011,11.32,0.18
07/12/2011,11.32,0.18
07/12/2011,11.11,0.18
07/13/2011,11.18,0.18
07/13/2011,11.1,0.18
07/14/2011,11.11,0.18
07/14/2011,10.77,0.18
07/15/2011,10.8,0.18
07/15/2011,10.64,0.18
07/18/2011,10.59,0.18
07/18/2011,10.63,0.18
07/19/2011,10.69,0.18
07/19/2011,10.8,0.18
07/20/2011,10.81,0.18
07/20/2011,10.78,0.18
07/21/2011,10.83,0.18
07/21/2011,10.89,0.18
07/22/2011,10.88,0.18
07/22/2011,10.77,0.18
07/25/2011,10.95,0.18
07/25/2011,11.07,0.18
07/26/2011,10.94,0.18
07/26/2011,11.21,0.18
07/27/2011,11.14,0.18
07/27/2011,10.94,0.18
07/28/2011,10.9,0.18
07/28/2011,10.68,0.18
07/29/2011,10.67,0.18
07/29/2011,10.7,0.18
08/01/2011,10.79,0.18
08/01/2011,10.6,0.18
08/02/2011,10.55,0.18
08/02/2011,10.19,0.18
08/03/2011,10.18,0.18
08/03/2011,10.21,0.18
08/04/2011,10.1,0.18
08/04/2011,9.74,0.18
08/05/2011,9.84,0.18
08/05/2011,9.59,0.18
08/08/2011,9.27,0.18
08/08/2011,9.11,0.18
08/09/2011,9.29,0.18
08/09/2011,9.83,0.18
08/10/2011,9.64,0.18
08/10/2011,9.5,0.18
08/11/2011,9.57,0.18
08/11/2011,9.96,0.18
08/12/2011,10.06,0.18
08/12/2011,9.91,0.18
08/15/2011,10.1,0.18
08/15/2011,9.99,0.18
08/16/2011,9.91,0.18
08/16/2011,9.72,0.18
08/17/2011,9.79,0.18
08/17/2011,9.66,0.18
08/18/2011,9.5,0.18
08/18/2011,9.39,0.18
08/19/2011,9.39,0.18
08/19/2011,9.42,0.18
08/22/2011,9.64,0.18
08/22/2011,9.38,0.18
08/23/2011,9.37,0.18
08/23/2011,9.84,0.18
08/24/2011,9.8,0.18
08/24/2011,10.22,0.18
08/25/2011,10.28,0.18
08/25/2011,10.24,0.18
08/26/2011,10.16,0.18
08/26/2011,10.26,0.18
08/29/2011,10.37,0.18
08/29/2011,10.33,0.18
08/30/2011,10.22,0.18
08/30/2011,10.32,0.18
08/31/2011,10.38,0.18
08/31/2011,10.2,0.18
09/01/2011,10.2,0.24
09/01/2011,9.89,0.24
09/02/2011,9.63,0.24
09/02/2011,9.64,0.24
09/06/2011,9.39,0.24
09/06/2011,9.18,0.24
09/07/2011,9.24,0.24
09/07/2011,9.76,0.24
09/08/2011,9.74,0.24
09/08/2011,9.55,0.24
09/09/2011,9.42,0.24
09/09/2011,9.37,0.24
09/12/2011,9.24,0.24
