FSKR,FS KKR Capital Corp. II,
Date,Price,Annualized Dividend
10/05/2020,14.304788589477539,0.55
10/06/2020,14.32317446431989,0.55
10/06/2020,14.249628067016602,0.55
10/07/2020,14.332368866252224,0.55
10/07/2020,14.479461669921875,0.55
10/08/2020,14.562201206049306,0.55
10/08/2020,14.433494567871094,0.55
10/09/2020,14.451881872989258,0.55
10/09/2020,14.341562271118164,0.55
10/12/2020,14.295594268626385,0.55
10/12/2020,14.06576156616211,0.55
10/13/2020,13.927862549834552,0.55
10/13/2020,13.97382926940918,0.55
10/14/2020,13.973829051728936,0.55
10/14/2020,13.845123291015625,0.55
10/15/2020,13.863509668475427,0.55
10/15/2020,13.97382926940918,0.55
10/16/2020,13.983022513340137,0.55
10/16/2020,14.148502349853516,0.55
10/19/2020,14.185275929170654,0.55
10/19/2020,13.964635848999023,0.55
10/20/2020,13.973828775193676,0.55
10/20/2020,13.863509178161621,0.55
10/21/2020,13.946249008178713,0.55
10/21/2020,13.946249008178711,0.55
10/22/2020,13.946249381260877,0.55
10/22/2020,13.918669700622559,0.55
10/23/2020,13.973829170620952,0.55
10/23/2020,13.983022689819336,0.55
10/26/2020,13.891088923209503,0.55
10/26/2020,13.633676528930664,0.55
10/27/2020,13.587710264100833,0.55
10/27/2020,13.449810981750488,0.55
10/28/2020,13.192398191788705,0.55
10/28/2020,13.330297470092773,0.55
10/29/2020,13.3027173473403,0.55
10/29/2020,13.51416301727295,0.55
10/30/2020,13.514163378422445,0.55
10/30/2020,13.413037300109863,0.55
11/02/2020,13.385458289577285,0.55
11/02/2020,13.357877731323242,0.55
11/03/2020,13.569323338587456,0.55
11/03/2020,13.43142318725586,0.55
11/04/2020,13.357876706130469,0.55
11/04/2020,13.51416301727295,0.55
11/05/2020,13.477390202045711,0.55
11/05/2020,13.56013011932373,0.55
11/06/2020,13.50497006855606,0.55
11/06/2020,13.468196868896484,0.55
11/09/2020,13.670449060652576,0.55
11/09/2020,13.688836097717285,0.55
11/10/2020,13.606097830098559,0.55
11/10/2020,14.001409530639648,0.55
11/11/2020,13.973829566698106,0.55
11/11/2020,14.176082611083984,0.55
11/12/2020,14.0841477113973,0.55
11/12/2020,13.992215156555176,0.55
11/13/2020,14.056569198285368,0.55
11/13/2020,14.047375679016113,0.55
11/16/2020,14.268016339871538,0.55
11/16/2020,14.001409530639648,0.55
11/17/2020,13.909475689016588,0.55
11/17/2020,14.405914306640625,0.55
11/18/2020,14.433494348961453,0.55
11/18/2020,14.304788589477539,0.55
11/19/2020,14.341561382038435,0.55
11/19/2020,14.709293365478516,0.55
11/20/2020,14.700100486657053,0.55
11/20/2020,14.433494567871094,0.55
11/23/2020,14.553007980581642,0.55
11/23/2020,14.562201499938965,0.55
11/24/2020,14.755260766966423,0.55
11/24/2020,15.407986640930176,0.55
11/25/2020,15.545884966118079,0.55
11/25/2020,16.15264320373535,0.55
11/27/2020,16.31812294218184,0.55
11/27/2020,16.161836624145508,0.55
11/30/2020,16.152641945989142,0.55
11/30/2020,15.656204223632812,0.55
12/01/2020,15.711365532827122,0.55
12/01/2020,16.097484588623047,0.55
12/02/2020,16.207801328535364,0.55
12/02/2020,16.253768920898438,0.55
12/03/2020,16.226190116001288,0.55
12/03/2020,16.713436126708984,0.55
12/04/2020,16.75020752965044,0.55
12/04/2020,16.93407440185547,0.55
12/07/2020,16.943268924676307,0.55
12/07/2020,16.410057067871094,0.55
12/08/2020,16.437633766183566,0.55
