NLY,Annaly Capital Management Inc,
Date,Price,Dividend,Annualized Dividend
08/19/1998,0.5710200667381287,0.0,0.8600000000000001
08/20/1998,0.5710200996541266,0.0,0.8600000000000001
08/21/1998,0.575346052646637,0.0,0.8600000000000001
08/24/1998,0.5666942596435547,0.0,0.8600000000000001
08/25/1998,0.5666942596435547,0.0,0.8600000000000001
08/26/1998,0.5623684823513031,0.0,0.8600000000000001
08/27/1998,0.5450646425115652,0.0,0.8600000000000001
08/28/1998,0.5104575166936781,0.0,0.8600000000000001
08/31/1998,0.5234350932055506,0.0,0.8600000000000001
09/01/1998,0.5018055306540595,0.0,0.8600000000000001
09/02/1998,0.5320870093369888,0.0,0.8600000000000001
09/03/1998,0.5104576807755691,0.0,0.8600000000000001
09/04/1998,0.5061314436567932,0.0,0.8600000000000001
09/08/1998,0.5234350827561707,0.0,0.8600000000000001
09/09/1998,0.5191092491149902,0.0,0.8600000000000001
09/10/1998,0.5191093239902465,0.0,0.8600000000000001
09/11/1998,0.5147834129569945,0.0,0.8600000000000001
09/14/1998,0.5191092406000409,0.0,0.8600000000000001
09/15/1998,0.48450195998476264,0.0,0.8600000000000001
09/16/1998,0.49315364434655784,0.0,0.8600000000000001
09/17/1998,0.4845019578933716,0.0,0.8600000000000001
09/18/1998,0.4845019044547246,0.0,0.8600000000000001
09/21/1998,0.506131605535257,0.0,0.8600000000000001
09/22/1998,0.5191093683242798,0.0,0.8600000000000001
09/23/1998,0.5623682475451267,0.0,0.8600000000000001
09/24/1998,0.5710200667381287,0.0,0.8600000000000001
09/25/1998,0.5623682475451267,0.0,0.8600000000000001
09/28/1998,0.5796720692340065,0.0,0.8600000000000001
09/29/1998,0.5883237831574634,0.0,0.8600000000000001
09/30/1998,0.5623680353164673,0.0,0.8600000000000001
10/01/1998,0.5682749492116272,0.27,1.1300000000000001
10/02/1998,0.5593257374130189,0.0,1.1300000000000001
10/05/1998,0.5638002615708572,0.0,1.1300000000000001
10/06/1998,0.5190542312937045,0.0,1.1300000000000001
10/07/1998,0.49220659864058186,0.0,1.1300000000000001
10/08/1998,0.46535884056772503,0.0,1.1300000000000001
10/09/1998,0.5011556859602008,0.0,1.1300000000000001
10/12/1998,0.5101049744476707,0.0,1.1300000000000001
10/13/1998,0.5369525325709376,0.0,1.1300000000000001
10/14/1998,0.5056302666664124,0.0,1.1300000000000001
10/15/1998,0.5056304350495339,0.0,1.1300000000000001
10/16/1998,0.5324778799119034,0.0,1.1300000000000001
10/19/1998,0.5548509487435838,0.0,1.1300000000000001
10/20/1998,0.5503765174320766,0.0,1.1300000000000001
10/21/1998,0.5369525310421778,0.0,1.1300000000000001
10/22/1998,0.5503762170325878,0.0,1.1300000000000001
10/23/1998,0.57722399188922,0.0,1.1300000000000001
10/26/1998,0.5816985132130048,0.0,1.1300000000000001
10/27/1998,0.57722399188922,0.0,1.1300000000000001
10/28/1998,0.5727495809239666,0.0,1.1300000000000001
10/29/1998,0.5638001804351807,0.0,1.1300000000000001
10/30/1998,0.5503763443182322,0.0,1.1300000000000001
11/02/1998,0.5459015076122586,0.0,1.1300000000000001
11/03/1998,0.5638002657121228,0.0,1.1300000000000001
11/04/1998,0.5548509712219238,0.0,1.1300000000000001
11/05/1998,0.5682749492116272,0.0,1.1300000000000001
11/06/1998,0.568274782712643,0.0,1.1300000000000001
11/09/1998,0.5861732466776568,0.0,1.1300000000000001
11/10/1998,0.6040715087543834,0.0,1.1300000000000001
11/11/1998,0.5906476974487305,0.0,1.1300000000000001
11/12/1998,0.5861730441566586,0.0,1.1300000000000001
11/13/1998,0.5727493873009315,0.0,1.1300000000000001
11/16/1998,0.5727494318682448,0.0,1.1300000000000001
11/17/1998,0.6040715798735619,0.0,1.1300000000000001
11/18/1998,0.6264447912256769,0.0,1.1300000000000001
11/19/1998,0.6353939771652222,0.0,1.1300000000000001
11/20/1998,0.6309193716922276,0.0,1.1300000000000001
11/23/1998,0.6353939118208708,0.0,1.1300000000000001
11/24/1998,0.6085459802534197,0.0,1.1300000000000001
11/25/1998,0.6353937259742192,0.0,1.1300000000000001
11/27/1998,0.6174955799224529,0.0,1.1300000000000001
