FSK,FS KKR Capital Corp.,
Date,Price,Dividend,Annualized Dividend
09/23/2014,19.105141594070542,0.0,2.176
09/24/2014,19.196560860646308,0.0,2.176
09/25/2014,19.324535514134016,0.0,2.176
09/26/2014,19.15998847542961,0.0,2.176
09/29/2014,19.30625048327699,0.0,2.176
09/30/2014,19.63533507831427,0.0,2.176
10/01/2014,19.598772019165185,0.0,2.176
10/02/2014,19.379383015720748,0.0,2.176
10/03/2014,19.470792857275125,0.0,2.176
10/06/2014,19.214834129103,0.0,2.176
10/07/2014,19.123422621961097,0.0,2.176
10/08/2014,19.05029965423951,0.0,2.176
10/09/2014,19.178271352816434,0.0,2.176
10/10/2014,18.885755572144664,0.0,2.176
10/13/2014,18.50182342529297,0.0,2.176
10/14/2014,18.59322921814739,0.0,2.176
10/15/2014,18.55666649760907,0.0,2.176
10/16/2014,18.428690936487815,0.0,2.176
