T,AT&T Inc.,
Date,Price,Annualized Dividend
01/26/1984,0.36096346378326416,0.0
01/27/1984,0.36096324240138405,0.0
01/27/1984,0.3602412939071655,0.0
01/30/1984,0.36024143972101563,0.0
01/30/1984,0.36601686477661133,0.0
01/31/1984,0.36601695487082825,0.0
01/31/1984,0.36312925815582275,0.0
02/01/1984,0.36312924449986933,0.0
02/01/1984,0.36096346378326416,0.0
02/02/1984,0.3609634200626648,0.0
02/02/1984,0.3587976396083832,0.0
02/03/1984,0.3587975957471437,0.0
02/03/1984,0.35951951146125793,0.0
02/06/1984,0.3595196793380468,0.0
02/06/1984,0.3559100329875946,0.0
02/07/1984,0.355909972125755,0.0
02/07/1984,0.35446614027023315,0.0
02/08/1984,0.3544663517355378,0.0
02/08/1984,0.3530224859714508,0.0
02/09/1984,0.35157831078887514,0.0
02/09/1984,0.34652483463287354,0.0
02/10/1984,0.346524925998861,0.0
02/10/1984,0.34508106112480164,0.0
02/13/1984,0.34508090875071057,0.0
02/13/1984,0.3523001968860626,0.0
02/14/1984,0.35230035943975757,0.0
02/14/1984,0.35446614027023315,0.0
02/15/1984,0.3544663517355378,0.0
02/15/1984,0.3530224859714508,0.0
02/16/1984,0.35302212973562175,0.0
02/16/1984,0.3515782654285431,0.0
02/17/1984,0.35157834086467904,0.0
02/17/1984,0.34941256046295166,0.0
02/21/1984,0.34941256046295166,0.0
02/21/1984,0.34941256046295166,0.0
02/22/1984,0.3494126774868265,0.0
02/22/1984,0.3508565425872803,0.0
02/23/1984,0.34941248456033985,0.0
02/23/1984,0.3458028733730316,0.0
02/24/1984,0.34580279886040877,0.0
02/24/1984,0.34363701939582825,0.0
02/27/1984,0.34363722929793455,0.0
02/27/1984,0.34508106112480164,0.0
02/28/1984,0.34508118201892435,0.0
02/28/1984,0.34219348430633545,0.0
02/29/1984,0.3421933190740183,0.0
02/29/1984,0.34724679589271545,0.0
03/01/1984,0.3472466612150087,0.0
03/01/1984,0.3537440001964569,0.0
03/02/1984,0.35374423974099045,0.0
03/02/1984,0.3508565425872803,0.0
03/05/1984,0.3501347176570566,0.0
03/05/1984,0.3479689359664917,0.0
03/06/1984,0.34796869912623835,0.0
03/06/1984,0.34652483463287354,0.0
03/07/1984,0.3458031312324744,0.0
03/07/1984,0.34219348430633545,0.0
03/08/1984,0.34219327419996265,0.0
03/08/1984,0.34652483463287354,0.0
03/09/1984,0.3458029346216052,0.0
03/09/1984,0.34435907006263733,0.0
03/12/1984,0.34435926585257803,0.0
03/12/1984,0.34219348430633545,0.0
03/13/1984,0.34219315540371725,0.0
03/13/1984,0.34363701939582825,0.0
03/14/1984,0.34363715430674585,0.0
03/14/1984,0.34435907006263733,0.0
