KREF,KKR Real Estate Finance Trust I,
Date,Price,Dividend,Annualized Dividend
02/12/2018,13.518980983199805,0.0,0.99
02/13/2018,13.475765183905057,0.0,0.99
02/14/2018,13.835889584282201,0.0,0.99
02/15/2018,14.066366155179766,0.0,0.99
02/16/2018,14.044757649198532,0.0,0.99
02/20/2018,14.181607052883278,0.0,0.99
02/21/2018,14.073570132294389,0.0,0.99
02/22/2018,14.008744927171934,0.0,0.99
02/23/2018,14.196010626968851,0.0,0.99
02/26/2018,14.18160415276344,0.0,0.99
02/27/2018,14.361669280906712,0.0,0.99
02/28/2018,14.239227566931504,0.0,0.99
03/01/2018,14.28964120454546,0.0,0.99
03/02/2018,13.864697295743657,0.0,0.99
03/05/2018,13.922316117306545,0.0,0.99
03/06/2018,14.203210592657564,0.0,0.99
03/07/2018,14.210412744991507,0.0,0.99
03/08/2018,14.318450844087488,0.0,0.99
03/09/2018,14.311250061237129,0.0,0.99
03/12/2018,14.584941907138239,0.0,0.99
03/13/2018,14.692979694985034,0.0,0.99
03/14/2018,14.635360336961192,0.0,0.99
03/15/2018,14.70738311554364,0.0,0.99
03/16/2018,14.692980682538607,0.0,0.99
03/19/2018,14.822624168322337,0.0,0.99
03/20/2018,14.801015892547522,0.0,0.99
03/21/2018,14.72898975649124,0.0,0.99
03/22/2018,14.505715826257228,0.0,0.99
03/23/2018,14.52012017160446,0.0,0.99
03/26/2018,14.419288634638443,0.0,0.99
03/27/2018,14.556131402948992,0.0,0.99
03/28/2018,14.607276161601277,0.4,1.3900000000000001
03/29/2018,14.879140567794693,0.0,1.3900000000000001
04/02/2018,14.739533134913243,0.0,1.3900000000000001
04/03/2018,14.585230746406214,0.0,1.3900000000000001
04/04/2018,14.695449275125938,0.0,1.3900000000000001
04/05/2018,14.658711433410645,0.0,1.3900000000000001
04/06/2018,14.607277250796688,0.0,1.3900000000000001
04/09/2018,14.680753660820445,0.0,1.3900000000000001
04/10/2018,14.695448202104046,0.0,1.3900000000000001
04/11/2018,14.688102055847953,0.0,1.3900000000000001
04/12/2018,14.739535349280978,0.0,1.3900000000000001
04/13/2018,14.577881331297737,0.0,1.3900000000000001
04/16/2018,14.644016171407685,0.0,1.3900000000000001
04/17/2018,14.548492658054721,0.0,1.3900000000000001
04/18/2018,14.644017632522472,0.0,1.3900000000000001
04/19/2018,14.533799837627765,0.0,1.3900000000000001
04/20/2018,14.607275462177366,0.0,1.3900000000000001
04/23/2018,14.577887078417989,0.0,1.3900000000000001
04/24/2018,14.710143986658267,0.0,1.3900000000000001
04/25/2018,14.651361744921534,0.0,1.3900000000000001
04/26/2018,14.658711330614405,0.0,1.3900000000000001
04/27/2018,14.563190177364874,0.0,1.3900000000000001
04/30/2018,14.607274106213136,0.0,1.3900000000000001
05/01/2018,14.452974586808683,0.0,1.3900000000000001
05/02/2018,14.563190460205078,0.0,1.3900000000000001
05/03/2018,14.607274392778427,0.0,1.3900000000000001
05/04/2018,14.585232509757093,0.0,1.3900000000000001
05/07/2018,14.702797389489502,0.0,1.3900000000000001
05/08/2018,14.621973037719727,0.0,1.3900000000000001
05/09/2018,14.621971682346487,0.0,1.3900000000000001
05/10/2018,14.754230218359664,0.0,1.3900000000000001
05/11/2018,14.835056186588545,0.0,1.3900000000000001
05/14/2018,14.915880308007514,0.0,1.3900000000000001
05/15/2018,15.004052332897286,0.0,1.3900000000000001
05/16/2018,14.915881402705471,0.0,1.3900000000000001
05/17/2018,14.754231784119698,0.0,1.3900000000000001
05/18/2018,14.790970683617891,0.0,1.3900000000000001
05/21/2018,14.886491203029246,0.0,1.3900000000000001
05/22/2018,14.923229806996291,0.0,1.3900000000000001
05/23/2018,15.004057096705113,0.0,1.3900000000000001
05/24/2018,14.989357666421544,0.0,1.3900000000000001
05/25/2018,15.01874935127346,0.0,1.3900000000000001
05/29/2018,14.974661994979684,0.0,1.3900000000000001
05/30/2018,14.98935457638446,0.0,1.3900000000000001
05/31/2018,14.996705506950335,0.0,1.3900000000000001
06/01/2018,14.967313876506292,0.0,1.3900000000000001
06/04/2018,14.915878801722618,0.0,1.3900000000000001
06/05/2018,14.901183066380401,0.0,1.3900000000000001
06/06/2018,14.842402517045969,0.0,1.3900000000000001
06/07/2018,14.974661154837174,0.0,1.3900000000000001
06/08/2018,14.893837142434295,0.0,1.3900000000000001
06/11/2018,14.930575202484045,0.0,1.3900000000000001
06/12/2018,14.923230919157959,0.0,1.3900000000000001
06/13/2018,14.84240436553955,0.0,1.3900000000000001
06/14/2018,14.87914202773744,0.0,1.3900000000000001
06/15/2018,14.952620869111229,0.0,1.3900000000000001
06/18/2018,14.776273278850962,0.0,1.3900000000000001
