BCE,"BCE, Inc.",
Date,Price,Dividend,Annualized Dividend
03/12/1984,0.43542617559432983,0.0,0.0
03/13/1984,0.43542626344096597,0.0,0.0
03/14/1984,0.4309140741825104,0.0,0.0
03/15/1984,0.4286577105522156,0.0,0.0
03/16/1984,0.4309140741825104,0.0,0.0
03/19/1984,0.4309138674288988,0.0,0.0
03/20/1984,0.43317016881173814,0.0,0.0
03/21/1984,0.4309138037656483,0.0,0.0
03/22/1984,0.4286577105522156,0.0,0.0
03/23/1984,0.4286579158216874,0.0,0.0
03/26/1984,0.4196335955158524,0.0,0.0
03/27/1984,0.4151214063167572,0.0,0.0
03/28/1984,0.4151213774809966,0.0,0.0
03/29/1984,0.4173774719238281,0.0,0.0
03/30/1984,0.4173772357484346,0.0,0.0
04/02/1984,0.41963332891464233,0.0,0.0
04/03/1984,0.41963332891464233,0.0,0.0
04/04/1984,0.4196335663666596,0.0,0.0
04/05/1984,0.4173773494574542,0.0,0.0
04/06/1984,0.41286507036004744,0.0,0.0
04/09/1984,0.4106090681149009,0.0,0.0
04/10/1984,0.4128650494160191,0.0,0.0
04/11/1984,0.4173774719238281,0.0,0.0
04/12/1984,0.4173774719238281,0.0,0.0
04/13/1984,0.4173775009163048,0.0,0.0
04/16/1984,0.4151214063167572,0.0,0.0
04/17/1984,0.4151214063167572,0.0,0.0
04/18/1984,0.4151213774809966,0.0,0.0
04/19/1984,0.4173772357484346,0.0,0.0
04/23/1984,0.41963332891464233,0.0,0.0
04/24/1984,0.4196333376984847,0.0,0.0
04/25/1984,0.4286577083446361,0.0,0.0
04/26/1984,0.4264016803354025,0.0,0.0
04/27/1984,0.433169960975647,0.0,0.0
04/30/1984,0.43317016881173814,0.0,0.0
05/01/1984,0.4309138037656483,0.0,0.0
05/02/1984,0.42865777388215065,0.0,0.0
05/03/1984,0.435426089549676,0.0,0.0
05/04/1984,0.4399381854484991,0.0,0.0
05/07/1984,0.4376820921897888,0.0,0.0
05/08/1984,0.43768226976839375,0.0,0.0
05/09/1984,0.43542605452239513,0.0,0.0
05/10/1984,0.433169960975647,0.0,0.0
05/11/1984,0.433169960975647,0.0,0.0
05/14/1984,0.43091395069310007,0.0,0.0
05/15/1984,0.4241455219410084,0.0,0.0
05/16/1984,0.42640161514282227,0.0,0.0
05/17/1984,0.42640161514282227,0.0,0.0
05/18/1984,0.42640161514282227,0.0,0.0
05/21/1984,0.42640161514282227,0.0,0.0
05/22/1984,0.42640160841326563,0.0,0.0
05/23/1984,0.4196335663666596,0.0,0.0
05/24/1984,0.4151214063167572,0.0,0.0
05/25/1984,0.4106092130005693,0.0,0.0
05/29/1984,0.40609690695177786,0.0,0.0
05/30/1984,0.40835288379873547,0.0,0.0
05/31/1984,0.4106090948067976,0.0,0.0
06/01/1984,0.40835297433404977,0.0,0.0
06/04/1984,0.4151213500588973,0.0,0.0
06/05/1984,0.42188963294029236,0.0,0.0
06/06/1984,0.4218895747623545,0.0,0.0
06/07/1984,0.42414551524705785,0.0,0.0
06/08/1984,0.41963332891464233,0.0,0.0
06/11/1984,0.4128651887343075,0.0,0.0
06/12/1984,0.40835297433404977,0.0,0.0
06/13/1984,0.41286516189575195,0.0,0.0
06/14/1984,0.41286516189575195,0.0,0.0
06/15/1984,0.41286507036004744,0.0,0.0
06/18/1984,0.410609217117662,0.0,0.0
06/19/1984,0.4151214063167572,0.0,0.0
06/20/1984,0.4151213774809966,0.0,0.0
06/21/1984,0.4173773867969818,0.0,0.0
06/22/1984,0.4241456687450409,0.0,0.0
06/25/1984,0.4241457272340907,0.0,0.0
06/26/1984,0.4218894220808501,0.0,0.0
06/27/1984,0.4196335663666596,0.0,0.0
