BEP,Brookfield Renewable Partners L,
Date,Price,Dividend,Annualized Dividend
07/30/2007,6.332101345062256,0.0,0.0
07/31/2007,6.335438251495361,0.0,0.0
08/01/2007,6.295381546020508,0.0,0.0
08/02/2007,6.285368919372559,0.0,0.0
08/03/2007,6.231961250305176,0.0,0.0
08/06/2007,6.231961250305176,0.0,0.0
08/07/2007,6.161863327026367,0.0,0.0
08/08/2007,6.1919050216674805,0.0,0.0
08/09/2007,6.0784149169921875,0.0,0.0
08/10/2007,6.025007247924805,0.0,0.0
08/13/2007,6.041699409484863,0.0,0.0
08/14/2007,5.954909801483154,0.0,0.0
08/15/2007,6.008319854736328,0.0,0.0
08/16/2007,6.01499605178833,0.0,0.0
08/17/2007,6.01499605178833,0.0,0.0
08/20/2007,6.125144958496094,0.0,0.0
08/21/2007,6.138500213623047,0.0,0.0
08/22/2007,6.041699409484863,0.0,0.0
08/23/2007,6.131824016571045,0.0,0.0
08/24/2007,6.131824016571045,0.0,0.0
08/27/2007,6.128484725952148,0.0,0.0
08/29/2007,6.091766357421875,0.0,0.0
08/30/2007,6.121809959411621,0.0,0.0
08/31/2007,6.128484725952148,0.0,0.0
09/04/2007,6.158526420593262,0.0,0.0
09/06/2007,6.158526420593262,0.0,0.0
09/10/2007,6.131824016571045,0.0,0.0
09/11/2007,6.141834259033203,0.0,0.0
09/13/2007,6.275355339050293,0.0,0.0
09/14/2007,6.275355339050293,0.0,0.0
09/18/2007,6.245314598083496,0.0,0.0
09/19/2007,6.245314598083496,0.0,0.0
09/20/2007,6.415550231933594,0.0,0.0
09/21/2007,6.6558837890625,0.0,0.0
09/24/2007,6.625840187072754,0.0,0.0
09/25/2007,6.679248809814453,0.0,0.0
09/26/2007,6.7226409912109375,0.0,0.0
09/27/2007,6.832793712615967,0.0,0.0
09/28/2007,6.846146583557129,0.0,0.0
10/01/2007,6.846146583557129,0.0,0.0
10/02/2007,6.756020545959473,0.0,0.0
10/03/2007,6.749344825744629,0.0,0.0
10/04/2007,6.8194379806518555,0.0,0.0
10/05/2007,6.829453468322754,0.0,0.0
10/08/2007,6.829453468322754,0.0,0.0
10/09/2007,6.80942964553833,0.0,0.0
10/10/2007,6.80942964553833,0.0,0.0
10/11/2007,6.889538764953613,0.0,0.0
10/12/2007,6.8828630447387695,0.0,0.0
10/15/2007,6.8828630447387695,0.0,0.0
10/16/2007,6.842805862426758,0.0,0.0
10/17/2007,6.842805862426758,0.0,0.0
10/18/2007,6.869510173797607,0.0,0.0
10/19/2007,6.859496116638184,0.0,0.0
10/22/2007,6.859496116638184,0.0,0.0
10/23/2007,6.779385089874268,0.0,0.0
10/24/2007,6.779385089874268,0.0,0.0
10/26/2007,6.705952167510986,0.0,0.0
10/29/2007,6.672571659088135,0.0,0.0
10/30/2007,6.672571659088135,0.0,0.0
11/01/2007,6.9362688064575195,0.0,0.0
11/02/2007,6.966311454772949,0.0,0.0
11/05/2007,6.899552345275879,0.0,0.0
11/06/2007,6.956296920776367,0.0,0.0
11/07/2007,7.003028392791748,0.0,0.0
11/08/2007,6.846146583557129,0.0,0.0
11/12/2007,6.5357136726379395,0.0,0.0
11/13/2007,6.5357136726379395,0.0,0.0
11/14/2007,6.659221649169922,0.0,0.0
11/15/2007,6.602473735809326,0.0,0.0
11/16/2007,6.545727729797363,0.0,0.0
11/19/2007,6.529041290283203,0.0,0.0
11/20/2007,6.458941459655762,0.0,0.0
11/21/2007,6.4589415924481965,0.0,0.0
11/23/2007,6.408874034881592,0.0,0.0
11/26/2007,6.408874034881592,0.0,0.0
11/28/2007,6.268680095672607,0.0,0.0
11/29/2007,6.345450401306152,0.0,0.0
11/30/2007,6.295381546020508,0.0,0.0
12/03/2007,6.295381546020508,0.0,0.0
12/04/2007,6.095106601715088,0.0,0.0
12/05/2007,6.091766357421875,0.0,0.0
12/06/2007,6.105118274688721,0.0,0.0
12/07/2007,6.1651997566223145,0.0,0.0
12/10/2007,6.128484725952148,0.0,0.0
12/11/2007,6.158526420593262,0.0,0.0
12/12/2007,6.108456134796143,0.0,0.0
12/13/2007,6.0450358390808105,0.0,0.0
12/14/2007,6.0383620262146,0.0,0.0
12/17/2007,6.108456134796143,0.0,0.0
12/18/2007,6.0884294509887695,0.0,0.0
12/19/2007,6.131824016571045,0.0,0.0
